OG0006400.2	OG0000177.8	OG0006804.0	OG0004338.2	OG0022826.0	OG0004324.0	OG0002346.16	OG0002252.0	OG0004835.2	OG0004464.0	OG0000038.0	OG0004617.12	OG0001967.0	OG0000107.44	OG0000692.0	OG0000835.7	OG0000019.257	OG0000606.2	OG0012915.3	OG0009883.5	OG0000027.1
1.446923653234134	1.5266319293220363	1.4202738952916638	1.164972429545315	nan	0.9956940807452876	0.7892010360271158	-0.006720336416998766	-0.8351836389871339	1.6419135182040943	1.194228300642796	0.018014285351798488	1.5882904172534085	1.877187566661312	1.8169971813906374	0.05665574585056997	0.050528128990071	0.5143631591319802	-0.574025449900363	0.9182746070140498	1.2484510086466838
OG0046571.0	OG0016839.3	OG0043434.0	OG0016469.2	OG0007133.1	OG0006596.0	OG0037987.0	OG0034863.0	OG0009070.4	OG0044964.0	OG0014998.8	OG0019849.0	OG0001180.24	OG0000053.0	OG0008622.0	OG0008262.0	OG0005954.22	OG0007492.4	OG0000693.9	OG0027676.0	OG0046749.0
nan	0.6353987150773999	nan	0.9687646231146007	0.7188400068195558	-0.5155510413594696	nan	nan	2.6234545125040145	nan	nan	nan	-0.8673795185821486	1.4450584052765922	1.6072316579576322	1.786394033593079	-0.14718720427240675	1.4111098319075421	nan	nan	nan
OG0030002.0	OG0018776.5	OG0015093.9	OG0045091.0	OG0043348.0	OG0014860.1	OG0020682.0	OG0012331.2	OG0003677.0	OG0009154.6	OG0007752.0	OG0002782.0	OG0038032.0	OG0010777.2	OG0060417.0	OG0016896.2	OG0006313.0	OG0003380.16	OG0006574.0	OG0014601.0	OG0011268.5
nan	nan	nan	nan	nan	1.458087349890765	nan	nan	0.9187439973682895	-13.287712379549449	2.1357442257720534	-0.33171799617181685	nan	nan	nan	2.0058109381058666	-0.5989101145430225	1.2276572865795115	0.7614951246152138	1.1542057536188555	nan
OG0003468.0	OG0053772.0	OG0029000.0	OG0044810.0	OG0008260.19	OG0016323.2	OG0007110.16	OG0013858.3	OG0020433.0	OG0011587.0	OG0048148.0	OG0023240.0	OG0018120.3	OG0035597.0	OG0049142.0	OG0041832.0	OG0014014.2	OG0010597.0	OG0014625.0	OG0016980.0	OG0014647.1
0.9471622795901398	nan	nan	nan	nan	4.901024237726823	nan	1.2195264214869308	1.0489734095751662	0.3619824207643389	nan	nan	-2.5207063256726387	nan	nan	nan	0.8418250814996531	0.936631770082128	-2.4331116686742815	4.8087164577077735	1.812127439234208
OG0041934.0	OG0001696.0	OG0045622.0	OG0027680.0	OG0001145.3	OG0008253.2	OG0019818.0	OG0007559.0	OG0046290.0	OG0003145.0	OG0005245.10	OG0002552.0	OG0006868.4	OG0004604.6	OG0034287.0	OG0027757.0	OG0043359.0	OG0003770.8	OG0001075.1	OG0006342.12	OG0014619.0
nan	-0.35261478742582325	nan	nan	-0.00522778349853296	-0.44763623809046527	0.6109018110011661	2.1523197293509955	nan	0.8324540076403623	1.3663999166422105	-0.29930228419958926	-0.5070604229234452	0.8115968812411242	nan	nan	nan	-0.05792213859212803	-1.3225708910509388	-0.8799138614517215	0.20333801912974708
OG0015257.5	OG0008537.0	OG0028991.0	OG0046669.0	OG0001979.1	OG0024790.0	OG0011010.4	OG0041838.0	OG0024962.0	OG0048033.0	OG0016410.2	OG0060486.0	OG0035782.0	OG0057382.0	OG0006474.4	OG0024466.0	OG0013856.2	OG0007323.1	OG0044779.0	OG0005930.6	OG0016301.7
