OG0006225.0	OG0000711.2	OG0019212.0	OG0002787.0	OG0001823.24	OG0000065.1	OG0002101.0	OG0001699.1	OG0001764.0	OG0005056.1	OG0001607.2	OG0029060.0	OG0001566.2	OG0002309.26	OG0008341.0	OG0004205.0	OG0002988.0	OG0005575.28	OG0015416.2	OG0001842.34	OG0000098.0	OG0000236.122	OG0000264.1	OG0000551.2	OG0008342.0	OG0001907.32	OG0016785.2	OG0020502.0	OG0000119.0	OG0000441.1	OG0002651.6	OG0008335.19	OG0000833.0	OG0000750.0	OG0001778.24	OG0014063.4	OG0000456.0	OG0002012.0	OG0005567.0	OG0011318.4	OG0001741.1	OG0000038.0	OG0011985.2	OG0000834.30	OG0000213.256	OG0002348.56	OG0014065.0	OG0003001.0	OG0001309.24	OG0000740.26	OG0004226.0	OG0013273.0	OG0029057.0	OG0000441.96	OG0008015.25	OG0000318.0	OG0007639.25	OG0002178.2	OG0001567.1	OG0000324.0	OG0003342.16	OG0006752.0	OG0008099.0	OG0001643.24	OG0000065.40	OG0000920.27	OG0007127.0	OG0001843.5	OG0000749.2	OG0005996.10	OG0002590.0	OG0005741.0	OG0000310.18	OG0000206.0	OG0000236.1	OG0000320.0	OG0001964.1	OG0053812.0	OG0007845.0	OG0001698.26	OG0001824.24	OG0000213.17	OG0003860.1	OG0015415.0	OG0044466.0	OG0005326.0	OG0007639.5	OG0012896.0	OG0012897.4	OG0004314.0	OG0006297.0	OG0014302.8	OG0000606.2	OG0020019.0	OG0006158.4	OG0001579.36	OG0000751.0	OG0014817.2	OG0000834.15	OG0002488.24	OG0015105.0	OG0000869.2	OG0001711.10	OG0028281.0	OG0000646.28	OG0013218.3	OG0001844.24	OG0003991.2	OG0001602.32	OG0011319.4	OG0000471.2	OG0000236.19	OG0001016.1	OG0013106.2	OG0014068.0	OG0009857.2	OG0004135.0	OG0005266.0	OG0003151.14	OG0005400.0
-0.17132702739739747	0.4340571477562879	-1.4359944550876724	1.5035881392871318	-0.08519813468265601	nan	0.41855354017508173	-0.7124423598948861	-1.1869163230457778	-0.40254477219737267	0.8376064985087806	-13.287712379549449	0.5979055890573353	0.03230464666485579	1.4091380175176096	0.7854756524107099	0.31437249912292065	-0.6431226676320512	-3.275114157080866	0.21941908014489597	1.3764007627255037	0.47174124311625504	-0.39191642613293387	0.12004374815933493	-0.11108232093003877	0.36047243875961443	-1.1496317731419636	2.0479131263403865	0.6441848183194789	-0.5723053512585266	0.3106096505403069	-3.8073653093449016	-0.061052781838215546	0.6612062542641206	0.24112140489684192	-1.1067903923754705	0.33942602596370375	-0.6813434948078769	0.8811363307482183	-0.40598301649357743	-0.680268944779874	1.194228300642796	0.5318482191768008	0.39462223279488984	0.4034662349374713	0.9499464532714113	-1.712716136602532	0.22885401610173564	0.3180555112856485	-0.7346831150482035	0.9004165034640287	1.7782750421580191	-13.287712379549449	-0.5727254127502814	nan	-0.16099870804441482	-13.287712379549449	-0.33168268056816924	-0.8618163367911472	0.5633565711396273	1.300536164422742	0.5142954387845684	2.0776815374034694	-1.1462318953681279	1.8188668823091523	-0.05408632246016782	-0.2561584779183969	1.0474810177103138	0.6960006209538083	1.1056209896866196	1.4206747302640448	0.31084744248656526	1.1697913907077246	0.9779949259616734	1.5310303170156239	0.4278612776546661	0.4542770991057501	nan	0.30874263935829077	-0.48242311792037795	-0.2962932362793678	1.6131541272329173	1.831595044302865	-13.287712379549449	nan	-0.6812428796663623	1.495391589015806	1.057877257780895	1.0947657203045267	0.1294434137272129	0.642176788353265	-3.4807872286686834	0.5143631591319802	0.10530712763183743	1.5047362898471088	0.19116511498209737	0.14637556395641846	0.666926436922195	1.2893551033789747	0.4984322183473175	0.6970732271761306	-0.5600460737743269	0.40752705515594106	nan	-1.8909081989065304	-2.642443082390205	0.21483853187865953	-0.3231348291098198	0.1888709079569439	0.9348322285482507	-0.4219138979696112	nan	-0.7757798480286758	nan	-0.39463544457933014	1.529902227401704	-0.28884367443802567	1.0126602346510893	1.2916562519215704	0.0700879769523404
OG0013961.0	OG0004125.0	OG0034275.0	OG0015984.2	OG0003537.2	OG0047178.0	OG0004055.0	OG0015212.3	OG0034671.0	OG0001143.26	OG0003695.0	OG0003674.0	OG0002126.0	OG0017331.4	OG0060369.0	OG0024695.0	OG0037769.0	OG0043441.0	OG0026545.0	OG0037717.0	OG0060345.0	OG0017007.0	OG0021312.0	OG0014976.2	OG0018420.5	OG0044420.0	OG0000001.2	OG0029251.0	OG0045601.0	OG0003356.2	OG0012516.3	OG0010109.10	OG0000910.22	OG0021422.0	OG0018873.4	OG0009191.17	OG0016229.7	OG0028194.0	OG0043587.0	OG0013044.2	OG0044405.0	OG0000777.0	OG0047957.0	OG0014980.7	OG0049180.0	OG0053978.0	OG0034997.0	OG0010769.5	OG0020026.0	OG0027886.0	OG0007364.5	OG0045019.0	OG0015297.0	OG0005187.0	OG0025128.0	OG0030068.0	OG0054107.0	OG0029606.0	OG0045240.0	OG0011531.13	OG0002586.25	OG0034443.0	OG0000151.0	OG0056888.0	OG0027882.0	OG0049121.0	OG0003363.0	OG0015603.2	OG0013735.9	OG0054020.0	OG0002645.26	OG0008720.0	OG0053860.0	OG0046032.0	OG0027029.0	OG0020495.0	OG0029130.0	OG0003740.0	OG0027539.0	OG0038829.0	OG0016419.0	OG0057036.0	OG0000562.130	OG0006147.34	OG0014836.5	OG0011529.8	OG0003458.0	OG0057445.0	OG0020380.0	OG0009797.0	OG0041943.0	OG0004419.0	OG0025940.0	OG0007653.0	OG0020659.0	OG0007788.4	OG0004867.1	OG0013093.0	OG0001087.24	OG0029995.0	OG0003103.85	OG0001322.24	OG0000518.24	OG0018774.3	OG0021198.0	OG0004757.2	OG0012131.2	OG0013568.4	OG0013535.7	OG0018847.2	OG0016154.2	OG0013928.0	OG0007234.0	OG0013600.0	OG0022907.0	OG0000932.26	OG0010161.0	OG0002373.38	OG0001528.16	OG0044265.0
1.1795257824279455	1.1367273831388958	nan	0.7167942232548696	1.4197437268603021	nan	1.4805659616966753	-1.509931136361449	nan	-0.07623107993355797	-0.6918376229945022	1.1200281416482603	0.15101010494303826	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.2444862447380622	nan	nan	1.1520436843823383	nan	nan	0.5585177969337272	1.566323171689065	nan	0.705382689698697	nan	nan	2.0011876447182715	nan	nan	nan	-0.6283942761135359	nan	1.068899164379289	nan	nan	nan	nan	nan	1.3704164660596188	nan	nan	nan	nan	1.274439138312858	0.5504187798233199	nan	nan	nan	nan	nan	nan	0.623185616755922	nan	1.5887903278992066	nan	nan	nan	-0.004961075888211814	4.593141578564944	nan	nan	-0.4183803544151624	1.570863765582919	nan	nan	nan	-0.7944222941277933	-13.287712379549449	1.3016387417828703	0.5834340130781763	nan	nan	nan	0.2916411976190712	nan	nan	-2.2154015492392483	0.9684107663740826	nan	nan	1.6059274256732294	nan	-0.09692536300381652	nan	0.9941044565402369	2.6856032543233304	2.088673020072252	1.7465539734261304	0.014716232603383592	-0.034887082362297955	nan	nan	0.85209933060656	0.21473536518079558	nan	nan	0.6514347259715072	1.385282287848657	1.443296268860147	-0.9701353613103794	0.005243922114727985	1.0108584004103331	0.864129813576374	2.030910543865102	0.35067322418548946	nan	0.3051278801336147	0.870716269615092	-0.11939173500852586	1.4942500592010677	nan
OG0025670.0	OG0045253.0	OG0007454.2	OG0016037.0	OG0026962.0	OG0006458.0	OG0008432.3	OG0037796.0	OG0022975.0	OG0016658.6	OG0016109.1	OG0019073.3	OG0045726.0	OG0023486.0	OG0004382.22	OG0001313.24	OG0004768.0	OG0035662.0	OG0003672.0	OG0045763.0	OG0027692.0	OG0002219.0	OG0003957.1	OG0041596.0	OG0028162.0	OG0045950.0	OG0054032.0	OG0054007.0	OG0060332.0	OG0005576.4	OG0001654.2	OG0029105.0	OG0046965.0	OG0027235.0	OG0000367.174	OG0021379.0	OG0028862.0	OG0027012.0	OG0019048.5	OG0007986.5	OG0018551.2	OG0048977.0	OG0044631.0	OG0009920.0	OG0000716.2	OG0002417.0	OG0017087.4	OG0041606.0	OG0034304.0	OG0002645.26	OG0047561.0	OG0028903.0	OG0002195.39	OG0010171.9	OG0037719.0	OG0044852.0	OG0018871.0	OG0008213.6	OG0038690.0	OG0047112.0	OG0009066.4	OG0030057.0	OG0019756.0	OG0013126.0	OG0001952.4	OG0026959.0	OG0046634.0	OG0014821.9	OG0035538.0	OG0006905.0	OG0026275.0	OG0018451.0	OG0021654.0	OG0046930.0	OG0024612.0	OG0023018.0	OG0045592.0	OG0010941.0	OG0024232.0	OG0006943.0	OG0002509.0	OG0054046.0	OG0005328.10	OG0004090.26	OG0009149.0	OG0056762.0	OG0002829.1	OG0004014.6	OG0017270.5	OG0014789.4	OG0048057.0	OG0057587.0	OG0008538.0	OG0021915.0	OG0000674.30	OG0049027.0	OG0005926.0	OG0012092.2	OG0013043.4	OG0001042.5	OG0037761.0	OG0044289.0	OG0005608.1	OG0005393.6	OG0038889.0	OG0053886.0	OG0038723.0	OG0000034.230	OG0016715.4	OG0019125.2	OG0004776.24	OG0007313.0	OG0024526.0	OG0000508.48	OG0045052.0	OG0003730.10	OG0045137.0	OG0016419.0	OG0012990.0	OG0015750.2
nan	nan	-1.1312325012960087	2.5049697348924815	nan	0.9552096329850739	nan	nan	nan	2.0725092964682967	1.3068278953874535	nan	nan	nan	-0.24970085195070466	-1.022950659022438	1.07650719506927	nan	1.3784080422442553	nan	nan	0.8298010426831008	-0.22031271423316054	nan	nan	nan	nan	nan	nan	1.3098480649079285	1.5032503207307686	nan	nan	nan	-0.583730092640752	2.433778406540509	nan	nan	nan	nan	0.7048988447529125	nan	nan	0.5247969545098167	0.24436874612406081	1.3644893813208916	nan	nan	nan	-0.4183803544151624	nan	nan	1.7626518308502541	nan	nan	nan	-0.14404250128874668	1.63003813976474	nan	nan	2.0954460669116415	nan	nan	0.9750773353336145	0.32336679366606214	0.8143170513203117	nan	nan	nan	0.32772741348944034	1.5171762150269683	-0.433137890011928	nan	nan	1.6827380656151965	nan	nan	0.944232901639044	nan	0.44788163480221804	0.8054378857078891	nan	-0.6146096310348834	-0.07758675327807327	1.082995287038126	nan	0.6727458507609125	0.130503555181417	nan	1.3990233946394481	nan	nan	0.5552335462546476	nan	0.19309827657603892	nan	0.09223211776937985	2.822277142615585	1.0638199334228304	0.7322870093295359	nan	nan	3.9373055720853554	1.2677588105826687	nan	nan	nan	0.8392052941281047	nan	-13.287712379549449	1.6069820139976017	1.6179306898186259	-2.8051515088535006	1.3270188342234004	nan	1.2279302913948824	nan	nan	0.4796525316237399	2.127928751719412
OG0047196.0	OG0001216.24	OG0001352.26	OG0028257.0	OG0007287.0	OG0013618.1	OG0008959.12	OG0005515.0	OG0023126.0	OG0000154.2	OG0047346.0	OG0022635.0	OG0004012.2	OG0005139.28	OG0037844.0	OG0005210.0	OG0018157.2	OG0002676.13	OG0010688.2	OG0002289.0	OG0022840.0	OG0007893.0	OG0003152.0	OG0022309.0	OG0041962.0	OG0028935.0	OG0020690.0	OG0029043.0	OG0044609.0	OG0034975.0	OG0006661.0	OG0045459.0	OG0056763.0	OG0017146.3	OG0001012.4	OG0005447.3	OG0015957.5	OG0004063.6	OG0011990.16	OG0016862.2	OG0007687.1	OG0008868.1	OG0044082.0	OG0016635.0	OG0023365.0	OG0015657.3	OG0027664.0	OG0046095.0	OG0022833.0	OG0023149.0	OG0023156.0	OG0001555.4	OG0019381.0	OG0015006.0	OG0001431.24	OG0049192.0	OG0013605.0	OG0002211.0	OG0017433.3	OG0018077.1	OG0020648.0	OG0017428.3	OG0005902.0	OG0004173.4	OG0007345.0	OG0044134.0	OG0017152.2	OG0005766.0	OG0014232.3	OG0005005.8	OG0003376.12	OG0044243.0	OG0020940.0	OG0005504.0	OG0000618.54	OG0013332.12	OG0029568.0	OG0044816.0	OG0010579.4	OG0041832.0	OG0041885.0	OG0026959.0	OG0005009.2	OG0028276.0	OG0022924.0	OG0010785.14	OG0013984.0	OG0003367.2	OG0045756.0	OG0001544.92	OG0017923.3	OG0001678.0	OG0053808.0	OG0034855.0	OG0007734.2	OG0026125.0	OG0034773.0	OG0013889.2	OG0004731.6	OG0010738.0	OG0002382.29	OG0006709.0	OG0015949.0	OG0060438.0	OG0045132.0	OG0035684.0	OG0018521.0	OG0043848.0	OG0020836.0	OG0005274.0	OG0049185.0	OG0006223.1	OG0046184.0	OG0057019.0	OG0012248.0	OG0047518.0	OG0004163.55	OG0016048.3	OG0023430.0	OG0045254.0
nan	-0.8071772040743814	-0.7100735982760683	nan	0.38418986060715954	0.4393565201903932	nan	-0.9381936994143661	-0.5116569937711726	0.7165158966102718	nan	-13.287712379549449	-0.5248324251631789	0.12353121030798497	nan	-0.7684266542653468	7.286722627918197	nan	2.5540828667386184	0.2324401279575482	nan	1.3884579970645163	2.1218479815920532	nan	nan	nan	nan	nan	nan	nan	0.14616504365925945	nan	nan	nan	-0.14109959616817797	-0.3613900568694807	nan	1.0085716521219892	nan	1.1887958833916088	1.0282058757467925	nan	nan	-0.05235594124133911	nan	nan	1.231553210619295	nan	-1.0791654505191481	nan	-1.18279412863783	1.091096692597716	nan	1.1974925820397961	-0.17498088949639393	nan	0.4336012589332947	-0.04008242013546758	nan	0.5164509082583812	0.8678581280441702	nan	1.3479841366739804	1.2316390764702216	-0.41824687404501004	nan	3.3919454328881278	1.523623239803205	nan	0.8783768693482645	-0.08478398814417012	nan	nan	0.5549428473122178	0.3472398549111495	nan	nan	nan	0.14928968306999735	nan	nan	0.8143170513203117	0.5273640355355034	nan	nan	-1.376313358461675	1.6931271628512965	0.8401364869038579	nan	2.7246519201886112	0.12763618469973229	0.3388610219011408	nan	nan	1.138768534176869	nan	nan	2.0435760810627817	0.18669630168271772	0.7369540576987115	-1.7396822788427442	0.9280383037815856	1.0102373379390326	nan	nan	nan	2.8113826805520494	nan	-2.6525364573581625	0.8067431471968022	nan	2.108896195821366	nan	nan	0.8330033745971964	nan	nan	nan	nan	nan
OG0046621.0	OG0013034.0	OG0009963.2	OG0035832.0	OG0000047.2	OG0016166.2	OG0004946.5	OG0013289.6	OG0025814.0	OG0021948.0	OG0043924.0	OG0001072.1	OG0001489.4	OG0015259.2	OG0024461.0	OG0006327.0	OG0038800.0	OG0044616.0	OG0014542.4	OG0001625.2	OG0014708.6	OG0005322.4	OG0022380.0	OG0028298.0	OG0028203.0	OG0014815.3	OG0024564.0	OG0019285.0	OG0047317.0	OG0002411.1	OG0022094.0	OG0022277.0	OG0014805.4	OG0025076.0	OG0024447.0	OG0019024.6	OG0025672.0	OG0016755.0	OG0011129.17	OG0022252.0	OG0047506.0	OG0006730.0	OG0057276.0	OG0018404.0	OG0019338.0	OG0007250.0	OG0035703.0	OG0008972.0	OG0027623.0	OG0015093.9	OG0014978.9	OG0019304.0	OG0043496.0	OG0004370.2	OG0024723.0	OG0044364.0	OG0054002.0	OG0010726.0	OG0006504.0	OG0006827.2	OG0022875.0	OG0013023.0	OG0041845.0	OG0047953.0	OG0046125.0	OG0006377.0	OG0011423.1	OG0010571.0	OG0017871.2	OG0028109.0	OG0007850.16	OG0016715.7	OG0017341.3	OG0012142.2	OG0041518.0	OG0005993.0	OG0002289.0	OG0019248.0	OG0007160.0	OG0028229.0	OG0057067.0	OG0034722.0	OG0038597.0	OG0017866.2	OG0046197.0	OG0043935.0	OG0034382.0	OG0014372.0	OG0018087.2	OG0001985.1	OG0006566.0	OG0023992.0	OG0012680.0	OG0021186.0	OG0035778.0	OG0047052.0	OG0043969.0	OG0034800.0	OG0047130.0	OG0008764.0	OG0024472.0	OG0054006.0	OG0005818.0	OG0011186.0	OG0045063.0	OG0044501.0	OG0010962.0	OG0000089.1	OG0009811.0	OG0008580.0	OG0047176.0	OG0014005.0	OG0037766.0	OG0003322.8	OG0024284.0	OG0043745.0	OG0022939.0	OG0017441.1	OG0053807.0	OG0044039.0
nan	2.6371171436439194	0.5712087033761144	nan	-0.046405779109611446	2.3534555951186236	1.9427974814710998	nan	nan	nan	nan	0.2101710818048993	1.6913501493000551	2.5339235533519875	nan	1.4655315706868524	nan	nan	0.4584539723472918	-0.8786562193876346	1.2019726100099897	-0.4962943335307408	-0.10244631490436377	nan	nan	2.827663545110938	1.6301437649314616	nan	nan	-0.7647609090162022	1.7396481714226701	1.1944133103550774	-1.1384855838832235	4.885947918468906	nan	nan	nan	1.7735623640614984	nan	1.2616546332074978	nan	0.4525010908818115	nan	1.3763379330099665	nan	1.3825159873269348	nan	1.4762988158919188	0.2784455516825565	nan	nan	nan	nan	0.10966562248813927	1.2336381922565436	nan	nan	0.7726965516247006	0.4203666743492892	1.7063659370227233	nan	0.7356428411987259	nan	nan	nan	1.43365953579963	1.2624130948686494	1.7537831678889728	1.8381100637426784	nan	-6.307316360391944	nan	nan	0.8557364382865955	nan	0.2584293853237514	0.2324401279575482	nan	0.7576967856551817	nan	nan	nan	nan	0.8123010521371855	nan	nan	nan	0.4582302909772161	1.5556925278400255	0.018070508679662978	-0.21054233342132161	nan	-0.08005819941921856	nan	nan	nan	nan	nan	nan	1.051837826737605	1.3497528644694654	nan	1.4263163260441742	0.4142218482652792	nan	nan	0.3858997852175942	nan	0.13945751390462188	0.21717862932349205	nan	1.2262192299013361	nan	0.4487476587664531	nan	nan	nan	nan	nan	nan
OG0038730.0	OG0060377.0	OG0011214.2	OG0043698.0	OG0046791.0	OG0006361.0	OG0014863.6	OG0005001.1	OG0025133.0	OG0045221.0	OG0012653.0	OG0024972.0	OG0041579.0	OG0000255.37	OG0007271.0	OG0007483.0	OG0000397.30	OG0007549.0	OG0001589.0	OG0007789.0	OG0024484.0	OG0006751.14	OG0012348.5	OG0007932.0	OG0017046.0	OG0057173.0	OG0012530.0	OG0018005.0	OG0013924.0	OG0023059.0	OG0007392.0	OG0044307.0	OG0002588.4	OG0006577.0	OG0002946.0	OG0014726.3	OG0005449.2	OG0044456.0	OG0043814.0	OG0038752.0	OG0019326.0	OG0020885.0	OG0046604.0	OG0003748.49	OG0021970.0	OG0016623.4	OG0027869.0	OG0019560.0	OG0034823.0	OG0053936.0	OG0024829.0	OG0044258.0	OG0001908.2	OG0038817.0	OG0020309.0	OG0028860.0	OG0046099.0	OG0027902.0	OG0020496.0	OG0016132.6	OG0000100.1	OG0002161.0	OG0007638.14	OG0028998.0	OG0012037.4	OG0013292.10	OG0000137.0	OG0008638.0	OG0007040.0	OG0013903.0	OG0022448.0	OG0017518.3	OG0003711.6	OG0025724.0	OG0016697.7	OG0057300.0	OG0010639.2	OG0001926.0	OG0009082.0	OG0046309.0	OG0045631.0	OG0010822.13	OG0000946.1	OG0027738.0	OG0001725.29	OG0016246.7	OG0044538.0	OG0044651.0	OG0000148.0	OG0003396.26	OG0018420.6	OG0044374.0	OG0017129.3	OG0007012.0	OG0003887.2	OG0044052.0	OG0020320.0	OG0060545.0	OG0003682.2	OG0013658.3	OG0044160.0	OG0000671.12	OG0011297.6	OG0009120.0	OG0007669.2	OG0024517.0	OG0022307.0	OG0003636.4	OG0034938.0	OG0012145.2	OG0046600.0	OG0053903.0	OG0027660.0	OG0006347.24	OG0007536.1	OG0007179.8	OG0003585.0	OG0018457.6	OG0013848.0	OG0043483.0
