OG0009883.5	OG0000692.0	OG0012915.3	OG0004617.12	OG0004835.2	OG0004464.0	OG0004338.2	OG0000107.44	OG0000038.0	OG0000027.1
-3.0576919438438153	-1.613520111403766	-3.8802321574527925	-3.1532860593285235	-3.0150825945730797	-1.6241542753321765	-2.2926519125167304	-1.6663472852345864	-1.8817731862070524	-1.7403358160513485
OG0008656.1	OG0010913.0	OG0043411.0	OG0008443.1	OG0010756.0	OG0004568.1	OG0005507.10	OG0014125.1	OG0015179.2	OG0003049.0
nan	-1.431870583499509	nan	-1.7646405526090545	-2.0203404482841756	-1.766602735898117	-1.5456135097711428	nan	-3.0991235338421013	-2.0165411884096764
OG0014810.0	OG0006647.0	OG0047150.0	OG0015093.3	OG0014620.0	OG0013321.0	OG0047353.0	OG0015979.6	OG0053810.0	OG0024522.0
-1.7908586021614084	-1.6501818280241396	nan	nan	-1.4414384681995431	-1.409278229990159	nan	-3.3915313681619077	nan	nan
OG0038154.0	OG0011720.2	OG0001184.24	OG0014502.4	OG0016791.0	OG0017901.0	OG0005646.0	OG0047603.0	OG0016776.5	OG0035803.0
nan	-0.6594946993260151	-2.706511797624492	-1.0525956651531994	-1.6192705514964514	-1.3057883922321096	-2.545402943465451	nan	nan	nan
OG0002993.1	OG0006460.2	OG0004302.0	OG0010095.2	OG0018256.2	OG0019234.0	OG0016149.0	OG0023958.0	OG0035604.0	OG0008532.6
-2.402778731599688	-2.117787378107137	-1.667263427536139	-1.9534390942422588	-1.7933567760166047	-2.1726687293877394	-1.8640711844735933	nan	nan	-1.945082080871042
OG0047378.0	OG0021370.0	OG0005619.0	OG0044416.0	OG0009877.2	OG0001321.26	OG0007340.4	OG0003483.0	OG0005694.0	OG0007523.4
nan	nan	-3.316168825598677	nan	-2.013916780335185	-1.9189331195081119	-2.0297353209854716	-1.548353672116055	-2.0250302371872846	-2.9862161845669006
OG0005991.0	OG0027772.0	OG0047976.0	OG0004954.6	OG0044358.0	OG0007191.0	OG0013191.3	OG0004616.0	OG0004779.4	OG0047138.0
-3.7152016198745494	nan	nan	-1.452846341187431	nan	-2.262572817270941	nan	-2.6371093573341398	nan	nan
OG0002837.4	OG0028115.0	OG0049164.0	OG0056784.0	OG0022867.0	OG0013146.12	OG0004192.0	OG0002822.4	OG0013064.11	OG0056535.0
-2.014208145587289	nan	nan	nan	nan	nan	-2.0761282264699226	-1.5199417307727447	nan	nan
OG0043411.0	OG0002275.1	OG0041811.0	OG0014872.6	OG0045830.0	OG0009903.19	OG0009192.20	OG0016201.4	OG0021215.0	OG0008668.22
nan	-2.5006260549978325	nan	nan	nan	nan	nan	-2.2933589426905914	nan	nan
