OG0000119.0	OG0005996.10	OG0005056.1	OG0000236.1	OG0003860.1	OG0000206.0	OG0020019.0	OG0006158.4	OG0012897.4	OG0006752.0	OG0007639.25	OG0000213.256	OG0000098.0	OG0011985.2	OG0001607.2	OG0008342.0	OG0000751.0	OG0044466.0	OG0003342.16	OG0000551.2	OG0007639.5	OG0002309.26	OG0000236.122	OG0007127.0	OG0000264.1	OG0005266.0	OG0005326.0	OG0008341.0	OG0001844.24	OG0009857.2	OG0012896.0	OG0029057.0	OG0000318.0	OG0004205.0	OG0002590.0	OG0003991.2	OG0008335.19	OG0000456.0	OG0000236.19	OG0005400.0	OG0000833.0	OG0016785.2	OG0013218.3	OG0000320.0	OG0000324.0	OG0053812.0	OG0002988.0	OG0004314.0	OG0019212.0	OG0005741.0	OG0015105.0	OG0000834.15	OG0000834.30	OG0004135.0	OG0007845.0	OG0000920.27	OG0002488.24	OG0014302.8	OG0001764.0	OG0004226.0	OG0006225.0	OG0014817.2	OG0029060.0	OG0000213.17	OG0014065.0
nan	217.1495	2.7639139999999998	3.3966199999999995	5.115496	nan	1.4832969999999999	0.9175271	1.9797770000000001	2.0996259999999998	3.7038879999999996	2.117238	1.986865	1.347913	1.200936	1.355743	nan	1.444283	1.586552	nan	3.6986800000000004	1.2466270000000002	nan	1.0815059999999999	nan	1.5427620000000002	4.854508	215.4607	1.107237	224.4897	1.1306889999999998	3.74712	nan	nan	0.572966	1.012053	3.706981	nan	3.2686439999999997	2.73316	nan	2.935956	3.7508199999999996	nan	3.801515	2.2535529999999997	0.8583895	1.0626799999999998	2.945064	188.3775	3.708815	4.023947	nan	0.4837583	0.9760806999999999	nan	1.1914049999999998	3.7382760000000004	nan	0.8604552	3.699637	1.933075	3.7207510000000004	2.690521	2.216487
OG0045615.0	OG0024714.0	OG0024355.0	OG0012114.8	OG0025975.0	OG0035573.0	OG0043551.0	OG0043678.0	OG0003362.0	OG0025470.0	OG0016430.7	OG0017149.4	OG0041521.0	OG0057499.0	OG0000207.240	OG0022053.0	OG0004947.4	OG0008735.0	OG0004736.6	OG0046820.0	OG0004753.0	OG0009148.0	OG0003206.16	OG0046991.0	OG0043965.0	OG0007045.2	OG0015023.7	OG0045556.0	OG0045671.0	OG0046642.0	OG0008138.14	OG0045836.0	OG0006262.5	OG0046904.0	OG0009066.4	OG0019625.0	OG0011694.15	OG0038654.0	OG0038065.0	OG0020746.0	OG0009932.0	OG0013606.4	OG0047529.0	OG0057390.0	OG0015222.0	OG0002631.6	OG0046666.0	OG0009048.1	OG0003031.18	OG0043623.0	OG0047283.0	OG0048012.0	OG0024521.0	OG0028429.0	OG0016359.1	OG0056524.0	OG0015760.0	OG0038696.0	OG0020504.0	OG0022036.0	OG0006143.2	OG0057525.0	OG0012415.0	OG0003627.46	OG0008824.1
256.6707	2.12194	2.882707	2.968095	1.612939	2.8662259999999997	nan	1.479358	44.91214	2.744359	3.071386	2.694964	3.288564	nan	1.617584	1.8789939999999998	nan	5.317924	9.361528	258.1868	1.709766	nan	9.88373	261.1797	2.869316	nan	nan	255.7416	261.3642	261.5314	2.8593759999999997	261.9566	261.3019	266.02299999999997	4.585621	2.674642	3.2765720000000003	3.4051760000000004	2.8435349999999997	nan	2.78248	6.376964	3.409995	2.581343	1.6471630000000002	219.96099999999998	260.928	nan	nan	1.486742	3.3696940000000004	3.760064	3.016395	2.366482	2.404585	2.7223	2.291801	3.419168	3.405014	2.365548	6.6701820000000005	2.612756	1.613804	3.7675080000000003	3.4172910000000005
OG0057388.0	OG0004254.44	OG0048082.0	OG0005875.0	OG0005345.4	OG0043368.0	OG0015202.0	OG0002348.56	OG0017924.2	OG0037837.0	OG0005206.34	OG0004463.2	OG0008015.25	OG0002469.0	OG0046980.0	OG0019619.0	OG0001880.0	OG0046558.0	OG0002799.0	OG0002833.0	OG0009048.1	OG0001385.1	OG0006114.1	OG0020556.0	OG0017943.0	OG0023121.0	OG0013048.8	OG0026844.0	OG0003130.1	OG0014148.3	OG0001586.3	OG0003988.1	OG0030139.0	OG0026676.0	OG0004420.2	OG0008034.1	OG0000298.0	OG0006124.2	OG0002829.1	OG0046508.0	OG0045063.0	OG0007437.0	OG0008603.0	OG0001525.51	OG0013496.4	OG0000479.1	OG0045098.0	OG0006678.4	OG0000796.20	OG0025004.0	OG0003743.1	OG0012133.4	OG0029101.0	OG0001461.24	OG0004222.0	OG0028044.0	OG0044894.0	OG0025842.0	OG0011887.5	OG0044571.0	OG0038901.0	OG0000604.1	OG0056689.0	OG0034678.0	OG0018047.4
2.843802	2.614009	3.7454089999999995	2.577642	3.295764	1.4912040000000002	1.8199869999999998	4.622376999999999	3.122637	3.054344	1.6929169999999998	3.919287	1.620968	27.54555	265.4918	3.3595309999999996	nan	257.0343	3.4285910000000004	nan	nan	nan	nan	1.461841	1.2443170000000001	1.931544	2.1716919999999997	1.860829	71.96733	2.563996	nan	4.244219999999999	2.735144	2.89095	2.052459	3.1982060000000003	4.6242980000000005	nan	166.7043	259.7484	260.1533	0.5677837	3.868605	13.81281	8.121628999999999	nan	265.5302	4.61372	nan	nan	4.45677	224.1006	2.4238020000000002	nan	1.626197	1.5206950000000001	1.8630740000000001	2.727132	3.061603	1.453958	3.381735	0.8411978000000001	2.6471150000000003	1.4439170000000001	6.317519
OG0043366.0	OG0045184.0	OG0000006.1	OG0024581.0	OG0007769.0	OG0005756.2	OG0017283.5	OG0057305.0	OG0006280.10	OG0057341.0	OG0002892.4	OG0003211.0	OG0018398.0	OG0028976.0	OG0012627.1	OG0014687.1	OG0015246.3	OG0005083.0	OG0056881.0	OG0045029.0	OG0002587.0	OG0012141.4	OG0035690.0	OG0037747.0	OG0006891.4	OG0056736.0	OG0019003.1	OG0002836.4	OG0044802.0	OG0034800.0	OG0047517.0	OG0037830.0	OG0016839.3	OG0016203.1	OG0011002.0	OG0000587.1	OG0010894.7	OG0045779.0	OG0017836.4	OG0011913.0	OG0057444.0	OG0038890.0	OG0010125.0	OG0014666.4	OG0015130.10	OG0007581.0	OG0019214.0	OG0006272.0	OG0047244.0	OG0046007.0	OG0001791.12	OG0007531.3	OG0016827.0	OG0008286.2	OG0005691.3	OG0011332.6	OG0024587.0	OG0046123.0	OG0007273.0	OG0020317.0	OG0027627.0	OG0016257.3	OG0022773.0	OG0001301.24	OG0013873.1
1.482445	nan	nan	3.027011	1.289138	13.98559	nan	nan	212.8684	1.50908	3.952439	26.785190000000004	1.698468	3.737456	3.3406279999999997	8.030384	2.644419	8.40816	2.762466	260.8476	0.822176	235.6272	1.3019530000000001	3.066475	216.3866	2.477789	nan	4.581283	1.85943	nan	3.39247	3.084521	3.027261	2.23722	4.658238	2.318345	3.771776	256.9812	1.44357	2.85943	2.884243	3.409911	1.8027360000000001	8.039328	nan	216.7856	1.6417689999999998	26.14196	nan	265.7036	1.278584	nan	3.017208	2.974903	3.8636839999999997	nan	1.1561059999999999	268.2759	210.6424	3.7270519999999996	2.070174	2.2806610000000003	nan	nan	2.971732
OG0018627.0	OG0014258.7	OG0011996.0	OG0000787.3	OG0004584.32	OG0006996.3	OG0001845.2	OG0008273.0	OG0026913.0	OG0001893.0	OG0008140.1	OG0044389.0	OG0018376.3	OG0003754.0	OG0025341.0	OG0009908.12	OG0046278.0	OG0008484.3	OG0018118.2	OG0054128.0	OG0008175.0	OG0012886.8	OG0001449.24	OG0005704.4	OG0000021.847	OG0007272.0	OG0024598.0	OG0000377.2	OG0001568.0	OG0015243.2	OG0045960.0	OG0003971.6	OG0046640.0	OG0015772.1	OG0003067.0	OG0045465.0	OG0010169.2	OG0000005.318	OG0004096.6	OG0014317.6	OG0044433.0	OG0024570.0	OG0046701.0	OG0047973.0	OG0011471.4	OG0023059.0	OG0001558.2	OG0003162.80	OG0009129.0	OG0012768.6	OG0016606.8	OG0019206.0	OG0016022.4	OG0010733.0	OG0020754.0	OG0004443.0	OG0043479.0	OG0008409.1	OG0038034.0	OG0025021.0	OG0007174.2	OG0021381.0	OG0020763.0	OG0004144.0	OG0046635.0
2.076926	2.60962	2.319722	20.11434	2.739939	nan	nan	2.684417	1.532346	nan	nan	1.4477959999999999	3.4040410000000003	1.4968299999999999	nan	2.561026	260.8524	1.5242229999999999	3.706611	2.547809	1.449343	3.001706	nan	7.819371	0.12257839999999999	211.9759	2.9989220000000003	nan	0.7504959	2.139779	257.1309	14.62909	253.8672	260.2798	2.633236	261.0637	1.608378	nan	76.59997	2.707826	1.435368	3.0624540000000002	258.7608	3.771295	1.7655669999999999	1.927978	3.385417	2.856862	1.82807	1.247468	3.2629770000000002	1.441433	3.3762440000000002	2.3424139999999998	6.281498	118.8763	1.490348	nan	2.853891	2.6037310000000002	146.7068	1.7596439999999998	2.376795	216.2539	259.013
OG0027782.0	OG0001536.0	OG0025128.0	OG0015358.8	OG0001139.24	OG0002869.0	OG0002093.0	OG0019066.1	OG0020816.0	OG0008349.0	OG0009051.0	OG0019423.0	OG0004354.0	OG0012626.1	OG0012880.2	OG0006519.0	OG0012308.1	OG0045729.0	OG0017882.2	OG0035796.0	OG0002429.0	OG0015114.0	OG0012536.0	OG0027494.0	OG0017157.4	OG0057505.0	OG0017539.2	OG0037819.0	OG0044671.0	OG0006220.13	OG0038656.0	OG0041828.0	OG0015201.0	OG0014619.0	OG0012889.0	OG0011969.0	OG0013577.0	OG0028126.0	OG0045211.0	OG0025053.0	OG0022004.0	OG0005701.33	OG0007601.0	OG0045964.0	OG0002373.38	OG0057513.0	OG0016961.3	OG0002021.4	OG0019161.0	OG0034289.0	OG0047455.0	OG0022760.0	OG0056737.0	OG0034550.0	OG0029613.0	OG0001507.1	OG0029210.0	OG0043616.0	OG0006524.0	OG0009120.0	OG0045182.0	OG0002828.24	OG0017741.0	OG0022086.0	OG0017003.0
