OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
nan	1.412781124311	nan	nan	1.548062212427	nan	1.411415140617	1.989967702578	nan	nan
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
nan	nan	1.267357363022	1.7016717947909998	2.301983067245	nan	nan	nan	1.37462556283	nan
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
nan	1.9319171286599999	1.565058768718	1.4761328376910001	nan	nan	1.829118737777	1.352706069143	nan	nan
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
1.147607797361	nan	2.196187976832	nan	nan	1.7016717947909998	0.157687834999	1.352706069143	nan	1.885590959817
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
1.9655224609070001	nan	nan	0.6151347953199999	0.6994925565710001	nan	nan	nan	2.016551432457	1.604118432148
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
1.4536625645789998	1.281938110574	nan	nan	1.076536177628	0.445533937483	1.457966397476	nan	2.3444180522319997	nan
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
nan	nan	2.413464820675	nan	1.6243688649610002	1.829118737777	3.411260257541	1.500155382115	nan	0.284785324093
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
2.5568271419	nan	1.6022001381959998	1.7016717947909998	1.527983334683	0.09425023729	nan	nan	1.043568749417	1.471294353775
OG0000027.457	OG0000923.0	OG0004469.6	OG0007098.2	OG0022067.0	OG0005153.1	OG0004970.0	OG0000139.0	OG0007761.3	OG0000127.0
0.880791193566	1.662247586981	nan	nan	nan	nan	nan	1.829118737777	nan	2.4066698334720003
OG0000112.0	OG0004494.1	OG0003424.0	OG0006712.0	OG0000039.0	OG0013911.3	OG0000710.0	OG0000060.0	OG0003386.20	OG0004128.4
2.5568271419	nan	1.029795960506	nan	2.269244320377	nan	1.527983334683	2.1868875487799997	nan	0.64139290207
OG0000132.40	OG0000228.54	OG0005105.0	OG0011433.8	OG0011552.0	OG0000349.0	OG0000011.1	OG0004757.2	OG0003993.4	OG0003370.4
1.4761328376910001	1.6243688649610002	nan	nan	nan	1.076536177628	3.411260257541	nan	1.755734843272	nan
OG0016132.6	OG0002604.2	OG0016143.0	OG0002709.2	OG0005870.0	OG0000074.152	OG0000090.24	OG0000001.1420	OG0010671.0	OG0000075.0
nan	0.0	nan	0.45900818151100004	nan	1.352706069143	2.566944061119	1.91080168688	0.370026379664	1.125580394185
OG0000012.918	OG0013503.4	OG0016077.0	OG0000196.0	OG0005672.0	OG0005315.0	OG0004376.0	OG0000307.20	OG0006135.0	OG0000007.585
2.253472610271	nan	nan	2.577484774981	nan	0.157687834999	nan	2.301983067245	nan	1.5534465156189998
OG0000112.0	OG0006978.0	OG0016135.0	OG0000047.282	OG0011224.0	OG0000011.866	OG0005764.0	OG0005145.0	OG0005107.4	OG0000015.1
2.5568271419	nan	nan	1.815421448557	nan	2.3895252011759998	nan	nan	nan	4.604191005195999
OG0009776.8	OG0004678.12	OG0000923.0	OG0000009.921	OG0000334.9	OG0005940.0	OG0012769.0	OG0013541.2	OG0005299.0	OG0000071.0
nan	nan	1.662247586981	2.001610578712	1.4672174326679999	nan	nan	nan	nan	2.176708940485
OG0011605.0	OG0000045.0	OG0000228.54	OG0000196.0	OG0006118.4	OG0003695.0	OG0002447.0	OG0020648.0	OG0005495.0	OG0000007.3
nan	1.8038768847639999	1.6243688649610002	2.577484774981	nan	0.09425023729	0.593455140334	nan	1.043568749417	1.471294353775
OG0004942.0	OG0000112.0	OG0005939.0	OG0028991.0	OG0000002.1788	OG0005115.3	OG0000435.0	OG0005088.0	OG0000007.3	OG0009074.8
nan	2.5568271419	nan	nan	2.0637876470289997	1.1547451282549999	1.604118432148	nan	1.471294353775	nan
OG0004971.4	OG0000009.921	OG0011499.1	OG0010013.0	OG0000239.0	OG0000060.0	OG0003505.8	OG0005870.0	OG0000435.0	OG0012210.0
nan	2.001610578712	nan	nan	2.605977852872	2.1868875487799997	nan	nan	1.604118432148	nan
OG0007615.6	OG0005947.0	OG0004749.2	OG0004970.0	OG0006322.4	OG0000192.0	OG0005115.3	OG0000074.152	OG0000035.64	OG0000013.2
nan	nan	0.36615782585199996	nan	nan	1.626760400607	1.1547451282549999	1.352706069143	1.928379765924	1.7835411069490001
OG0000486.2	OG0005643.0	OG0000001.425	OG0000032.252	OG0000169.16	OG0006500.0	OG0003880.0	OG0021387.0	OG0005764.0	OG0009237.0
1.4245778186200002	nan	1.796525480411	1.78932801755	2.26510803819	nan	nan	nan	nan	nan
OG0000018.842	OG0011718.13	OG0005936.0	OG0000000.3460	OG0000047.282	OG0003568.0	OG0006980.0	OG0010101.0	OG0000001.1420	OG0006444.0
1.512374756564	nan	nan	0.6151347953199999	1.815421448557	nan	nan	nan	1.91080168688	nan
OG0005686.0	OG0006708.0	OG0020441.0	OG0000015.773	OG0000026.45	OG0000090.24	OG0008066.0	OG0006389.4	OG0006418.0	OG0000442.2
nan	nan	nan	3.702188319636	2.074746709231	2.566944061119	nan	nan	nan	2.2898424091900003
OG0003502.3	OG0000027.457	OG0000176.0	OG0007584.0	OG0006370.4	OG0018981.2	OG0000192.0	OG0004957.0	OG0000200.0	OG0005447.3
nan	0.880791193566	2.277480959235	nan	nan	nan	1.626760400607	nan	1.457966397476	nan
OG0000054.0	OG0024950.0	OG0009978.0	OG0000429.0	OG0006744.1	OG0001608.24	OG0000001.425	OG0000074.152	OG0002577.26	OG0006474.4
1.9319171286599999	nan	nan	1.577409135767	nan	2.9188892872979997	1.796525480411	1.352706069143	0.3497548865	nan
OG0000099.0	OG0005986.4	OG0006790.0	OG0000139.0	OG0001710.24	OG0007958.13	OG0000026.45	OG0005097.2	OG0010513.2	OG0000442.2
2.413464820675	nan	nan	1.829118737777	1.403829530768	nan	2.074746709231	nan	nan	2.2898424091900003
OG0003584.16	OG0003514.0	OG0000018.842	OG0013132.4	OG0008562.0	OG0000011.1	OG0000074.152	OG0000105.0	OG0004977.0	OG0027623.0
nan	0.017529191194	1.512374756564	nan	0.231268181978	3.411260257541	1.352706069143	1.471885708726	1.754031650947	nan
OG0004966.0	OG0000710.0	OG0007761.3	OG0000032.252	OG0000187.1	OG0022068.0	OG0004128.4	OG0000102.0	OG0012093.2	OG0003198.2
nan	1.527983334683	nan	1.78932801755	2.444272129392	nan	0.64139290207	1.37462556283	nan	nan
OG0000923.0	OG0008277.0	OG0000056.0	OG0001981.2	OG0005153.1	OG0013535.7	OG0005463.3	OG0000139.0	OG0011434.0	OG0000015.1
1.662247586981	nan	1.7016717947909998	2.362471639493	nan	nan	nan	1.829118737777	nan	4.604191005195999
OG0010779.2	OG0000027.457	OG0006566.0	OG0006082.0	OG0000169.16	OG0001557.1	OG0004569.0	OG0000043.242	OG0029064.0	OG0006143.2
nan	0.880791193566	nan	nan	2.26510803819	1.338729620192	0.426113097786	2.192899860912	nan	nan
OG0000018.842	OG0011211.0	OG0000486.2	OG0000039.0	OG0005229.4	OG0000015.773	OG0016644.5	OG0002991.24	OG0003614.8	OG0015351.0
1.512374756564	nan	1.4245778186200002	2.269244320377	nan	3.702188319636	nan	nan	0.775719048931	nan
OG0000027.457	OG0006298.0	OG0000177.8	OG0005940.0	OG0004453.2	OG0005212.2	OG0019272.0	OG0003247.1	OG0000121.128	OG0000105.0
0.880791193566	nan	1.267357363022	nan	nan	nan	nan	1.716560818359	0.919558137898	1.471885708726
OG0000265.0	OG0000112.0	OG0000995.122	OG0005841.2	OG0028974.0	OG0000056.0	OG0003526.0	OG0007389.9	OG0000710.0	OG0007546.0
0.7382343009110001	2.5568271419	nan	nan	nan	1.7016717947909998	nan	nan	1.527983334683	nan
OG0005431.0	OG0000142.14	OG0005109.6	OG0007221.2	OG0000710.0	OG0003169.0	OG0000032.252	OG0006632.0	OG0000119.0	OG0016847.4
nan	2.196396667076	nan	nan	1.527983334683	nan	1.78932801755	nan	1.963717346604	nan
OG0002858.1	OG0003645.1	OG0012040.0	OG0006142.4	OG0005740.24	OG0000032.252	OG0000169.16	OG0001557.1	OG0000119.0	OG0004579.2
0.034083143117999995	nan	nan	nan	nan	1.78932801755	2.26510803819	1.338729620192	1.963717346604	0.9684133960760001
OG0011287.3	OG0005460.0	OG0000177.8	OG0008459.10	OG0003833.22	OG0000121.128	OG0003800.0	OG0000035.64	OG0000011.866	OG0022174.0
nan	nan	1.267357363022	nan	nan	0.919558137898	1.3848124709360001	1.928379765924	2.3895252011759998	nan
OG0000027.457	OG0005882.2	OG0006250.0	OG0021625.0	OG0000000.3460	OG0000192.0	OG0000435.0	OG0005827.2	OG0004987.26	OG0005917.0
0.880791193566	nan	nan	nan	0.6151347953199999	1.626760400607	1.604118432148	nan	nan	1.068850750063
OG0004737.6	OG0005738.2	OG0000000.3460	OG0000139.0	OG0007299.6	OG0005817.0	OG0000200.0	OG0000026.45	OG0005105.0	OG0008989.0
nan	nan	0.6151347953199999	1.829118737777	nan	nan	1.457966397476	2.074746709231	nan	nan
OG0000027.457	OG0008073.0	OG0000334.9	OG0000010.64	OG0007753.0	OG0017860.0	OG0000047.282	OG0004479.1	OG0000009.1514	OG0003614.8
0.880791193566	nan	1.4672174326679999	2.196187976832	nan	nan	1.815421448557	nan	1.270708441105	0.775719048931
OG0000575.28	OG0008512.0	OG0012068.2	OG0000109.0	OG0000132.40	OG0000018.289	OG0002453.0	OG0018801.0	OG0006383.0	OG0006875.0
1.147607797361	nan	nan	2.118489830716	1.4761328376910001	1.6441121860769998	nan	nan	nan	nan
OG0000054.0	OG0013081.0	OG0003635.0	OG0000142.14	OG0000015.773	OG0000435.0	OG0022923.0	OG0006416.0	OG0006417.0	OG0008149.4
1.9319171286599999	nan	nan	2.196396667076	3.702188319636	1.604118432148	nan	nan	nan	nan
OG0000010.64	OG0000228.54	OG0009241.2	OG0005071.2	OG0005463.3	OG0000169.16	OG0004536.0	OG0000006.561	OG0006244.2	OG0004579.2
2.196187976832	1.6243688649610002	nan	nan	nan	2.26510803819	0.355315586065	2.3444180522319997	nan	0.9684133960760001
OG0002869.0	OG0004576.6	OG0011954.3	OG0004605.20	OG0011439.2	OG0001557.1	OG0000026.45	OG0000090.24	OG0012983.0	OG0000105.0
nan	nan	nan	nan	nan	1.338729620192	2.074746709231	2.566944061119	nan	1.471885708726
OG0000177.8	OG0013634.0	OG0000099.0	OG0002711.15	OG0010975.0	OG0003991.2	OG0005918.2	OG0010781.2	OG0000121.128	OG0000001.1420
1.267357363022	nan	2.413464820675	0.483147674011	nan	0.357310070356	nan	nan	0.919558137898	1.91080168688
OG0004677.10	OG0000054.0	OG0006775.18	OG0005718.0	OG0000177.8	OG0004494.1	OG0000435.0	OG0004499.0	OG0000102.0	OG0024476.0
nan	1.9319171286599999	nan	nan	1.267357363022	nan	1.604118432148	nan	1.37462556283	nan
OG0000027.457	OG0000923.0	OG0007119.0	OG0004329.0	OG0024953.0	OG0005663.12	OG0003795.5	OG0000429.0	OG0000116.0	OG0011197.2
0.880791193566	1.662247586981	nan	nan	nan	nan	1.264442116616	1.577409135767	1.11560026038	nan
OG0000012.918	OG0006123.2	OG0007462.4	OG0000269.0	OG0001981.2	OG0000710.0	OG0004784.0	OG0000090.24	OG0003593.0	OG0016909.2
2.253472610271	nan	nan	1.281938110574	2.362471639493	1.527983334683	nan	2.566944061119	0.284785324093	nan
OG0015300.0	OG0027595.0	OG0000239.0	OG0011434.0	OG0000121.128	OG0000010.475	OG0005904.2	OG0004840.3	OG0006844.0	OG0000015.1
nan	nan	2.605977852872	nan	0.919558137898	2.016551432457	nan	1.610810905911	nan	4.604191005195999
OG0005437.0	OG0005460.0	OG0000177.8	OG0003722.24	OG0000075.0	OG0000032.252	OG0007054.1	OG0014583.3	OG0013215.0	OG0000442.2
nan	nan	1.267357363022	nan	1.125580394185	1.78932801755	nan	nan	nan	2.2898424091900003
OG0005891.2	OG0006108.0	OG0004810.0	OG0028969.0	OG0000121.128	OG0000169.16	OG0000015.773	OG0004632.0	OG0005097.2	OG0000013.2
nan	nan	nan	nan	0.919558137898	2.26510803819	3.702188319636	nan	nan	1.7835411069490001
OG0005686.0	OG0007639.25	OG0000045.0	OG0008459.10	OG0006696.0	OG0004957.0	OG0000074.152	OG0000043.242	OG0000350.8	OG0005827.2
nan	nan	1.8038768847639999	nan	nan	nan	1.352706069143	2.192899860912	1.887887114696	nan
OG0015947.1	OG0003121.6	OG0011191.4	OG0005109.6	OG0000349.0	OG0004254.44	OG0000435.0	OG0000026.45	OG0005904.2	OG0000116.0
nan	nan	nan	nan	1.076536177628	nan	1.604118432148	2.074746709231	nan	1.11560026038
OG0003068.0	OG0000018.842	OG0000109.0	OG0006370.4	OG0000007.976	OG0001986.24	OG0013931.2	OG0004580.6	OG0000119.0	OG0007653.0
nan	1.512374756564	2.118489830716	nan	1.775272505852	0.13257450743899998	nan	0.619939876791	1.963717346604	nan
OG0005841.2	OG0004453.2	OG0000056.0	OG0000421.45	OG0000060.0	OG0003800.0	OG0006356.1	OG0001557.1	OG0000090.24	OG0016421.2
nan	nan	1.7016717947909998	0.647725127307	2.1868875487799997	1.3848124709360001	nan	1.338729620192	2.566944061119	nan
OG0005047.0	OG0000112.0	OG0013055.2	OG0000018.289	OG0005463.3	OG0000307.20	OG0012118.4	OG0003278.0	OG0000105.0	OG0003696.0
nan	2.5568271419	nan	1.6441121860769998	nan	2.301983067245	nan	nan	1.471885708726	nan
OG0000012.918	OG0003316.28	OG0004323.9	OG0005278.1	OG0000000.3460	OG0003505.8	OG0000004.846	OG0000169.16	OG0000200.0	OG0004571.0
2.253472610271	0.783698575397	nan	nan	0.6151347953199999	nan	nan	2.26510803819	1.457966397476	nan
OG0012134.2	OG0000310.18	OG0000007.976	OG0005495.0	OG0000060.0	OG0018111.0	OG0004239.0	OG0006417.0	OG0001601.50	OG0000442.2
nan	1.9655224609070001	1.775272505852	1.043568749417	2.1868875487799997	nan	0.002966589028	nan	0.8294961881540001	2.2898424091900003
OG0011461.0	OG0002964.14	OG0000177.8	OG0000018.289	OG0005918.2	OG0014066.4	OG0016615.0	OG0006877.0	OG0000200.0	OG0000102.0
nan	nan	1.267357363022	1.6441121860769998	nan	nan	nan	0.044517992389000005	1.457966397476	1.37462556283
OG0000486.2	OG0007190.6	OG0009889.2	OG0000139.0	OG0000002.1788	OG0003800.0	OG0006877.0	OG0005889.4	OG0015304.0	OG0000127.0
1.4245778186200002	0.156579561833	nan	1.829118737777	2.0637876470289997	1.3848124709360001	0.044517992389000005	nan	nan	2.4066698334720003
OG0006920.0	OG0006461.4	OG0005223.0	OG0000139.0	OG0000002.1788	OG0006064.22	OG0000121.128	OG0023154.0	OG0000035.64	OG0002869.0
nan	nan	nan	1.829118737777	2.0637876470289997	nan	0.919558137898	nan	1.928379765924	nan
OG0000177.8	OG0000010.64	OG0005514.0	OG0025860.0	OG0000039.0	OG0005269.0	OG0003400.52	OG0002765.0	OG0000121.128	OG0003732.8
1.267357363022	2.196187976832	nan	nan	2.269244320377	nan	nan	1.579264884221	0.919558137898	nan
OG0003385.20	OG0029083.0	OG0000039.0	OG0003991.2	OG0000307.20	OG0000192.0	OG0012882.0	OG0003588.2	OG0007712.0	OG0000075.0
nan	nan	2.269244320377	0.357310070356	2.301983067245	1.626760400607	nan	nan	nan	1.125580394185
OG0000054.0	OG0008596.4	OG0000018.842	OG0000099.0	OG0003831.0	OG0006418.0	OG0000047.282	OG0010801.5	OG0009022.8	OG0004975.0
1.9319171286599999	nan	1.512374756564	2.413464820675	1.14442306287	nan	1.815421448557	nan	nan	1.110790288359
OG0004971.4	OG0000109.0	OG0003635.0	OG0005891.2	OG0000056.0	OG0000000.3460	OG0000245.24	OG0007540.0	OG0010639.2	OG0025044.0
nan	2.118489830716	nan	nan	1.7016717947909998	0.6151347953199999	1.66625410437	0.502541305594	nan	nan
OG0002485.15	OG0007361.1	OG0000269.0	OG0005109.6	OG0009142.3	OG0000002.1788	OG0015371.0	OG0001557.1	OG0000350.8	OG0003820.20
nan	nan	1.281938110574	nan	nan	2.0637876470289997	nan	1.338729620192	1.887887114696	nan
OG0004323.9	OG0011605.0	OG0003319.0	OG0009289.16	OG0005099.0	OG0000032.252	OG0001557.1	OG0000116.0	OG0000090.24	OG0010671.0
nan	nan	nan	nan	nan	1.78932801755	1.338729620192	1.11560026038	2.566944061119	0.370026379664
OG0000018.842	OG0027598.0	OG0000228.54	OG0002713.0	OG0006399.1	OG0006514.0	OG0000007.585	OG0005416.0	OG0000013.2	OG0003818.6
1.512374756564	nan	1.6243688649610002	nan	0.794494779496	nan	1.5534465156189998	nan	1.7835411069490001	nan
OG0000176.0	OG0000177.8	OG0005631.12	OG0004970.0	OG0006218.0	OG0004010.24	OG0015320.0	OG0006844.0	OG0000013.2	OG0000442.2
2.277480959235	1.267357363022	nan	nan	nan	nan	nan	nan	1.7835411069490001	2.2898424091900003
OG0000575.28	OG0023085.0	OG0007120.0	OG0001618.1	OG0000099.0	OG0000486.2	OG0014533.2	OG0000011.866	OG0006444.0	OG0004975.0
1.147607797361	nan	nan	0.860441197141	2.413464820675	1.4245778186200002	nan	2.3895252011759998	nan	1.110790288359
OG0004813.0	OG0000109.0	OG0024478.0	OG0010778.2	OG0000000.3460	OG0000018.289	OG0000139.0	OG0012983.0	OG0005095.4	OG0004964.6
nan	2.118489830716	nan	nan	0.6151347953199999	1.6441121860769998	1.829118737777	nan	nan	1.885590959817
OG0011435.0	OG0003731.0	OG0000047.282	OG0024728.0	OG0007925.0	OG0000169.16	OG0005626.0	OG0004939.0	OG0000001.1420	OG0000007.3
nan	nan	1.815421448557	nan	nan	2.26510803819	nan	0.945185722688	1.91080168688	1.471294353775
OG0004971.4	OG0000265.0	OG0005011.0	OG0013536.0	OG0007789.0	OG0011897.10	OG0000192.0	OG0000032.252	OG0000074.152	OG0003833.22
nan	0.7382343009110001	nan	nan	nan	nan	1.626760400607	1.78932801755	1.352706069143	nan
OG0005494.2	OG0024506.0	OG0000239.0	OG0000007.976	OG0004739.0	OG0003204.0	OG0000435.0	OG0000102.0	OG0004997.9	OG0012093.2
nan	nan	2.605977852872	1.775272505852	nan	nan	1.604118432148	1.37462556283	nan	nan
OG0000575.28	OG0005686.0	OG0003403.0	OG0011198.6	OG0022196.0	OG0000002.1788	OG0000307.20	OG0000100.1	OG0003328.36	OG0006383.0
1.147607797361	nan	nan	nan	nan	2.0637876470289997	2.301983067245	2.500393374353	0.549832946822	nan
OG0005613.0	OG0000018.842	OG0009930.0	OG0016362.4	OG0000710.0	OG0000119.0	OG0003833.22	OG0000006.561	OG0003063.56	OG0005416.0
nan	1.512374756564	nan	nan	1.527983334683	1.963717346604	nan	2.3444180522319997	nan	nan
OG0000054.0	OG0007430.2	OG0002905.2	OG0005431.0	OG0020906.0	OG0000001.425	OG0006383.0	OG0006085.0	OG0000350.8	OG0000442.2
1.9319171286599999	nan	1.31957615735	nan	nan	1.796525480411	nan	1.104205942176	1.887887114696	2.2898424091900003
OG0000176.0	OG0007789.0	OG0000245.24	OG0004739.0	OG0012747.0	OG0016435.0	OG0000435.0	OG0000026.45	OG0003731.0	OG0005095.4
2.277480959235	nan	1.66625410437	nan	nan	nan	1.604118432148	2.074746709231	nan	nan
OG0000265.0	OG0003403.0	OG0000109.0	OG0000334.9	OG0000056.0	OG0005222.2	OG0005071.2	OG0011177.0	OG0006563.0	OG0017754.4
0.7382343009110001	nan	2.118489830716	1.4672174326679999	1.7016717947909998	nan	nan	nan	nan	nan
OG0000310.18	OG0006123.2	OG0006638.0	OG0005431.0	OG0003629.0	OG0000047.282	OG0004812.0	OG0028993.0	OG0000006.561	OG0000007.3
1.9655224609070001	nan	nan	nan	0.239082199149	1.815421448557	nan	nan	2.3444180522319997	1.471294353775
OG0003514.0	OG0017396.4	OG0007119.0	OG0001610.50	OG0000228.54	OG0000039.0	OG0007304.2	OG0000001.425	OG0000169.16	OG0006844.0
0.017529191194	nan	nan	1.565058768718	1.6243688649610002	2.269244320377	nan	1.796525480411	2.26510803819	nan
OG0000176.0	OG0000177.8	OG0005940.0	OG0012769.0	OG0000228.54	OG0005071.2	OG0000039.0	OG0005153.1	OG0010239.6	OG0013226.0
2.277480959235	1.267357363022	nan	nan	1.6243688649610002	nan	2.269244320377	nan	nan	nan
OG0006680.0	OG0000531.1	OG0000039.0	OG0003184.1	OG0000349.0	OG0000307.20	OG0000015.773	OG0006877.0	OG0006414.0	OG0002905.2
nan	nan	2.269244320377	nan	1.076536177628	2.301983067245	3.702188319636	0.044517992389000005	nan	1.31957615735
OG0007537.0	OG0008438.7	OG0020768.0	OG0000334.9	OG0002769.24	OG0000486.2	OG0005090.0	OG0000002.1788	OG0000100.1	OG0003278.0
nan	nan	nan	1.4672174326679999	0.759224492197	1.4245778186200002	nan	2.0637876470289997	2.500393374353	nan
OG0000112.0	OG0000009.921	OG0015753.2	OG0006118.4	OG0003156.4	OG0006607.0	OG0001557.1	OG0007546.0	OG0007402.0	OG0000007.3
2.5568271419	2.001610578712	nan	nan	1.151648627252	nan	1.338729620192	nan	nan	1.471294353775
OG0002713.0	OG0000139.0	OG0004254.44	OG0008961.0	OG0000010.475	OG0000928.25	OG0000200.0	OG0003830.0	OG0005095.4	OG0000015.1
nan	1.829118737777	nan	nan	2.016551432457	nan	1.457966397476	1.109853327872	nan	4.604191005195999
OG0013621.0	OG0002284.0	OG0003229.0	OG0015790.0	OG0012910.0	OG0000710.0	OG0000018.289	OG0000169.16	OG0002447.0	OG0000043.242
nan	1.017833798046	nan	nan	nan	1.527983334683	1.6441121860769998	2.26510803819	0.593455140334	2.192899860912
