OG0001698.26	OG0012926.0	OG0016785.2	OG0022825.0	OG0000027.457	OG0012896.0	OG0000471.2	OG0004710.2	OG0001566.2	OG0001643.24
nan	2.973177	2.974337	1.458084	nan	1.8034150000000002	nan	nan	nan	1.0225899999999999
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0018427.0	OG0000409.24	OG0056740.0	OG0006987.0	OG0000704.0	OG0004027.1
3.7350849999999998	nan	1.9685840000000001	0.8023712	2.1096220000000003	1.7569869999999999	2.589588	5.558396	nan	26.763579999999997
OG0000606.2	OG0021117.0	OG0000001.1420	OG0001191.24	OG0013740.8	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
0.8135521	3.75401	nan	nan	2.20744	1.3331110000000002	5.610296	nan	3.3340300000000003	nan
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0019494.0	OG0000263.57	OG0004807.4	OG0014207.0	OG0047088.0	OG0002138.0
1.587581	1.788271	1.1936799999999999	nan	2.075236	216.5791	4.423131	2.866391	3.3654379999999997	nan
OG0001734.7	OG0019182.0	OG0000056.0	OG0003610.0	OG0010606.0	OG0015812.0	OG0053838.0	OG0000044.1	OG0001402.24	OG0000512.25
nan	2.964071	nan	2.929911	1.915916	2.847403	2.619615	0.51542	nan	nan
OG0003604.62	OG0024446.0	OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
1.7926650000000002	3.396581	3.477096	4.128303	nan	1.066677	2.624045	nan	2.3441240000000003	nan
OG0000405.0	OG0043476.0	OG0007565.0	OG0019016.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
220.9414	1.477653	3.5533629999999996	1.7544389999999999	5.367121	1.435602	nan	3.83382	nan	nan
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0012427.14	OG0024512.0	OG0000126.1
2.544083	nan	nan	4.128303	nan	0.8697034	1.0407799999999998	1.451808	3.029511	1.709073
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0049025.0	OG0006410.0	OG0027420.0	OG0000092.1
nan	nan	nan	1.634724	nan	3.3449730000000004	2.373227	4.102931	3.432154	1.5749870000000001
OG0000764.26	OG0018934.1	OG0007070.2	OG0043565.0	OG0001163.24	OG0009316.2	OG0000044.1	OG0000082.1	OG0001309.24	OG0007809.2
1.487135	3.417811	26.09354	1.4821959999999998	nan	2.761742	0.51542	1.609501	nan	4.855506
