OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
nan	1.267357363022	0.24107051035500002	nan	nan	1.964041629498	2.534411768333	1.310867877392	0.21015173934700002	1.476988390538	0.0
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
0.320180318357	2.444272129392	0.514459704862	nan	1.577405115132	nan	0.420081995644	2.007299486531	nan	nan	nan
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
2.5568271419	nan	2.029779781789	nan	0.8134275686750001	nan	0.700557680839	nan	2.2690185626390003	nan	nan
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
1.185455767764	nan	2.566944061119	0.6930596110259999	0.986590715326	0.994041847042	nan	nan	0.920088614251	0.365202337554	0.055334159519
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
0.641553650155	nan	nan	1.310573375368	nan	0.43152605786799997	1.61264925211	2.577484774981	nan	2.0515388101089997	1.3262618055239999
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
nan	nan	1.767272919224	2.566944061119	1.4321010116269999	1.521182059701	0.272524245423	1.513606371199	nan	1.2627293241670001	nan
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
1.6676219083950001	nan	nan	nan	2.023323306536	1.576800189619	0.969568022294	nan	1.411415140617	1.0614469450700001	nan
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
0.36746151243	1.6298174043779998	nan	1.91601416255	1.191827704827	1.3921616959799998	2.605977852872	2.032737695818	1.295690593913	nan	nan
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
1.692033379133	2.566944061119	0.628221022237	1.286623627055	1.577405115132	nan	nan	0.040427895621	1.314219737846	nan	nan
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0006715.0	OG0024831.0	OG0001058.26	OG0000771.24
0.8628859944399999	0.857005471005	0.34342348576	1.61264925211	nan	nan	2.26510803819	nan	nan	nan	0.8575560407610001
