OG0019212.0	OG0000441.96	OG0001741.1	OG0007639.5	OG0000236.1	OG0011318.4	OG0012897.4	OG0020019.0	OG0005996.10	OG0001699.1	OG0000834.15	OG0002590.0	OG0001842.34	OG0002488.24	OG0002309.26	OG0005056.1	OG0014063.4	OG0000833.0	OG0008015.25	OG0001843.5	OG0013273.0	OG0014068.0	OG0006158.4	OG0000606.2	OG0011319.4	OG0013106.2	OG0000236.19	OG0003001.0	OG0000750.0	OG0003342.16	OG0004314.0	OG0005266.0	OG0000264.1	OG0015416.2	OG0020502.0	OG0000236.122	OG0014817.2	OG0000098.0	OG0007127.0	OG0001764.0	OG0001964.1	OG0005326.0	OG0001607.2	OG0002787.0	OG0000751.0	OG0013218.3	OG0006225.0	OG0001844.24	OG0003860.1	OG0000324.0	OG0005400.0	OG0029060.0	OG0000920.27	OG0001698.26	OG0001309.24	OG0003151.14	OG0006297.0	OG0003991.2	OG0001711.10	OG0001643.24	OG0002012.0	OG0002651.6	OG0000119.0	OG0008335.19	OG0044466.0	OG0002988.0	OG0000213.17	OG0000471.2	OG0053812.0	OG0004226.0	OG0000038.0	OG0004205.0	OG0005741.0	OG0006752.0	OG0000869.2	OG0000834.30	OG0016785.2	OG0002101.0	OG0001824.24	OG0000646.28	OG0009857.2	OG0000711.2	OG0001778.24	OG0000318.0	OG0000441.1	OG0001579.36	OG0000320.0	OG0000456.0	OG0000749.2	OG0000310.18	OG0011985.2	OG0012896.0	OG0001016.1	OG0005567.0	OG0001567.1	OG0002348.56	OG0015415.0	OG0029057.0	OG0000213.256	OG0002178.2	OG0014065.0	OG0000065.1	OG0000740.26	OG0028281.0	OG0000065.40	OG0004135.0	OG0005575.28	OG0007639.25	OG0008099.0	OG0008342.0	OG0001907.32	OG0014302.8	OG0007845.0	OG0001602.32	OG0001566.2	OG0001823.24	OG0008341.0	OG0015105.0	OG0000206.0	OG0000551.2
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.4536625645789998	nan	nan	nan	0.268754511682	nan	nan	nan	0.741197522587	nan	nan	0.5352191889335	0.231548124713	nan	nan	nan	nan	0.443153155716	1.7325418681459999	nan	1.389812044486	0.33088129087900003	nan	nan	0.8332701389309999	nan	0.537143727844	nan	0.231916112181	nan	nan	1.3603542137865001	0.22836651696	0.35412537465300004	nan	2.170429832158	1.588474453453	0.7175547210359999	0.7239718104674999	nan	nan	nan	nan	nan	0.760299884636	0.261921997701	0.357310070356	0.587051292348	0.0	nan	0.0834926394225	0.422599156848	nan	nan	0.940717740574	1.301697733424	0.153356509654	nan	0.317304723305	1.1212888064525	0.599493221387	nan	0.796509452392	0.0681010226245	nan	nan	nan	nan	0.0	0.38088426627599997	0.18954319750100002	nan	0.270593866686	nan	1.283383712369	0.5838054943	1.775903555752	0.24919973366099998	0.690817528156	nan	0.949246834947	0.33393899563499996	0.54991319992	0.0	0.8126513596789999	nan	nan	nan	0.5513784800695	nan	0.048481179496999996	0.26083913702	nan	2.164189072771	0.45955146325900004	nan	nan	0.368832789812	nan	nan	nan	nan	nan	0.7148180191475	nan	nan	nan	1.0354518584195	0.096657729173
OG0004601.0	OG0004091.0	OG0018087.2	OG0000922.28	OG0000682.0	OG0000381.0	OG0027752.0	OG0002580.2	OG0011489.0	OG0010872.12	OG0000406.0	OG0012126.3	OG0012959.2	OG0000753.0	OG0004852.0	OG0000085.0	OG0020899.0	OG0000814.1	OG0005307.0	OG0012202.0	OG0020848.0	OG0003440.0	OG0027806.0	OG0000364.1	OG0000288.79	OG0011438.4	OG0014033.0	OG0005681.2	OG0012683.2	OG0000862.34	OG0041540.0	OG0012064.0	OG0048147.0	OG0000143.0	OG0001302.24	OG0000807.26	OG0001863.0	OG0000420.0	OG0001087.24	OG0000377.148	OG0005304.0	OG0000158.1	OG0006643.0	OG0000100.1	OG0003592.0	OG0001237.24	OG0004198.0	OG0000004.433	OG0015187.4	OG0000013.2	OG0007023.0	OG0000256.24	OG0003642.0	OG0004640.26	OG0003067.0	OG0012651.6	OG0000413.2	OG0000380.29	OG0001419.3	OG0000261.0	OG0002128.0	OG0041541.0	OG0005901.4	OG0000019.2	OG0011924.11	OG0024505.0	OG0008665.0	OG0000002.1147	OG0001857.4	OG0000419.108	OG0045229.0	OG0002133.0	OG0001736.4	OG0002210.0	OG0007723.0	OG0001365.24	OG0010577.0	OG0002418.9	OG0003423.0	OG0025008.0	OG0000297.1	OG0000290.0	OG0008097.4	OG0000962.24	OG0000225.48	OG0005287.12	OG0045888.0	OG0003502.3	OG0015967.4	OG0007159.0	OG0022375.0	OG0000858.32	OG0002117.0	OG0013881.0	OG0009205.0	OG0013892.2	OG0014234.1	OG0017257.0	OG0000177.8	OG0002448.22	OG0001273.24	OG0004163.4	OG0003928.0	OG0000287.0	OG0010584.0	OG0003281.0	OG0002298.4	OG0020651.0	OG0001656.2	OG0002464.21	OG0000257.0	OG0010775.0	OG0006941.0	OG0001594.1	OG0015168.2	OG0000336.0	OG0004935.0	OG0009014.0	OG0004096.6	OG0000317.0
nan	0.280224869176	nan	nan	1.366085264488	1.7297201300655	nan	1.124382181137	nan	nan	1.1546375370365	nan	nan	0.488940618767	nan	1.056086705124	nan	nan	1.568279799171	nan	nan	nan	0.249841718864	0.99121009558	nan	nan	nan	1.035650105921	nan	nan	nan	0.5758400878800001	nan	1.767929436519	nan	0.263271831281	nan	1.08290867172	nan	nan	0.1449038595925	nan	nan	1.748310412663	nan	nan	nan	0.817622098186	nan	1.37149982285	nan	1.321644143506	0.8769327271200001	nan	1.5365349278600002	nan	nan	0.1547015726465	nan	1.0940292662200002	nan	nan	nan	1.045088107729	nan	nan	nan	1.5300284774035	nan	0.82954202925	nan	nan	1.506398163447	nan	nan	nan	nan	1.0013614532469999	nan	nan	0.224113926259	1.4709332882765	nan	0.026882772866000004	0.7952343015600001	0.554177953875	nan	nan	nan	nan	nan	0.11642362426200001	1.329965333399	nan	nan	nan	nan	nan	0.6218149268550001	1.124112366712	nan	nan	0.302724604618	0.8154231464560001	nan	nan	1.459152268674	nan	0.9993618749865	nan	1.717674861702	nan	nan	nan	nan	1.043087823319	0.48447999150550003	nan	nan	1.3497566844495001
OG0009189.0	OG0013716.0	OG0002284.0	OG0000001.2003	OG0003330.1	OG0004811.0	OG0002387.20	OG0002618.0	OG0002201.2	OG0013042.0	OG0013923.2	OG0000005.318	OG0047243.0	OG0013062.2	OG0000396.79	OG0027668.0	OG0002884.0	OG0001189.24	OG0000685.33	OG0000132.40	OG0000349.0	OG0027498.0	OG0003357.4	OG0004044.36	OG0001416.0	OG0000461.0	OG0000705.16	OG0001463.24	OG0007561.6	OG0018811.0	OG0011755.11	OG0004011.8	OG0007086.1	OG0001598.16	OG0004180.46	OG0003834.8	OG0016401.1	OG0000232.19	OG0006283.0	OG0002597.0	OG0011134.8	OG0002031.0	OG0000042.23	OG0005282.0	OG0029018.0	OG0000151.0	OG0002352.25	OG0000014.1	OG0005290.0	OG0001831.0	OG0027783.0	OG0000059.133	OG0000605.0	OG0002336.0	OG0003923.0	OG0043410.0	OG0015129.0	OG0006880.13	OG0005227.24	OG0043861.0	OG0025893.0	OG0001267.24	OG0000186.266	OG0001737.0	OG0002181.0	OG0000305.0	OG0000338.41	OG0012902.0	OG0011321.2	OG0016067.1	OG0012102.0	OG0002493.6	OG0001329.24	OG0012172.0	OG0010592.6	OG0020456.0	OG0000460.47	OG0001036.24	OG0000431.12	OG0010951.0	OG0017962.4	OG0002084.0	OG0005341.0	OG0000780.24	OG0011350.0	OG0001235.24	OG0001260.24	OG0003158.0	OG0005087.2	OG0003683.0	OG0008200.0	OG0001136.24	OG0003332.0	OG0005989.0	OG0007506.1	OG0000001.1420	OG0035652.0	OG0000214.0	OG0000180.0	OG0006365.0	OG0000451.0	OG0001143.26	OG0046034.0	OG0011633.1	OG0000287.0	OG0000647.0	OG0019704.0	OG0001401.24	OG0000407.1	OG0014746.1	OG0007702.0	OG0025974.0	OG0001649.0	OG0001060.26	OG0012911.0	OG0000336.0	OG0006459.10	OG0000553.6	OG0005565.0	OG0000528.32
1.465200058195	nan	0.7954490510665	1.262900481817	nan	nan	1.110807209704	2.1654824108270003	nan	nan	nan	0.285435458893	nan	nan	nan	nan	0.729939939235	nan	nan	1.1010447823010001	0.650094380765	nan	nan	nan	0.7297363871089999	1.102718577467	0.600499439469	nan	nan	nan	nan	0.20595248235599997	nan	0.098566106328	1.0909891035200001	nan	nan	0.4073772177795	nan	1.217255869857	nan	nan	0.6288357465825	nan	nan	1.575946046466	1.227872740156	1.2154896616745	nan	nan	0.632510596795	1.372990589964	1.1978495888225	nan	0.966638295889	nan	0.810913931724	nan	nan	nan	nan	nan	nan	nan	0.9367108288220001	1.4113414663209998	0.922558862863	nan	nan	nan	nan	0.318908064452	nan	nan	nan	nan	nan	nan	0.96325338405	1.19300139605	nan	nan	1.262584921895	1.2099855790435	nan	nan	nan	nan	1.083460129739	nan	nan	0.6986550596250001	0.658690584665	nan	0.0	1.294497957509	nan	1.9815703069650001	1.8114998751629998	0.8719636525175001	1.4727506415740002	nan	nan	nan	0.8154231464560001	1.37014851421	nan	nan	0.8788864893005	nan	nan	nan	0.371937060978	nan	nan	1.043087823319	nan	1.102420648691	nan	1.6395070884610001
OG0006665.0	OG0004356.0	OG0013652.3	OG0001165.26	OG0000139.0	OG0002559.0	OG0002195.1	OG0000288.62	OG0001130.24	OG0006720.0	OG0000726.25	OG0005042.6	OG0000101.90	OG0003595.1	OG0047433.0	OG0001522.0	OG0005196.0	OG0000075.0	OG0007200.0	OG0024557.0	OG0004108.36	OG0046151.0	OG0002053.0	OG0007557.2	OG0004888.1	OG0001687.23	OG0001881.0	OG0004234.0	OG0004005.1	OG0003699.6	OG0018183.2	OG0014171.0	OG0007108.26	OG0004167.25	OG0005358.0	OG0004053.58	OG0001802.4	OG0001262.36	OG0000498.0	OG0001539.22	OG0006903.2	OG0003976.0	OG0000044.1	OG0010092.0	OG0037957.0	OG0000042.23	OG0024558.0	OG0000603.1	OG0001242.28	OG0007131.0	OG0000683.0	OG0016892.2	OG0003293.4	OG0000302.34	OG0000525.2	OG0001885.0	OG0009263.0	OG0001918.20	OG0002987.2	OG0001608.24	OG0001090.26	OG0016466.2	OG0029220.0	OG0013563.0	OG0013008.8	OG0022367.0	OG0006509.2	OG0006332.2	OG0000404.58	OG0004559.0	OG0011704.2	OG0010741.0	OG0000185.5	OG0000204.2	OG0001009.24	OG0007742.2	OG0038652.0	OG0001174.24	OG0000403.25	OG0001830.6	OG0001573.24	OG0001774.6	OG0009249.0	OG0000741.0	OG0002117.0	OG0005537.2	OG0003076.0	OG0009899.0	OG0003635.0	OG0027701.0	OG0005087.2	OG0011345.0	OG0000760.17	OG0002577.26	OG0029017.0	OG0008482.0	OG0012527.4	OG0000001.2142	OG0024737.0	OG0005149.0	OG0000526.0	OG0000177.8	OG0000006.1	OG0000011.866	OG0012674.4	OG0009159.0	OG0001083.26	OG0003281.0	OG0004726.1	OG0005604.1	OG0024660.0	OG0006559.0	OG0000062.12	OG0002219.0	OG0000230.58	OG0001272.24	OG0011312.2	OG0016859.0	OG0000336.0	OG0000753.0
nan	1.091004418796	nan	nan	1.052676666293	0.3666905853915	nan	nan	nan	1.5752861674435	0.9609252491605	1.2990672376005	nan	1.02567820442	nan	0.198389123393	nan	0.95684236441	0.0	nan	0.279359332159	nan	nan	nan	1.059665287794	nan	nan	nan	0.6536398362865	nan	nan	nan	nan	nan	0.461895486438	nan	0.6299758755035	nan	1.332458176983	nan	nan	0.190882859584	0.615346681423	nan	nan	0.6288357465825	nan	0.489889641034	nan	nan	1.292140598671	nan	nan	0.5929298875285001	0.9828727557985001	nan	nan	nan	nan	2.414555937472	nan	nan	1.000370918659	nan	nan	nan	nan	1.281706843233	1.57890834609	1.014164326704	nan	nan	1.0938002483435	0.765266650422	0.891980105736	nan	nan	nan	1.027159210727	0.33591839451899996	nan	1.2074993671379999	nan	nan	1.329965333399	nan	1.750103420706	0.152385588798	nan	nan	1.083460129739	nan	0.47812383840499995	0.3497548865	nan	nan	nan	1.2779381037555	nan	nan	0.867178427517	0.6218149268550001	1.0239541202299998	1.695134266218	nan	nan	nan	nan	nan	nan	nan	nan	0.26361676509799997	1.747696841154	0.954801843257	nan	nan	nan	1.043087823319	0.488940618767
OG0028987.0	OG0000897.0	OG0003413.0	OG0006186.0	OG0003219.0	OG0000910.22	OG0019469.0	OG0000866.3	OG0011986.10	OG0006349.2	OG0000209.146	OG0000859.24	OG0023936.0	OG0000414.34	OG0004739.0	OG0016036.0	OG0009314.0	OG0016272.0	OG0000364.1	OG0002803.15	OG0012876.0	OG0001170.24	OG0010847.0	OG0001045.24	OG0000279.0	OG0024632.0	OG0010949.13	OG0006703.0	OG0038836.0	OG0012213.0	OG0004513.4	OG0000350.8	OG0000197.0	OG0019385.0	OG0000522.0	OG0001209.1	OG0000062.320	OG0000914.30	OG0007148.0	OG0003372.6	OG0020760.0	OG0024533.0	OG0003920.14	OG0008053.1	OG0000092.1	OG0003592.0	OG0006692.0	OG0002350.22	OG0028525.0	OG0004186.6	OG0001896.13	OG0004792.0	OG0015752.2	OG0000940.24	OG0001770.0	OG0003036.0	OG0003424.0	OG0000561.24	OG0001063.0	OG0006180.8	OG0003675.0	OG0001380.24	OG0015196.0	OG0000035.64	OG0000009.802	OG0001404.24	OG0002095.0	OG0011153.0	OG0013862.2	OG0002133.0	OG0005442.4	OG0001497.24	OG0017923.3	OG0001766.6	OG0011223.2	OG0000175.197	OG0003260.63	OG0000631.0	OG0041898.0	OG0000290.0	OG0005012.2	OG0004251.2	OG0000431.12	OG0010004.2	OG0010526.2	OG0002478.0	OG0001253.24	OG0000188.1	OG0003777.2	OG0003299.0	OG0004770.1	OG0014667.0	OG0012123.0	OG0024706.0	OG0004258.0	OG0005327.0	OG0012459.6	OG0002333.0	OG0008095.2	OG0000727.24	OG0000411.0	OG0000159.8	OG0000276.72	OG0000175.4	OG0001828.65	OG0000778.0	OG0003177.0	OG0001406.24	OG0015952.0	OG0010743.6	OG0001984.118	OG0002612.0	OG0000011.1	OG0006294.10	OG0000012.581	OG0000183.0	OG0021470.0	OG0006627.0	OG0010757.0	OG0006834.2
nan	nan	nan	nan	2.0336175804120002	2.0865850234575	nan	1.578294154012	nan	0.91281768339	nan	1.0552694692365	nan	0.703463832484	nan	nan	0.823275418215	nan	0.99121009558	1.006273484051	nan	nan	nan	0.9485840550810001	0.8093352656270001	nan	nan	nan	nan	nan	0.7010423468705	1.579949677197	1.578457131336	nan	1.0318632547285	nan	0.071178858805	1.485324986277	nan	0.8685408177165	nan	nan	1.4939973417985002	nan	1.0738679283565	nan	nan	0.43960915881650003	nan	nan	0.280230276525	0.39394402330449996	nan	0.5955464964895	1.1123916654655	0.721982373631	0.886558974674	0.490673350377	nan	nan	nan	nan	nan	1.138969274528	nan	nan	nan	nan	nan	nan	1.169212239423	nan	nan	1.048961005107	nan	0.646007653289	nan	0.885432822973	nan	1.4709332882765	1.9399086669639998	1.601924369346	0.96325338405	nan	nan	0.8273658751690001	nan	1.137251759946	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.734985918599	0.2968679977345	0.9428140687600001	0.48693089294749997	0.35962299547250004	0.11021646002999999	0.473214325778	0.9526758942185	nan	nan	nan	4.715697308719999	1.504965950246	1.841854322214	nan	2.1166477475125	0.951967910752	nan	nan	nan	0.1671008264895
OG0002591.2	OG0002187.7	OG0005644.0	OG0003422.0	OG0020001.0	OG0003460.0	OG0002961.20	OG0000027.457	OG0002697.0	OG0006349.2	OG0013506.0	OG0000173.0	OG0013510.0	OG0000859.24	OG0002447.0	OG0006003.0	OG0000575.28	OG0024724.0	OG0000919.32	OG0000088.3	OG0002340.0	OG0000121.128	OG0003525.5	OG0002145.0	OG0000415.0	OG0008965.0	OG0000364.1	OG0007440.0	OG0017905.0	OG0000739.15	OG0009031.0	OG0007548.0	OG0004422.0	OG0011202.1	OG0001847.4	OG0003252.0	OG0010498.1	OG0001265.24	OG0006356.1	OG0011763.0	OG0003071.0	OG0000196.0	OG0024513.0	OG0008252.2	OG0000568.0	OG0001878.2	OG0001068.1	OG0011296.2	OG0000452.0	OG0001438.24	OG0010044.0	OG0000062.320	OG0000893.3	OG0007043.6	OG0000100.1	OG0056579.0	OG0002733.0	OG0000495.53	OG0025171.0	OG0013534.2	OG0006275.0	OG0018989.0	OG0004906.0	OG0000059.133	OG0000261.0	OG0022476.0	OG0001561.0	OG0000581.0	OG0046576.0	OG0025090.0	OG0002158.0	OG0003194.15	OG0000419.108	OG0000198.0	OG0002656.2	OG0020054.0	OG0018991.0	OG0006696.0	OG0001853.0	OG0003587.16	OG0001647.0	OG0002670.1	OG0002914.0	OG0007522.1	OG0006642.0	OG0005820.0	OG0029130.0	OG0002172.0	OG0014416.5	OG0001495.2	OG0000431.12	OG0019380.0	OG0001148.24	OG0001179.24	OG0004125.0	OG0002084.0	OG0014766.3	OG0002911.0	OG0028446.0	OG0012200.0	OG0025899.0	OG0000359.28	OG0018193.2	OG0000497.40	OG0003288.0	OG0003926.2	OG0008294.0	OG0000092.236	OG0000214.0	OG0021964.0	OG0000159.8	OG0002572.0	OG0001514.22	OG0000983.28	OG0027462.0	OG0053998.0	OG0009133.1	OG0000160.224	OG0002824.0	OG0005590.0
