OG0000038.0	OG0004617.12	OG0000019.257	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
-0.5428785420499038	-1.534913621113934	-0.6794575575715407	-2.879382638782058	-0.5420380555473153	-0.6443071024337754	-0.35752946268417823	-0.9700171337842857	-0.5075827599241425	-0.43908943912011134	0.40064722052282803	-0.6610907271910786	-2.554697057863487	-1.1883645691462565	-1.626379626754263	-1.8416629728328997	-1.446934455954395	-0.07369688813860564	-0.9132162338579334
OG0000045.0	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
-0.2716005413289375	-1.3154505308161575	-0.6810758359699232	-0.8596139677169436	-0.8282807609121521	-0.5245000127350491	-1.3699673661062333	-0.848141183272995	-2.1844245711374275	-0.8614476248473515	-1.3165281071447728	-1.2022399203681666	-1.5661859155419728	-0.22617242101930626	0.0001442622910945383	-1.054991671584577	-1.6579004351672157	-1.54877569787331	-0.49045616203966397
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0
-1.2416115345206478	-1.0142081455872887	0.3951725059957788	-1.4819685073978306	-0.6810758359699232	-1.9334629976042088	-0.9753966328593433	0.7399344890375401	-0.009698583431293964	-0.2004152986302959	-0.7249929525001302	-0.890037746601182	-0.7715199016700826	-0.5691795034802285	-1.7197563041339832	-1.3259009714622862	-1.689194568936827	-0.4054514504496458	-0.41676977290008077
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
-0.7767010266672103	-1.091110253026279	-0.5736815646206662	-2.255666652618641	-0.12406270353362446	-1.626379626754263	-0.8839014477634204	0.21921499579542392	-0.3176064889372687	-0.7013416844354848	-1.7093396881886447	-0.4737308279347723	-0.9731291352752548	-1.3415371388258908	-0.5100460986686944	-0.23514432874529573	-0.17576167339628612	0.490672809713238	-0.6357637688260032
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
-1.045431429247006	-1.6597225952337458	-1.633076351021482	-1.0929555251272016	-2.255666652618641	-0.5629853780150043	-0.6321816563938067	-1.6308406539354687	-0.4111954329844497	-0.42953706897395905	-0.40144422667648927	-0.6716230659673341	-0.6060347243397574	-0.48964565918638664	-0.5944432366562431	-1.2764851241261952	-0.3237325917341102	-1.3606752108291549	0.5140970048942337
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0010605.0	OG0000192.0	OG0000923.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
-0.7948577593747018	-1.5075827599241425	0.07464243793449277	0.1713349473987682	-0.9971174914668787	-0.7107557148433575	0.7399344890375401	-0.3830777578812987	-0.5409881355236181	-0.5870559266312819	-0.40144422667648927	-1.8556925327369578	-0.9252205735033867	-0.989363363891263	-0.6917556356062868	-2.558091635996411	-0.4823715511330652	-1.6877995373623218	-1.7150121530621574
OG0002682.12	OG0004833.1	OG0000310.18	OG0003051.0	OG0017851.0	OG0000001.425	OG0001851.13	OG0000109.0	OG0005485.2	OG0000090.24	OG0003818.6	OG0000246.0	OG0000455.62	OG0002577.26	OG0009937.0	OG0005115.3	OG0000012.918	OG0000927.0	OG0004974.0
-0.7744782657433966	-0.7923569873134674	-0.14082554413356455	-0.17283135070796904	-2.4266254735540556	0.661840791305371	-1.38458370273713	-0.30953820508128127	-0.5911794654711495	0.15328652099086262	-0.28401879681160275	-0.5324074912870507	-1.5627722610870904	-1.0107156402523292	-1.6339716008428806	-0.21240037308900625	-0.17576167339628612	-0.7242777438392516	-1.364756387640972
OG0001753.20	OG0004473.2	OG0002419.38	OG0001972.1	OG0001921.0	OG0000074.152	OG0000169.16	OG0000246.0	OG0004453.2	OG0001776.0	OG0000780.24	OG0000054.0	OG0013059.0	OG0010749.0	OG0005466.0	OG0000060.0	OG0007990.1	OG0001731.4	OG0000239.0
