OG0002252.0	OG0022826.0	OG0000606.2	OG0006400.2	OG0004324.0	OG0000019.257	OG0001967.0	OG0006804.0	OG0002346.16	OG0000835.7	OG0000177.8
nan	1.449231	nan	0.6155170999999999	3.186394	nan	1.0890799999999998	0.4374031	1.538705	0.9340764000000001	5.586796
OG0044334.0	OG0010586.2	OG0000629.1	OG0028073.0	OG0022890.0	OG0038662.0	OG0047539.0	OG0022782.0	OG0011077.1	OG0015546.3	OG0006718.7
2.748884	1.2143760000000001	236.0761	3.7789269999999995	1.4390020000000001	3.403894	3.365322	1.43133	262.2546	1.3229870000000001	3.030817
OG0000008.1	OG0002100.0	OG0003138.0	OG0013583.0	OG0049159.0	OG0046415.0	OG0000894.25	OG0013017.9	OG0011933.0	OG0024685.0	OG0013182.2
8.079631	nan	13.85793	8.067056	2.354732	nan	nan	1.932955	1.248034	1.462012	3.783699
OG0057016.0	OG0016768.5	OG0009897.1	OG0000015.1	OG0047017.0	OG0008348.0	OG0000051.490	OG0056740.0	OG0004260.3	OG0027786.0	OG0046622.0
2.785453	1.44302	1.1309559999999999	nan	nan	1.1054629999999999	2.24093	2.5916509999999997	4.992061	256.9455	250.1353
OG0012777.0	OG0009928.2	OG0020540.0	OG0004907.8	OG0002233.0	OG0024292.0	OG0005591.5	OG0014692.1	OG0048836.0	OG0027043.0	OG0000426.114
4.613594	2.839411	1.664095	nan	nan	2.5198650000000002	1.720084	8.117105	2.379193	3.274823	2.757837
OG0056994.0	OG0004857.5	OG0034922.0	OG0027532.0	OG0005805.2	OG0047561.0	OG0025860.0	OG0047113.0	OG0000759.38	OG0012064.0	OG0018900.3
2.6117049999999997	3.5435449999999995	2.21102	3.413986	0.8360356	3.3662690000000004	1.101013	3.335836	nan	nan	nan
OG0006365.0	OG0041869.0	OG0022275.0	OG0013569.4	OG0019315.0	OG0045380.0	OG0007125.8	OG0000698.19	OG0023094.0	OG0007387.6	OG0034832.0
nan	3.268544	1.408859	8.185448	1.302683	255.0263	0.6538129	nan	2.703716	2.240639	2.229998
OG0045687.0	OG0000988.1	OG0018406.0	OG0019024.4	OG0048796.0	OG0038795.0	OG0044796.0	OG0019849.0	OG0006853.0	OG0024731.0	OG0024669.0
258.1167	nan	1.449999	265.6038	2.384805	3.4271949999999998	1.875207	3.3614330000000003	4.529682	2.214946	1.460253
OG0028454.0	OG0037975.0	OG0006049.4	OG0020395.0	OG0007639.5	OG0025358.0	OG0012626.1	OG0000881.3	OG0002407.0	OG0001739.127	OG0006707.0
2.366017	3.056355	3.186077	255.0989	3.6986800000000004	1.871759	3.3957059999999997	1.223184	2.671241	257.7092	218.4359
