OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
nan	-2.29689930039584	-2.357714316940423	nan	nan	-2.4872168790826374	-2.8943219221054632	-3.129102691334971	-3.5616645602659625	-1.483581358366132	nan
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
nan	-1.1731566483510358	-2.349970759472354	nan	-1.561068458065455	nan	-2.401253683845744	-3.3543167844286748	nan	nan	nan
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
-0.9847879149314968	nan	-1.037413961643117	nan	-1.3366098345481074	nan	-1.9753966328593433	nan	-1.4540316308947074	nan	nan
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
-2.0673340518542216	nan	-1.1635910677202619	-1.5034865191231976	-2.57905954386292	-2.1297339296040176	nan	nan	-1.4872168790826374	-3.4153453070548974	-5.250989273543925
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
-2.439872023918736	nan	nan	-1.8035440313585787	nan	-2.953439094242259	-1.0823772982737174	-0.9524616112366394	nan	nan	-1.4449691988177917
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
nan	nan	-1.2467377807321434	-1.1635910677202619	-1.340440727089101	-1.820106829466452	-1.99136969485656	-1.589441801857418	nan	-1.272123099152057	nan
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
-1.0466230006885937	nan	nan	nan	-2.1552126499209403	nan	-1.9293358992212104	nan	-1.5955328032369107	-1.7437139294149082	nan
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
-1.317246938769454	nan	nan	-2.0994326275853057	-1.5303223701828106	-1.2268476029859479	-1.5137490111158916	-1.8445098022524378	-1.9922304058540827	nan	nan
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
nan	-1.1635910677202619	-2.313297789743922	-1.9907961726701602	-1.561068458065455	nan	nan	-3.0185857004000316	-1.61683487515247	nan	nan
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0006715.0	OG0024831.0	OG0001058.26	OG0000771.24
-2.5170484866326897	-1.386468347082073	-2.402778731599688	-1.0823772982737174	nan	nan	-1.3980183001673634	nan	nan	nan	-1.4697294523537965
OG0005466.0	OG0000078.207	OG0000261.0	OG0000598.0	OG0002041.0	OG0002882.0	OG0013275.0	OG0000018.842	OG0045374.0	OG0005912.2	OG0000771.24
nan	nan	-1.4552178952133372	-1.4731299136431737	nan	-1.965220841951981	nan	-1.357714316940423	nan	nan	-1.4697294523537965
OG0001696.0	OG0005756.2	OG0046909.0	OG0003698.0	OG0007743.0	OG0003273.0	OG0000350.8	OG0000874.1	OG0002918.1	OG0000320.0	OG0001381.24
-2.6895668052907955	nan	nan	-4.003466629719779	nan	nan	-1.4106200045220358	-1.272123099152057	nan	-2.308287184217976	nan
OG0002077.0	OG0007886.0	OG0001489.4	OG0006139.0	OG0000169.16	OG0003875.2	OG0044496.0	OG0012732.0	OG0000634.26	OG0000966.4	OG0000226.4
nan	nan	-1.1898448469216805	nan	-1.3980183001673634	-3.204233052217608	nan	nan	-2.4336231996788755	-0.989363363891263	-0.8971403420779436
OG0001668.0	OG0035835.0	OG0001245.24	OG0003825.26	OG0003837.0	OG0004683.0	OG0002940.48	OG0002209.38	OG0000700.36	OG0000018.842	OG0000226.4
-1.6020875398230947	nan	nan	nan	nan	nan	-1.6157291074575852	-1.870651032789159	-2.4579896444633906	-1.357714316940423	-0.8971403420779436
OG0001770.0	OG0006270.12	OG0002536.0	OG0004837.2	OG0048079.0	OG0001829.22	OG0000748.0	OG0000188.1	OG0010703.0	OG0001401.24	OG0000310.18
-0.9559556672939787	nan	nan	nan	nan	-1.8035440313585787	-1.5674681212618837	-1.6386807984427838	nan	nan	-2.038598926835721
OG0000599.0	OG0045783.0	OG0000504.24	OG0004935.0	OG0009848.0	OG0006434.0	OG0003028.0	OG0000018.842	OG0000814.1	OG0000966.4	OG0004320.3
-1.3466647732088688	nan	-1.2629189948469006	-1.480558740371961	nan	-1.4898482422157007	-3.0185857004000316	-1.357714316940423	nan	-0.989363363891263	nan
OG0003698.0	OG0000584.0	OG0005693.0	OG0045507.0	OG0002857.4	OG0000001.2052	OG0001443.24	OG0003634.44	OG0002487.0	OG0000343.0	OG0000876.20
-4.003466629719779	-2.034160316911986	nan	nan	-1.3569750419865634	nan	nan	nan	nan	-1.7612131404128835	-1.7715199016700827
OG0013433.5	OG0000092.1	OG0000318.0	OG0001551.34	OG0003714.0	OG0002213.0	OG0000059.59	OG0005019.0	OG0001832.1	OG0006023.0	OG0002487.0
nan	-1.795358434389579	-3.0445383960764985	-2.452451460921961	-1.817053505488898	nan	nan	nan	-1.7197563041339832	nan	nan
OG0010762.2	OG0002449.21	OG0005448.0	OG0000892.1	OG0005886.2	OG0017345.1	OG0002718.4	OG0000561.24	OG0000107.44	OG0000294.0	OG0000966.4
nan	nan	nan	-0.9423071328316541	nan	nan	-1.0023101606872011	-1.858305638035469	-1.5955328032369107	-1.7437139294149082	-0.989363363891263
OG0000014.1	OG0000090.24	OG0001815.3	OG0008507.1	OG0000724.26	OG0003714.0	OG0000589.0	OG0007230.0	OG0056807.0	OG0003181.15	OG0004557.0
-1.4779442508390357	-1.1635910677202619	nan	-1.2594609513866566	-0.8746133946341861	-1.817053505488898	-1.8445098022524378	nan	nan	nan	nan
OG0000822.0	OG0000187.1	OG0000044.1	OG0000558.24	OG0001609.10	OG0005133.0	OG0003343.2	OG0013961.0	OG0008491.2	OG0008692.19	OG0002885.12
-1.994240730711315	-1.1731566483510358	-1.7863727614880525	-1.7784322114615907	-1.9023892033735776	nan	-1.8703872618695307	nan	nan	nan	nan
OG0002260.4	OG0006459.10	OG0007743.0	OG0000160.4	OG0011533.13	OG0000349.0	OG0004215.0	OG0002514.2	OG0000878.5	OG0001207.24	OG0000124.174
