OG0002252.0	OG0022826.0	OG0000606.2	OG0006400.2	OG0004324.0	OG0000019.257	OG0001967.0	OG0006804.0	OG0002346.16	OG0000835.7	OG0000177.8
-2.005782352594006	nan	-2.356236145662658	-3.5225920697297517	-2.607352856035737	-1.7918573526622783	-1.9329120351988534	-2.0344557997682955	-2.321206927643708	-2.5803532474685666	-2.107803289534515
OG0044334.0	OG0010586.2	OG0000629.1	OG0028073.0	OG0022890.0	OG0038662.0	OG0047539.0	OG0022782.0	OG0011077.1	OG0015546.3	OG0006718.7
nan	-2.7254699553283768	-1.781404798449143	nan	nan	nan	nan	nan	nan	nan	nan
OG0000008.1	OG0002100.0	OG0003138.0	OG0013583.0	OG0049159.0	OG0046415.0	OG0000894.25	OG0013017.9	OG0011933.0	OG0024685.0	OG0013182.2
-1.2017420673555	-2.8395960741399864	-2.0606981859003164	-2.6515409379135284	nan	nan	-2.3540217245972155	-1.672082742581352	-3.3295947131364274	nan	-1.529905707352221
OG0057016.0	OG0016768.5	OG0009897.1	OG0000015.1	OG0047017.0	OG0008348.0	OG0000051.490	OG0056740.0	OG0004260.3	OG0027786.0	OG0046622.0
nan	nan	-2.163267919540864	-1.0081017984969645	nan	-1.1837689496578923	nan	nan	-1.6199355411560192	nan	nan
OG0012777.0	OG0009928.2	OG0020540.0	OG0004907.8	OG0002233.0	OG0024292.0	OG0005591.5	OG0014692.1	OG0048836.0	OG0027043.0	OG0000426.114
-2.1916561403685035	-1.4494932990471394	-3.43097562343034	-2.8323851592448888	-2.091725081520941	nan	-1.3331525325496165	-1.4635491698052916	nan	nan	nan
OG0056994.0	OG0004857.5	OG0034922.0	OG0027532.0	OG0005805.2	OG0047561.0	OG0025860.0	OG0047113.0	OG0000759.38	OG0012064.0	OG0018900.3
nan	-3.012751907408848	nan	-3.7327398833965053	-1.1942948151614887	nan	nan	nan	-2.629054587423364	-1.9816506901211082	nan
OG0006365.0	OG0041869.0	OG0022275.0	OG0013569.4	OG0019315.0	OG0045380.0	OG0007125.8	OG0000698.19	OG0023094.0	OG0007387.6	OG0034832.0
-0.12139235428247001	nan	-1.7183314200271549	-2.6794575575715407	nan	nan	-2.911586990273275	-2.3718330007136763	nan	-1.8852332073344857	nan
OG0045687.0	OG0000988.1	OG0018406.0	OG0019024.4	OG0048796.0	OG0038795.0	OG0044796.0	OG0019849.0	OG0006853.0	OG0024731.0	OG0024669.0
nan	-2.384960434699289	nan	nan	nan	nan	nan	nan	-2.1952855637691946	nan	nan
OG0028454.0	OG0037975.0	OG0006049.4	OG0020395.0	OG0007639.5	OG0025358.0	OG0012626.1	OG0000881.3	OG0002407.0	OG0001739.127	OG0006707.0
nan	nan	-2.0733932587486836	nan	-2.3090019204430923	nan	nan	-2.31114825613412	-1.788863173017725	nan	-3.3813478624134716
OG0034297.0	OG0026289.0	OG0047302.0	OG0011162.10	OG0038828.0	OG0013979.0	OG0017065.5	OG0004808.0	OG0057131.0	OG0011350.0	OG0015532.4
nan	nan	nan	-2.0673340518542216	nan	-1.2159148572652432	nan	-2.2716005413289375	nan	-3.0606981859003164	nan
