OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
9.605725	21.4313	100.1257	nan	nan	nan	0.8220155	nan	2.979813	2.195914
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
0.674214	3.4825230000000005	5.586796	nan	0.5161384	3.7646339999999996	2.015177	1.353564	nan	0.5238347
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
nan	nan	0.564844	nan	0.9935761000000001	213.5491	3.153003	1.598608	5.324399	96.15433
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
218.6506	nan	nan	2.770196	nan	nan	2.658212	1.598608	9.403352	7.2948509999999995
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
nan	5.042091	nan	nan	1.938523	3.4862889999999997	3.698692	5.270464	nan	1.409416
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
0.572966	nan	3.829071	1.238918	2.254695	0.7496751	1.051104	0.7067894	nan	1.245981
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
218.8954	3.3700870000000003	nan	1.1216270000000002	0.515786	3.153003	nan	12.28026	2.041018	nan
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
0.9729732	3.739382	7.147694	nan	9.025097	1.372678	5.219119999999999	3.092234	6.010638	nan
OG0000027.457	OG0000923.0	OG0004469.6	OG0007098.2	OG0022067.0	OG0005153.1	OG0004970.0	OG0000139.0	OG0007761.3	OG0000127.0
nan	1.8671220000000002	11.70417	2.693793	1.529574	7.555855	10.375869999999999	3.153003	0.7058227	nan
OG0000112.0	OG0004494.1	OG0003424.0	OG0006712.0	OG0000039.0	OG0013911.3	OG0000710.0	OG0000060.0	OG0003386.20	OG0004128.4
0.9729732	nan	3.149033	216.1747	nan	68.99801	9.025097	nan	0.7306029	0.31734270000000003
OG0000132.40	OG0000228.54	OG0005105.0	OG0011433.8	OG0011552.0	OG0000349.0	OG0000011.1	OG0004757.2	OG0003993.4	OG0003370.4
nan	0.515786	19.97309	2.2828009999999996	1.751884	2.254695	nan	21.74194	1.4753180000000001	1.343983
OG0016132.6	OG0002604.2	OG0016143.0	OG0002709.2	OG0005870.0	OG0000074.152	OG0000090.24	OG0000001.1420	OG0010671.0	OG0000075.0
6.250862000000001	0.5370611	0.8151041	1.314254	nan	1.598608	1.567615	nan	3.4499239999999998	nan
OG0000012.918	OG0013503.4	OG0016077.0	OG0000196.0	OG0005672.0	OG0005315.0	OG0004376.0	OG0000307.20	OG0006135.0	OG0000007.585
nan	3.0367	0.8255258	0.8986194	2.038736	2.658212	nan	0.5161384	3.5806690000000003	nan
OG0000112.0	OG0006978.0	OG0016135.0	OG0000047.282	OG0011224.0	OG0000011.866	OG0005764.0	OG0005145.0	OG0005107.4	OG0000015.1
0.9729732	215.4471	2.340078	3.909817	0.7111385	nan	0.5696366999999999	2.131974	9.580309	nan
OG0009776.8	OG0004678.12	OG0000923.0	OG0000009.921	OG0000334.9	OG0005940.0	OG0012769.0	OG0013541.2	OG0005299.0	OG0000071.0
1.4991940000000001	12.362639999999999	1.8671220000000002	nan	1.265232	2.1774419999999997	nan	nan	8.106142	nan
OG0011605.0	OG0000045.0	OG0000228.54	OG0000196.0	OG0006118.4	OG0003695.0	OG0002447.0	OG0020648.0	OG0005495.0	OG0000007.3
8.092193	nan	0.515786	0.8986194	5.469681	1.372678	2.6901450000000002	2.34484	6.010638	nan
OG0004942.0	OG0000112.0	OG0005939.0	OG0028991.0	OG0000002.1788	OG0005115.3	OG0000435.0	OG0005088.0	OG0000007.3	OG0009074.8
10.89668	0.9729732	2.2197810000000002	3.7977800000000004	nan	1.565688	1.409416	0.7238014	nan	2.277282
OG0004971.4	OG0000009.921	OG0011499.1	OG0010013.0	OG0000239.0	OG0000060.0	OG0003505.8	OG0005870.0	OG0000435.0	OG0012210.0
5.691696	nan	2.212567	2.271405	nan	nan	1.453855	nan	1.409416	3.479511
OG0007615.6	OG0005947.0	OG0004749.2	OG0004970.0	OG0006322.4	OG0000192.0	OG0005115.3	OG0000074.152	OG0000035.64	OG0000013.2
nan	218.9816	1.099265	10.375869999999999	3.788504	3.8632519999999997	1.565688	1.598608	nan	nan
OG0000486.2	OG0005643.0	OG0000001.425	OG0000032.252	OG0000169.16	OG0006500.0	OG0003880.0	OG0021387.0	OG0005764.0	OG0009237.0
2.731414	3.7910559999999998	nan	nan	1.320063	218.7299	nan	1.6388049999999998	0.5696366999999999	0.7030225
OG0000018.842	OG0011718.13	OG0005936.0	OG0000000.3460	OG0000047.282	OG0003568.0	OG0006980.0	OG0010101.0	OG0000001.1420	OG0006444.0
2.682202	3.752355	2.1852650000000002	nan	3.909817	1.417956	215.90900000000002	1.346325	nan	5.5504050000000005
OG0005686.0	OG0006708.0	OG0020441.0	OG0000015.773	OG0000026.45	OG0000090.24	OG0008066.0	OG0006389.4	OG0006418.0	OG0000442.2
3.3007760000000004	223.0686	2.9976849999999997	nan	nan	1.567615	2.990618	6.042633	9.499102	4.111063
OG0003502.3	OG0000027.457	OG0000176.0	OG0007584.0	OG0006370.4	OG0018981.2	OG0000192.0	OG0004957.0	OG0000200.0	OG0005447.3
7.154696	nan	nan	nan	3.841685	3.4339459999999997	3.8632519999999997	nan	1.051104	5.571809
OG0000054.0	OG0024950.0	OG0009978.0	OG0000429.0	OG0006744.1	OG0001608.24	OG0000001.425	OG0000074.152	OG0002577.26	OG0006474.4
nan	2.009573	1.8250119999999999	4.577324	2.724663	0.7927951	nan	1.598608	2.024321	9.43061
OG0000099.0	OG0005986.4	OG0006790.0	OG0000139.0	OG0001710.24	OG0007958.13	OG0000026.45	OG0005097.2	OG0010513.2	OG0000442.2
nan	214.459	3.098879	3.153003	1.490841	nan	nan	1.9418389999999999	3.3985199999999995	4.111063
OG0003584.16	OG0003514.0	OG0000018.842	OG0013132.4	OG0008562.0	OG0000011.1	OG0000074.152	OG0000105.0	OG0004977.0	OG0027623.0
5.347451	4.385952	2.682202	1.356403	2.317566	nan	1.598608	nan	1.559956	2.039987
OG0004966.0	OG0000710.0	OG0007761.3	OG0000032.252	OG0000187.1	OG0022068.0	OG0004128.4	OG0000102.0	OG0012093.2	OG0003198.2
19.43522	9.025097	0.7058227	nan	nan	1.9486240000000001	0.31734270000000003	nan	226.0138	5.656714
OG0000923.0	OG0008277.0	OG0000056.0	OG0001981.2	OG0005153.1	OG0013535.7	OG0005463.3	OG0000139.0	OG0011434.0	OG0000015.1
1.8671220000000002	nan	nan	nan	7.555855	3.1475419999999996	5.690017	3.153003	nan	nan
OG0010779.2	OG0000027.457	OG0006566.0	OG0006082.0	OG0000169.16	OG0001557.1	OG0004569.0	OG0000043.242	OG0029064.0	OG0006143.2
2.615805	nan	221.7532	5.59743	1.320063	21.40628	0.8936914	nan	3.812444	6.6701820000000005
OG0000018.842	OG0011211.0	OG0000486.2	OG0000039.0	OG0005229.4	OG0000015.773	OG0016644.5	OG0002991.24	OG0003614.8	OG0015351.0
2.682202	0.6474976	2.731414	nan	9.104336	nan	3.444601	10.3782	6.696791999999999	1.322646
OG0000027.457	OG0006298.0	OG0000177.8	OG0005940.0	OG0004453.2	OG0005212.2	OG0019272.0	OG0003247.1	OG0000121.128	OG0000105.0
nan	nan	5.586796	2.1774419999999997	19.607770000000002	2.1819029999999997	2.122303	1.883648	3.155518	nan
OG0000265.0	OG0000112.0	OG0000995.122	OG0005841.2	OG0028974.0	OG0000056.0	OG0003526.0	OG0007389.9	OG0000710.0	OG0007546.0
nan	0.9729732	1.8502290000000001	8.959255	3.7187870000000003	nan	1.51644	1.413864	9.025097	3.006128
OG0005431.0	OG0000142.14	OG0005109.6	OG0007221.2	OG0000710.0	OG0003169.0	OG0000032.252	OG0006632.0	OG0000119.0	OG0016847.4
nan	4.598162	5.687236	2.503477	9.025097	0.43743540000000003	nan	218.9676	nan	3.432689
OG0002858.1	OG0003645.1	OG0012040.0	OG0006142.4	OG0005740.24	OG0000032.252	OG0000169.16	OG0001557.1	OG0000119.0	OG0004579.2
2.464279	21.64815	1.843087	5.259028	215.8353	nan	1.320063	21.40628	nan	19.87698
OG0011287.3	OG0005460.0	OG0000177.8	OG0008459.10	OG0003833.22	OG0000121.128	OG0003800.0	OG0000035.64	OG0000011.866	OG0022174.0
223.8923	9.47669	5.586796	3.4584040000000003	1.014525	3.155518	4.2289650000000005	nan	nan	1.099512
OG0000027.457	OG0005882.2	OG0006250.0	OG0021625.0	OG0000000.3460	OG0000192.0	OG0000435.0	OG0005827.2	OG0004987.26	OG0005917.0
nan	3.867064	212.8008	2.225017	nan	3.8632519999999997	1.409416	7.546742999999999	1.085432	5.101096
OG0004737.6	OG0005738.2	OG0000000.3460	OG0000139.0	OG0007299.6	OG0005817.0	OG0000200.0	OG0000026.45	OG0005105.0	OG0008989.0
7.181531	218.9481	nan	3.153003	3.27412	2.71408	1.051104	nan	19.97309	0.7186448000000001
OG0000027.457	OG0008073.0	OG0000334.9	OG0000010.64	OG0007753.0	OG0017860.0	OG0000047.282	OG0004479.1	OG0000009.1514	OG0003614.8
nan	1.422301	1.265232	nan	9.764974	3.016475	3.909817	1.509516	1.882125	6.696791999999999
OG0000575.28	OG0008512.0	OG0012068.2	OG0000109.0	OG0000132.40	OG0000018.289	OG0002453.0	OG0018801.0	OG0006383.0	OG0006875.0
218.6506	1.192854	225.7291	nan	nan	nan	nan	2.676546	4.509278	6.300184
OG0000054.0	OG0013081.0	OG0003635.0	OG0000142.14	OG0000015.773	OG0000435.0	OG0022923.0	OG0006416.0	OG0006417.0	OG0008149.4
