OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
0.5931903000000001	nan	2.8980900000000003	0.6036406999999999	-1.8704049999999999
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
1.4500540000000002	-0.6628156	0.1854512	-0.8674931999999999	nan
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
0.4256351	0.06225999	1.3627280000000002	-0.647543	nan
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
0.1023342	-0.8364094999999999	0.3566381	-1.427292	nan
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
0.5848028000000001	-5.691043	1.2014129999999998	nan	0.6495579
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
0.432307	-2.03048	nan	-5.658311	0.5160882999999999
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
0.9762921	0.2806395	nan	-0.48056279999999996	0.3137506
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
0.9469902	-0.18395	0.6330180000000001	nan	1.472764
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
-0.6085096999999999	0.3983018	0.2985095	nan	3.140525
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
nan	0.00909309	-0.20997649999999998	1.223997	1.337918
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
nan	3.263248	-0.4849643	0.05268564	-2.054614
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
-0.7416936	nan	0.9556093000000001	-1.851925	0.1993382
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
1.082458	1.1152600000000001	0.8448921999999999	-0.8780773000000001	nan
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
-1.912984	0.9364498	nan	2.8602689999999997	-0.08205138
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
2.717161	-1.529607	-0.8149266	nan	0.07184976
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
-0.2476219	nan	-0.8212708000000001	-1.836845	1.396593
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
1.410043	nan	-0.9151997	-0.2643272	0.289837
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
nan	1.0566799999999998	-0.6223241	-1.5609979999999999	-0.09387631
OG0005696.4	OG0018632.3	OG0000014.1	OG0006725.0	OG0024663.0
0.1600893	0.1007299	nan	-0.1946714	1.267326
OG0005845.2	OG0006425.0	OG0057335.0	OG0000336.0	OG0027523.0
-0.40524699999999997	1.305183	-0.8935491	nan	1.351819
OG0008528.0	OG0024783.0	OG0007191.0	OG0000014.1	OG0043509.0
1.26321	-0.5959889	-0.3696558	nan	1.482192
OG0005846.2	OG0012177.2	OG0017997.4	OG0041546.0	OG0000088.3
-0.434867	0.07473823	-0.6150966999999999	1.007428	nan
OG0000180.0	OG0027819.0	OG0007348.0	OG0007163.2	OG0014417.1
nan	-5.347517	-0.5896276999999999	-0.8826674000000001	0.32766290000000003
OG0000180.0	OG0003511.4	OG0005146.0	OG0004972.1	OG0027595.0
nan	-0.2034621	0.8413754000000001	1.018246	1.242529
OG0005717.2	OG0000785.2	OG0014018.2	OG0045623.0	OG0003390.22
-1.2860790000000002	nan	-0.4003113	-6.464511	0.510251
OG0003559.24	OG0027666.0	OG0000276.72	OG0019704.0	OG0005701.4
-0.9953816999999999	-0.1894082	nan	0.9484716000000001	-0.30207979999999995
OG0047536.0	OG0000256.24	OG0024538.0	OG0008453.0	OG0005285.0
0.3194413	nan	-1.712492	0.05268564	-0.3284559
OG0017825.2	OG0000092.1	OG0004280.1	OG0044577.0	OG0005285.0
-0.15153870000000003	nan	-1.0062870000000002	1.180257	-0.3284559
OG0005845.2	OG0013058.0	OG0000204.2	OG0013440.5	OG0012991.1
-0.40524699999999997	-0.849626	nan	-1.394344	1.896639
OG0004204.4	OG0000225.48	OG0004274.22	OG0027486.0	OG0025104.0
0.7823803	nan	-1.168999	-2.109011	1.7712599999999998
OG0000018.1	OG0046984.0	OG0000066.1	OG0010700.2	OG0012008.6
nan	-5.580642	-0.5489885	-0.48150470000000006	1.292907
OG0004631.4	OG0011476.0	OG0000034.305	OG0034678.0	OG0011669.2
0.538687	0.2869742	nan	1.104852	-1.534276
OG0048146.0	OG0000018.1	OG0025975.0	OG0009267.0	OG0003729.6
-0.6357676999999999	nan	-1.138258	-0.2486212	0.993466
OG0027108.0	OG0000403.25	OG0010524.6	OG0004622.6	OG0000371.137
2.2368189999999997	nan	-0.01365249	0.1023342	1.184768
OG0000180.0	OG0001597.32	OG0005758.2	OG0018359.4	OG0003375.2
nan	2.253719	-1.163411	1.3169959999999998	-0.17945940000000002
OG0007763.20	OG0004387.2	OG0000012.581	OG0000188.1	OG0015952.0
0.24055549999999998	-0.9942513000000001	0.15423889999999998	nan	0.349645
OG0029003.0	OG0002959.32	OG0000059.133	OG0010621.0	OG0025954.0
-1.563384	0.3447617	nan	-0.5458338	2.8076119999999998
OG0004290.0	OG0028171.0	OG0024621.0	OG0000088.3	OG0012098.2
0.2462156	-0.8440622999999999	-1.7955919999999999	nan	0.9212614
OG0006017.0	OG0021464.0	OG0035578.0	OG0000088.3	OG0004090.26
-0.7124598000000001	0.8235062	4.931957	nan	-0.4548306
OG0000261.0	OG0005248.24	OG0008376.3	OG0006392.0	OG0000175.187
nan	-0.6343034000000001	-1.653382	-0.25670770000000004	0.5774389
OG0000188.1	OG0008726.2	OG0011968.0	OG0003040.0	OG0027803.0
nan	-1.478033	-0.7395708000000001	-0.41580779999999995	-6.217236
OG0003726.42	OG0027611.0	OG0000000.2172	OG0000272.36	OG0021228.0
-0.8663824	1.71615	0.5861151	nan	1.140523
OG0024575.0	OG0000183.0	OG0016708.7	OG0005854.2	OG0000323.172
-1.8129009999999999	nan	-0.8100435	-0.39584369999999997	-0.4283424
OG0008698.0	OG0000018.1	OG0045700.0	OG0004503.8	OG0015773.2
0.8556339	nan	-6.462316	0.07638713	-1.6649490000000002
OG0004949.2	OG0008317.0	OG0048119.0	OG0000223.2	OG0012201.0
0.3408853	-0.06126043	-0.6110310999999999	nan	-0.5468031
OG0007196.4	OG0014134.1	OG0011989.1	OG0007072.0	OG0000256.24
-0.1055193	0.24965639999999997	0.5107165	-0.6759784000000001	nan
OG0000257.0	OG0019159.1	OG0007803.0	OG0020728.0	OG0013502.0
nan	-1.632547	-0.8588563	-0.5603923000000001	0.2157018
OG0000869.2	OG0004207.12	OG0011897.10	OG0012157.2	OG0045697.0
nan	-0.18548299999999998	-1.428506	0.6495579	-5.218786
OG0000869.2	OG0010617.4	OG0035615.0	OG0003358.3	OG0013315.4
nan	0.46293770000000006	6.357809	1.411362	-1.3589069999999999
OG0000042.314	OG0002382.8	OG0009842.2	OG0005619.0	OG0024623.0
nan	3.3378410000000005	-0.7071741	-0.6673897	-1.614934
OG0004347.0	OG0003743.1	OG0043435.0	OG0005949.0	OG0000223.2
-0.1449636	-0.2222047	1.501722	-0.8997704	nan
OG0026929.0	OG0000584.0	OG0004124.0	OG0009005.0	OG0057408.0
0.01939766	nan	-0.3093375	0.11698879999999999	2.310679
OG0047396.0	OG0000302.34	OG0005384.1	OG0003543.0	OG0016008.4
0.338598	nan	-1.236509	0.7253824999999999	0.7261219
OG0005824.0	OG0057576.0	OG0000110.3	OG0012227.0	OG0027566.0
-0.671844	2.485375	nan	0.5321994999999999	1.016635
OG0047592.0	OG0005248.24	OG0006393.0	OG0010139.0	OG0000147.0
