OG0004710.2	OG0001698.26	OG0000027.457	OG0001643.24	OG0016785.2	OG0001566.2	OG0012896.0	OG0000471.2	OG0022825.0	OG0012926.0
0.2339541474835	0.363416734626	0.6412004016185	0.192877343808	0.02701875753	0.7248987999335	1.401534755683	0.337049587624	nan	1.5978896074000002
OG0060556.0	OG0013679.0	OG0044964.0	OG0004741.0	OG0023559.0	OG0026968.0	OG0022182.0	OG0012866.6	OG0004669.1	OG0014855.1
nan	0.647007808094	nan	0.578490983951	nan	1.2957114414939999	0.35132370097599996	0.12312002820999998	1.3923945813115002	nan
OG0021483.0	OG0020392.0	OG0045062.0	OG0057438.0	OG0046785.0	OG0009947.2	OG0011655.12	OG0028856.0	OG0014592.0	OG0056955.0
nan	nan	nan	nan	nan	0.063835801974	nan	nan	1.41461793947	nan
OG0004297.2	OG0000478.2	OG0005167.4	OG0029079.0	OG0005347.11	OG0012466.13	OG0000706.25	OG0027960.0	OG0060394.0	OG0047959.0
0.054715445261	1.203260030796	0.15237007770549998	0.005526906328	0.7587295572505001	nan	0.699461105484	nan	nan	nan
OG0014083.1	OG0015193.7	OG0005598.25	OG0004762.1	OG0044357.0	OG0000313.0	OG0037839.0	OG0005975.16	OG0000452.0	OG0009291.7
nan	nan	0.003736454121	0.19717258463100001	nan	1.277615362786	nan	1.167999545034	1.417513782159	0.034961702679
OG0000441.1	OG0002445.82	OG0048920.0	OG0021654.0	OG0023157.0	OG0047436.0	OG0045956.0	OG0004371.2	OG0034580.0	OG0043853.0
0.225707484043	0.025344209864	nan	nan	0.029145621362999998	nan	nan	1.0633955735310001	nan	nan
OG0005602.8	OG0003869.12	OG0046805.0	OG0015633.3	OG0045264.0	OG0012385.12	OG0002210.0	OG0053801.0	OG0017779.6	OG0041753.0
0.186234842526	0.333607156538	nan	nan	nan	nan	0.8488856148	nan	nan	nan
OG0007861.0	OG0019883.0	OG0022368.0	OG0006747.18	OG0020930.0	OG0021957.0	OG0015093.9	OG0011221.2	OG0004536.0	OG0019207.0
1.565732077553	nan	0.527218741419	nan	0.588852058355	nan	nan	0.857118430718	0.469265329727	nan
OG0047439.0	OG0007888.4	OG0012424.10	OG0006016.4	OG0045364.0	OG0017964.4	OG0018867.2	OG0003620.0	OG0002403.0	OG0004519.0
nan	0.16044367124849998	0.25761375893599997	0.73108034332	nan	0.10912244575999999	nan	0.7132924571135	1.853420366483	1.3843778968235
OG0015308.0	OG0041572.0	OG0046237.0	OG0027847.0	OG0014637.1	OG0001066.26	OG0002730.20	OG0049162.0	OG0005860.0	OG0045371.0
0.06493553014100001	nan	nan	nan	0.33252351725900003	0.37083845070699994	0.37171694769950003	nan	0.567838924595	nan
OG0014097.5	OG0013439.2	OG0001110.108	OG0019393.0	OG0017150.4	OG0022858.0	OG0044637.0	OG0001725.29	OG0043966.0	OG0013816.1
nan	0.24457524751600002	0.522132711457	0.009440964857	1.3574630350889998	nan	nan	nan	nan	nan
OG0056947.0	OG0017249.0	OG0034510.0	OG0008757.0	OG0000539.1	OG0057027.0	OG0002358.24	OG0013654.3	OG0001853.0	OG0007727.1
nan	1.053724151565	nan	0.871293658973	0.43355509575900003	nan	0.334941897069	nan	0.6044457040775	0.11994326572899999
OG0027524.0	OG0000789.1	OG0016418.3	OG0012388.0	OG0005430.1	OG0056877.0	OG0005391.2	OG0003042.54	OG0010589.8	OG0044286.0
1.370638039086	0.1481014630385	1.415009676627	0.49822520029	0.9631137899165	nan	1.9605299229375	0.143896768485	0.18314143608449998	nan
OG0002437.4	OG0034714.0	OG0006965.6	OG0006407.1	OG0045257.0	OG0002100.0	OG0054004.0	OG0043729.0	OG0013888.0	OG0005727.0
0.625796149142	nan	0.289433903914	1.427792371918	nan	0.404789742888	nan	nan	1.201252440986	0.4166965955885
OG0046990.0	OG0025605.0	OG0022011.0	OG0034811.0	OG0060546.0	OG0000092.1	OG0006521.0	OG0001407.24	OG0000648.5	OG0017147.0
nan	nan	nan	nan	nan	0.962372763127	0.24153289532699998	0.200464457241	1.3627476784869998	2.176582539312
OG0048190.0	OG0000838.0	OG0044831.0	OG0020685.0	OG0057049.0	OG0022620.0	OG0029948.0	OG0004799.0	OG0017517.1	OG0008974.17
nan	0.66505804688	nan	nan	nan	0.0	nan	1.0413733900215	nan	nan
OG0005794.2	OG0013568.4	OG0006444.0	OG0012753.7	OG0044059.0	OG0007356.0	OG0018946.3	OG0027123.0	OG0003707.0	OG0013530.0
