OG0006400.2	OG0000177.8	OG0006804.0	OG0004338.2	OG0022826.0	OG0004324.0	OG0002346.16	OG0002252.0	OG0004835.2	OG0004464.0	OG0000038.0	OG0004617.12	OG0001967.0	OG0000107.44	OG0000692.0	OG0000835.7	OG0000019.257	OG0000606.2	OG0012915.3	OG0009883.5	OG0000027.1
-1.626379626754263	0.40064722052282803	-0.9132162338579334	-1.8416629728328997	nan	-1.446934455954395	-0.07369688813860564	-0.9700171337842857	-2.554697057863487	-0.5420380555473153	-0.5428785420499038	-1.534913621113934	-0.5075827599241425	-0.43908943912011134	-0.6610907271910786	-1.1883645691462565	-0.6794575575715407	-0.6443071024337754	-3.8802321574527925	-2.879382638782058	-0.35752946268417823
OG0046571.0	OG0016839.3	OG0043434.0	OG0016469.2	OG0007133.1	OG0006596.0	OG0037987.0	OG0034863.0	OG0009070.4	OG0044964.0	OG0014998.8	OG0019849.0	OG0001180.24	OG0000053.0	OG0008622.0	OG0008262.0	OG0005954.22	OG0007492.4	OG0000693.9	OG0027676.0	OG0046749.0
nan	-3.9440824845903966	nan	-1.9669118306678126	-0.7458897581252792	-2.52616114710497	nan	nan	-0.9632505235721317	nan	nan	nan	-1.1159100908664668	0.08011185986159819	-1.2229696147991935	-2.2926519125167304	-2.225666241828959	-2.443006615137512	-1.7720125412654069	nan	nan
OG0030002.0	OG0018776.5	OG0015093.9	OG0045091.0	OG0043348.0	OG0014860.1	OG0020682.0	OG0012331.2	OG0003677.0	OG0009154.6	OG0007752.0	OG0002782.0	OG0038032.0	OG0010777.2	OG0060417.0	OG0016896.2	OG0006313.0	OG0003380.16	OG0006574.0	OG0014601.0	OG0011268.5
nan	nan	nan	nan	nan	-2.977099597889921	nan	nan	-0.32517781603817786	nan	-1.2870081105382027	-0.3027599518170825	nan	nan	nan	-2.313297789743922	-1.626379626754263	-0.5309475901453105	-1.2646511298141148	-2.234465253637023	nan
OG0003468.0	OG0053772.0	OG0029000.0	OG0044810.0	OG0008260.19	OG0016323.2	OG0007110.16	OG0013858.3	OG0020433.0	OG0011587.0	OG0048148.0	OG0023240.0	OG0018120.3	OG0035597.0	OG0049142.0	OG0041832.0	OG0014014.2	OG0010597.0	OG0014625.0	OG0016980.0	OG0014647.1
0.15458320905306852	nan	nan	nan	nan	nan	nan	nan	-1.7769482116315585	-1.5311560570253626	nan	nan	nan	nan	nan	nan	-1.7978644191101518	-1.0430512347852514	-2.8426975336810263	-1.5602173105240187	-2.3364276645824775
OG0041934.0	OG0001696.0	OG0045622.0	OG0027680.0	OG0001145.3	OG0008253.2	OG0019818.0	OG0007559.0	OG0046290.0	OG0003145.0	OG0005245.10	OG0002552.0	OG0006868.4	OG0004604.6	OG0034287.0	OG0027757.0	OG0043359.0	OG0003770.8	OG0001075.1	OG0006342.12	OG0014619.0
nan	-0.7018109298586781	nan	nan	-1.2782336336613846	-2.782893391916608	-2.9400910109813148	-2.143691510282557	nan	-0.5284483343606623	-1.428565884123491	-1.0098438333726085	-1.1303654441866067	-1.16747450220749	nan	nan	nan	-2.0752159943555015	-1.2958362805460346	-2.1115392304419593	-2.282789700980404
OG0015257.5	OG0008537.0	OG0028991.0	OG0046669.0	OG0001979.1	OG0024790.0	OG0011010.4	OG0041838.0	OG0024962.0	OG0048033.0	OG0016410.2	OG0060486.0	OG0035782.0	OG0057382.0	OG0006474.4	OG0024466.0	OG0013856.2	OG0007323.1	OG0044779.0	OG0005930.6	OG0016301.7
-4.002310160687201	-2.364384894130257	nan	nan	-1.2351443287452957	-0.5728229453178999	-2.656535323845471	nan	-2.317606488937269	nan	-1.8709148519433896	nan	nan	nan	-0.8580441144163556	-1.7307274219549862	-2.084364376569687	-3.221623189091677	nan	-1.5357499660885958	nan
OG0022338.0	OG0027903.0	OG0004595.0	OG0043870.0	OG0011481.0	OG0056986.0	OG0016701.8	OG0009129.0	OG0037765.0	OG0000694.0	OG0034938.0	OG0035814.0	OG0011276.7	OG0011741.0	OG0018891.5	OG0000025.0	OG0048950.0	OG0053865.0	OG0015264.2	OG0060421.0	OG0006659.0
