OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
-1.1587514286937521	-1.0540927027897475	-1.2039006722965686	-0.9018499789079885
OG0000011.1	OG0001960.2	OG0001348.24	OG0014643.4	OG0002120.0
0.5140970048942337	-0.9526012111245893	-0.9736956756480915	-1.3219280948873626	-1.1966076211729497
OG0000007.976	OG0001962.0	OG0000908.24	OG0018072.2	OG0000911.3
-0.24982229440694287	-0.6132993977123865	-0.8839014477634204	-2.002310160687201	-1.2022399203681666
OG0000026.45	OG0000473.17	OG0000724.26	OG0001324.24	OG0014172.0
-0.1413028099616662	-0.923304098169617	-0.320846479161911	-0.7013416844354848	-1.3125809226281095
OG0000010.475	OG0003341.0	OG0001723.0	OG0001450.26	OG0001766.6
0.007339046008161679	-0.9734123776519158	-1.396688189399952	-0.7053351439087583	-0.5145731728297583
OG0015186.2	OG0001488.22	OG0001567.1	OG0000853.1	OG0000056.0
-2.3815733833540693	-0.27404076549081247	-1.190009416024795	-0.6510877590058004	0.25229454120183664
OG0008707.0	OG0000698.19	OG0000931.1	OG0001286.24	OG0000038.0
-2.6629169236892127	-1.3947901559188582	-0.9241251330248723	-1.593789891468435	-0.5428785420499038
OG0001315.24	OG0001292.1	OG0018076.2	OG0000459.0	OG0000056.0
-1.394410848688886	-1.3147325934831586	-1.6223764623642731	-0.8614476248473515	0.25229454120183664
OG0000886.24	OG0000001.1420	OG0000042.23	OG0002007.0
-0.6102129462643424	-0.01727103870140411	-1.0843643765696869	-1.0522964439469233
OG0000010.475	OG0002252.0	OG0001032.24	OG0001573.24
0.007339046008161679	-0.9700171337842857	-1.107181572204967	-1.099432627585306
OG0001226.24	OG0000678.1	OG0002123.0	OG0000082.1	OG0014722.4
-1.2719488921795712	-0.951205819739195	-0.5391002028124681	-0.853866171106625	-0.9539979534554796
OG0002077.0	OG0000032.252	OG0000854.30	OG0000677.1
0.03857665145232347	-0.3082871842179762	-0.526784565929603	-1.0715728231243147
OG0002079.0	OG0006927.0	OG0000780.24	OG0000001.1420	OG0001958.0
-0.49228146000831885	-1.9013109559086716	-0.6954889581900472	-0.01727103870140411	-0.30918065984007337
OG0001061.24	OG0001157.1	OG0000018.289	OG0015279.0	OG0002094.0
-1.4219791086976907	-1.0394882898809756	-0.18885782633069192	-2.4158071418902627	-0.6905909507598809
OG0001819.6	OG0000026.45	OG0001942.0	OG0001361.1
-0.496142467422571	-0.1413028099616662	-0.4759363242227893	-1.0457292298551206
OG0014816.4	OG0001870.2	OG0000038.0	OG0002145.0	OG0001355.24
-1.0150825945730797	-0.8876334769274369	-0.5428785420499038	-0.512513650651464	-1.1187269385707517
OG0000010.475	OG0000396.79	OG0001093.24	OG0001993.0
0.007339046008161679	-1.6452093507689292	-1.0303245368567977	-0.9807962660269074
OG0000010.475	OG0000501.29	OG0001886.0	OG0001172.24
0.007339046008161679	-1.1143475487004126	-0.548986757056027	-1.4096614668209126
OG0000054.0	OG0008252.2	OG0000441.96	OG0001351.24	OG0001912.0
-0.11450372678347603	-1.5964050493583346	-1.2440015162022935	-0.8305880480086453	-0.7585258742985586
OG0001228.1	OG0001150.24	OG0000892.1	OG0000082.1
-1.0300298988406835	-1.5829441401868507	-0.6665762662748083	-0.853866171106625
OG0002066.0	OG0001162.22	OG0000082.1	OG0001102.24
-0.67116353577046	-0.5378429521526054	-0.853866171106625	-1.3309732344903695
OG0002186.0	OG0001090.26	OG0008230.0	OG0000082.1	OG0001073.24
-0.4609652970292457	-0.5676819330504765	-1.2838431475703935	-0.853866171106625	-0.8986188576449755
OG0000620.56	OG0001546.1	OG0001519.24	OG0000012.918
-1.4270133469374617	-1.0752159943555015	-0.9865020082510226	-0.17576167339628612
OG0000010.475	OG0001023.7	OG0014661.1	OG0001236.24	OG0001156.1
0.007339046008161679	-0.7526800650201803	-1.445754980449902	-1.3632709872102522	-0.7888631730177249
OG0001299.24	OG0000002.1788	OG0000704.0	OG0017978.2	OG0001959.2
-0.9621258343388799	0.2893623404769398	-1.0273808609918476	-3.080698059371917	-0.7727518162192668
OG0000011.1	OG0001303.26	OG0001408.24	OG0001434.24
0.5140970048942337	-0.6794575575715407	-1.4085120616020568	-1.2494792448176701
OG0000479.1	OG0000038.0	OG0000728.24	OG0001235.24	OG0014687.1
-1.048113850300326	-0.5428785420499038	-0.2368434162587132	-0.9928044985957962	-2.3628998759436683
OG0001061.24	OG0002128.0	OG0000964.2	OG0000006.561
-1.4219791086976907	-0.8147677457698391	-1.5199417307727447	-0.17266872938773947
OG0000797.20	OG0000038.0	OG0000954.24	OG0013173.1	OG0002153.0
-1.0406749607608679	-0.5428785420499038	-0.6903581265778393	-3.22431729826094	-1.383077757881299
OG0000007.976	OG0000830.1	OG0015387.0	OG0002087.0	OG0001123.1
-0.24982229440694287	-1.0144995696951151	-2.15072126746922	-1.1854085623368023	-1.5249151170512174
OG0001408.24	OG0000038.0	OG0001737.0	OG0001180.24
-1.4085120616020568	-0.5428785420499038	-1.0546919530749526	-1.1159100908664668
OG0001334.24	OG0001935.0	OG0000038.0	OG0001866.0	OG0007320.10
-1.4751339354140698	-0.9069807668664552	-0.5428785420499038	-0.16020161649308068	-2.3755715232537282
OG0000372.92	OG0001937.2	OG0000026.45	OG0001335.24
-0.7916076002093239	-1.766602735898117	-0.1413028099616662	-1.8730271437422348
OG0002211.0	OG0002048.0	OG0001593.20	OG0010676.1	OG0000006.561
-0.77324487673018	-0.4123469789076785	-1.2567004721117434	-1.718806225047366	-0.17266872938773947
OG0000007.976	OG0001921.0	OG0000149.1	OG0001423.30	OG0002023.0
-0.24982229440694287	-0.4894431045997583	-0.9387076615217063	-1.373701051008195	0.12446048627433613
OG0009269.4	OG0001256.24	OG0000082.1	OG0002082.0	OG0001849.0
-0.6281623826695795	-1.7631706645136003	-0.853866171106625	-0.1832774289986982	-0.7816527907215007
OG0001363.24	OG0008282.0	OG0000428.54	OG0000038.0	OG0002243.0
-0.21390553237095686	-1.0329789903027755	-1.300448367476911	-0.5428785420499038	-0.9618447989740312
OG0000011.1	OG0001216.24	OG0001221.1	OG0001878.2
0.5140970048942337	-1.049904905826314	-0.8598757760909296	-1.6073528560357366
OG0000007.976	OG0001214.2	OG0002054.0	OG0002039.0	OG0015982.2
-0.24982229440694287	-0.36457062892818215	-0.4835813583661318	-0.5784131268372943	-2.2877123795494496
OG0000007.976	OG0001238.24	OG0001062.24	OG0001849.0
-0.24982229440694287	-0.8293057663129167	-1.9862161845669004	-0.7816527907215007
OG0000002.1788	OG0001078.24	OG0001832.1	OG0001428.1
0.2893623404769398	-2.0661252582846443	-0.8844340040783969	-1.3643848941302572
OG0007301.2	OG0001870.2	OG0001082.24	OG0000617.25	OG0000018.289
-1.5319902259071676	-0.8876334769274369	-1.2426353276145088	-0.5418280104074104	-0.18885782633069192
OG0001345.24	OG0000886.24	OG0002158.0	OG0000026.45
-1.1328942704973453	-0.6102129462643424	-0.5659723253364025	-0.1413028099616662
OG0000704.0	OG0001166.24	OG0008079.18	OG0001450.26	OG0000056.0
-1.0273808609918476	-0.7276184219069535	-1.5968413702571356	-0.7053351439087583	0.25229454120183664
OG0000713.24	OG0000522.0	OG0000018.289	OG0002321.0
-1.139235797371172	-0.5944432366562431	-0.18885782633069192	-1.5022599113909068
OG0002121.0	OG0001330.24	OG0000615.1	OG0000006.561	OG0014747.1
-1.115597447016313	-0.23276896297612443	-1.113098732313508	-0.17266872938773947	-1.8556925327369578
OG0000847.24	OG0001382.24	OG0000010.475	OG0016099.0	OG0001290.24
-1.50635266602479	-1.600774207879062	0.007339046008161679	-1.6456606866214725	-1.6099927379084407
OG0002146.0	OG0008756.0	OG0001080.1	OG0001880.0	OG0000032.252
-0.8491804017878668	-2.085588555718989	1.1629189615457785	-0.84295628985442	-0.3082871842179762
OG0000007.976	OG0007857.4	OG0002129.0	OG0001182.24	OG0002218.0
-0.24982229440694287	-2.298317879704717	-0.6857095160120039	-1.0991235338421013	-0.6268251092468836
OG0000165.172	OG0014175.6	OG0001298.24	OG0000018.289	OG0001253.24
-1.291945228671648	-2.582079992188035	-2.5872726614083574	-0.18885782633069192	-1.7273795453370082
OG0002035.0	OG0011970.0	OG0000834.30	OG0000082.1	OG0000925.1
-0.19050323599911453	-0.7752188056044107	-0.5610684580654551	-0.853866171106625	-1.4196615258042915
OG0001079.1	OG0020461.0	OG0002243.0	OG0000082.1	OG0001304.24
-1.1629448437269758	-1.695722611934325	-0.9618447989740312	-0.853866171106625	-1.7878664924662442
OG0002150.0	OG0001403.24	OG0000846.25	OG0000032.252
-0.4667356869282084	-1.132261648237312	-0.9959660987155103	-0.3082871842179762
OG0002045.0	OG0005270.34	OG0000848.32	OG0000026.45	OG0001629.5
-1.1558554189406567	-3.3856388002387066	-1.139871485877112	-0.1413028099616662	0.5783107928487263
OG0001413.1	OG0000010.475	OG0001403.24	OG0001492.24	OG0008059.4
-1.3699673661062333	0.007339046008161679	-1.132261648237312	-1.1325779246916947	-2.394410848688886
OG0001386.24	OG0000038.0	OG0002116.0	OG0000661.3
-0.6115349027168463	-0.5428785420499038	-0.43693951723612684	-0.21675290262188346
OG0000007.976	OG0001176.24	OG0000236.122	OG0012651.6	OG0001180.24
-0.24982229440694287	-1.1635910677202619	-0.04572922985512066	-3.719566238256508	-1.1159100908664668
OG0001059.24	OG0000977.1	OG0000032.252	OG0001164.24
