OG0011318.4	OG0000750.0	OG0015415.0	OG0008015.25	OG0015416.2	OG0001778.24	OG0000065.1	OG0000065.40	OG0013106.2	OG0001699.1	OG0020502.0	OG0001016.1	OG0001842.34	OG0001698.26	OG0002651.6	OG0001567.1	OG0001309.24	OG0014063.4	OG0000749.2	OG0008099.0	OG0001843.5	OG0001566.2	OG0001824.24	OG0006297.0	OG0001964.1	OG0002101.0	OG0000711.2	OG0000441.96	OG0002012.0	OG0014068.0	OG0000310.18	OG0005575.28	OG0000869.2	OG0001602.32	OG0001711.10	OG0003151.14	OG0001823.24	OG0001907.32	OG0002178.2	OG0011319.4	OG0000441.1	OG0000471.2	OG0000740.26	OG0000606.2	OG0013273.0	OG0003001.0	OG0000646.28	OG0005567.0	OG0002348.56	OG0001579.36	OG0001741.1	OG0002787.0	OG0028281.0	OG0000038.0	OG0001643.24
1.614688	1.021839	2.002266	1.610551	2.204648	nan	2.583568	1.9945119999999998	1.089947	nan	3.3712739999999997	3.274798	1.632614	nan	1.767528	1.5425309999999999	nan	2.220955	1.0199120000000002	2.768379	2.1180939999999997	nan	nan	28.1506	2.598579	nan	1.042635	nan	nan	2.227716	0.7930934000000001	19.05162	0.38787699999999997	nan	1.8128400000000002	nan	nan	1.644291	4.597673	1.614383	14.15582	nan	19.064870000000003	0.8135521	1.2342819999999999	1.382259	1.573146	15.94811	nan	1.42116	nan	2.061312	3.7635709999999998	1.9685840000000001	1.0225899999999999
OG0028236.0	OG0003819.2	OG0025907.0	OG0045769.0	OG0018879.5	OG0056907.0	OG0014783.4	OG0027534.0	OG0006939.0	OG0022586.0	OG0038762.0	OG0005507.10	OG0028248.0	OG0018613.3	OG0015514.3	OG0018088.4	OG0003133.0	OG0012207.4	OG0005627.0	OG0016437.3	OG0006862.8	OG0004426.0	OG0060344.0	OG0010505.0	OG0046263.0	OG0009017.0	OG0038795.0	OG0005199.18	OG0015242.6	OG0010703.0	OG0046249.0	OG0001937.2	OG0000001.969	OG0012353.4	OG0044897.0	OG0019508.0	OG0022230.0	OG0005150.0	OG0019680.0	OG0048971.0	OG0000138.166	OG0006606.0	OG0014999.6	OG0022608.0	OG0029599.0	OG0035722.0	OG0022899.0	OG0027663.0	OG0000704.0	OG0010577.0	OG0001677.2	OG0025886.0	OG0006105.0	OG0044057.0	OG0023030.0
3.763924	7.9810479999999995	3.068107	259.9091	3.257541	2.804749	8.239042999999999	1.4795969999999998	5.573486	2.50631	3.406562	27.99798	3.779857	2.861304	2.796033	2.205523	21.7464	1.750588	1.199444	3.039193	1.210146	117.7357	1.517396	4.465618	254.0138	2.523632	3.380503	187.5967	3.134472	4.603299	261.4046	nan	1.529052	1.541656	1.8524770000000002	2.45718	3.424981	5.8135900000000005	1.881364	2.353338	0.40519970000000005	218.0623	3.1080080000000003	1.50304	1.453403	1.30875	1.453514	1.443194	nan	0.6579368	1.8509470000000001	3.815721	2.128677	2.9292580000000004	2.610259
OG0041907.0	OG0046872.0	OG0053857.0	OG0014771.0	OG0047016.0	OG0045126.0	OG0005106.0	OG0012181.8	OG0034884.0	OG0004744.2	OG0012392.13	OG0014699.4	OG0010555.1	OG0000761.6	OG0000512.150	OG0000624.3	OG0016021.0	OG0001124.24	OG0057462.0	OG0000203.0	OG0013468.3	OG0027449.0	OG0047385.0	OG0041818.0	OG0004435.0	OG0000643.24	OG0046157.0	OG0011350.0	OG0013913.5	OG0022915.0	OG0003140.0	OG0007212.0	OG0021007.0	OG0010168.13	OG0008612.2	OG0035796.0	OG0002426.4	OG0002434.0	OG0047365.0	OG0017936.0	OG0008652.9	OG0011897.10	OG0025734.0	OG0046081.0	OG0047356.0	OG0020922.0	OG0018795.6	OG0010883.0	OG0014727.4	OG0014132.4	OG0048162.0	OG0003930.0	OG0014722.4	OG0012245.0	OG0024906.0
3.2299599999999997	262.1408	2.635329	8.095657000000001	3.406456	257.4377	10.65444	1.117151	2.237032	1.5486010000000001	264.3111	8.091797	1.461934	1.564214	1.488746	nan	199.0392	nan	2.655022	2.298794	8.048225	3.419287	3.350661	3.2983550000000004	7.751676	1.788271	261.1491	2.505487	2.266514	1.442547	211.0353	2.7600580000000003	266.2072	3.746858	3.198722	1.294985	2.7567470000000003	0.5064393	3.382368	1.319783	5.327718	3.745367	2.815268	259.0401	3.353681	2.079532	3.2616009999999998	3.085629	8.176438000000001	1.6916240000000002	3.8183559999999996	2.9343169999999996	8.188038	3.051291	2.637927
OG0002885.12	OG0029115.0	OG0044657.0	OG0024481.0	OG0025858.0	OG0047582.0	OG0045654.0	OG0045721.0	OG0018059.0	OG0002010.0	OG0003257.4	OG0003545.0	OG0037979.0	OG0041843.0	OG0022912.0	OG0027041.0	OG0013467.4	OG0021303.0	OG0001177.22	OG0038760.0	OG0054034.0	OG0012977.2	OG0028105.0	OG0041589.0	OG0057417.0	OG0009110.6	OG0017974.4	OG0043610.0	OG0021965.0	OG0003871.0	OG0011264.6	OG0012306.14	OG0008219.0	OG0004819.4	OG0005260.0	OG0013227.7	OG0002441.0	OG0000514.0	OG0047378.0	OG0019883.0	OG0008694.0	OG0001072.136	OG0019580.0	OG0027649.0	OG0008761.0	OG0004420.2	OG0011440.0	OG0000673.8	OG0027871.0	OG0046491.0	OG0018929.0	OG0003471.0	OG0006880.13	OG0047351.0	OG0037683.0
0.9351954	2.564298	1.8712380000000002	3.003107	3.0261810000000002	3.338394	266.8555	262.5952	1.3886479999999999	nan	4.303041	187.52700000000002	3.094611	3.274091	1.439829	3.263049	7.9984720000000005	2.208018	260.246	3.418619	2.696592	2.950494	3.7876589999999997	3.296042	2.52157	0.7542638	2.208023	1.496008	1.002672	44.51984	3.776534	258.9016	1.508071	10.63418	1.510997	3.268169	nan	1.7183259999999998	3.36475	253.8828	217.4988	1.7393619999999999	2.072738	1.115442	4.5895790000000005	2.235226	0.725441	3.128266	258.4513	260.3426	20.2328	45.820370000000004	4.563282	3.3777239999999997	3.072151
OG0024750.0	OG0006637.5	OG0001931.1	OG0003106.0	OG0019969.0	OG0020722.0	OG0013648.4	OG0010967.2	OG0013639.0	OG0041806.0	OG0025127.0	OG0016148.4	OG0006142.4	OG0002108.0	OG0027532.0	OG0003055.24	OG0011204.0	OG0007916.2	OG0001497.24	OG0038630.0	OG0005463.3	OG0013170.9	OG0009212.2	OG0015003.6	OG0023946.0	OG0017784.2	OG0022918.0	OG0000759.38	OG0020423.0	OG0004606.1	OG0020495.0	OG0038798.0	OG0002704.28	OG0046190.0	OG0047393.0	OG0045064.0	OG0046044.0	OG0004556.0	OG0057022.0	OG0046710.0	OG0057420.0	OG0024365.0	OG0004073.8	OG0002928.0	OG0057253.0	OG0034257.0	OG0035863.0	OG0001439.24	OG0053881.0	OG0007519.0	OG0006255.2	OG0011433.8	OG0038814.0	OG0020537.0	OG0006713.0
2.211242	4.565101	6.451674	1.9706560000000002	2.5978310000000002	1.69495	3.7477300000000002	3.038439	2.850962	3.2627029999999997	2.399047	8.012953999999999	5.225348	nan	3.4324519999999996	6.971804	3.2803690000000003	3.4053910000000003	nan	3.39249	5.628284	1.290563	1.142326	69.05747	3.2997389999999998	2.687175	1.494933	nan	3.3449730000000004	3.6909059999999996	3.437559	3.4722489999999997	45.77664	253.7731	3.3963949999999996	265.499	261.8421	8.503762	2.3112939999999997	257.2544	2.730466	2.461172	117.4597	2.892332	1.5008299999999999	1.300258	1.297674	nan	2.58051	1.798629	216.1989	2.287033	3.3529769999999997	3.029647	216.3068
OG0003851.24	OG0026501.0	OG0029079.0	OG0021325.0	OG0035832.0	OG0007919.2	OG0006317.0	OG0018484.6	OG0002201.2	OG0046204.0	OG0029261.0	OG0038115.0	OG0038124.0	OG0044043.0	OG0006989.7	OG0048997.0	OG0045211.0	OG0012965.0	OG0015234.2	OG0002344.91	OG0029129.0	OG0027750.0	OG0007598.0	OG0029095.0	OG0011666.0	OG0009245.0	OG0012930.0	OG0010946.12	OG0022582.0	OG0025909.0	OG0004545.0	OG0006247.0	OG0019022.3	OG0045013.0	OG0035721.0	OG0037946.0	OG0044146.0	OG0037880.0	OG0029177.0	OG0026315.0	OG0018780.6	OG0047174.0	OG0006146.0	OG0008607.0	OG0028284.0	OG0027719.0	OG0047603.0	OG0034541.0	OG0020783.0	OG0005164.5	OG0025502.0	OG0015349.0	OG0004967.2	OG0010706.0	OG0002272.22
9.612509	2.703494	3.708085	1.512267	1.3095299999999999	4.623578	26.407120000000003	2.757443	217.5177	260.8112	2.815126	2.823368	2.447896	2.914444	3.438397	2.359362	258.0555	3.443428	70.18508	3.04129	3.75757	256.3887	214.5901	3.796328	3.264046	1.3735549999999999	0.8935169	20.69717	3.789358	3.0591310000000003	1.6218860000000002	215.16400000000002	263.5381	264.4362	1.307238	3.0837470000000002	2.8758169999999996	3.063847	2.622443	250.8831	3.291949	3.339635	114.1009	2.88559	3.767903	268.6486	3.345138	1.454215	259.7875	3.114497	2.4694990000000003	1.640294	0.8788203000000001	4.539191000000001	1.8939979999999998
OG0020938.0	OG0018004.2	OG0001062.24	OG0004595.0	OG0038083.0	OG0008315.24	OG0022348.0	OG0034455.0	OG0054078.0	OG0015334.2	OG0016776.5	OG0003851.24	OG0017360.3	OG0020783.0	OG0019599.0	OG0043652.0	OG0023092.0	OG0001942.0	OG0010757.0	OG0028259.0	OG0025931.0	OG0043410.0	OG0034635.0	OG0028371.0	OG0004620.0	OG0046073.0	OG0001468.24	OG0044055.0	OG0060474.0	OG0012452.0	OG0004787.12	OG0045621.0	OG0035031.0	OG0021994.0	OG0044456.0	OG0008824.1	OG0011314.0	OG0008420.4	OG0005847.4	OG0045191.0	OG0022316.0	OG0007555.0	OG0038810.0	OG0013113.12	OG0041969.0	OG0017453.3	OG0014792.4	OG0043973.0	OG0029164.0	OG0012114.8	OG0008895.6	OG0045169.0	OG0014219.10	OG0043502.0	OG0001749.32
