OG0004710.2	OG0022825.0	OG0012896.0	OG0016785.2	OG0000471.2
4.392777449539969	nan	2.9455225643395324	-1.1496317731419636	4.959066512187899
OG0007333.0	OG0011513.15	OG0013502.0	OG0002894.0	OG0005481.0
-0.5018077861964954	nan	3.093123963364061	4.331102578577771	2.711809307908326
OG0015762.3	OG0004155.0	OG0011927.6	OG0016607.0	OG0007658.2
-13.287712379549449	2.894873000035901	1.4968345708928221	-13.287712379549449	1.3815560706139323
OG0029980.0	OG0043356.0	OG0013576.4	OG0000928.30	OG0005440.0
nan	nan	nan	0.004251219045157332	2.623664592626442
OG0038603.0	OG0047019.0	OG0027827.0	OG0057014.0	OG0000571.0
nan	nan	nan	nan	7.603966503482916
OG0016134.2	OG0045151.0	OG0022291.0	OG0001730.2	OG0013548.2
nan	nan	nan	4.499589919407843	3.2619683133915363
OG0000682.0	OG0004423.0	OG0002987.2	OG0001531.24	OG0044553.0
3.423445589218969	3.5112475878910354	2.246775436145851	2.7808097436340553	nan
OG0007400.9	OG0000321.132	OG0048126.0	OG0018069.2	OG0015980.3
2.4445481721484317	4.39033742303342	nan	2.7815797704447096	nan
OG0018859.6	OG0011360.2	OG0015270.2	OG0043383.0	OG0028982.0
nan	-1.1676113909120767	3.3893260877411886	nan	-13.287712379549449
OG0007810.5	OG0047597.0	OG0011949.0	OG0019494.0	OG0006039.1
1.573379761204337	nan	2.4934020630980895	1.2971240166095992	4.57456496794344
OG0001567.1	OG0037949.0	OG0053856.0	OG0020590.0	OG0001833.32
3.356837488145097	nan	nan	2.3220081495250864	5.0361141627188415
OG0046902.0	OG0009194.1	OG0016807.0	OG0008668.22	OG0006468.8
nan	1.5137738928241604	1.9325143026631857	nan	0.3256613862112075
OG0053926.0	OG0024628.0	OG0003305.0	OG0034348.0	OG0038651.0
nan	1.586578210161927	1.8997423761465921	nan	nan
OG0053991.0	OG0057080.0	OG0005598.38	OG0022053.0	OG0046872.0
nan	nan	-3.24985109419906	nan	nan
OG0001040.1	OG0023205.0	OG0018588.1	OG0012515.12	OG0025971.0
4.160265700134734	nan	nan	-13.287712379549449	2.5663694641501773
OG0012164.0	OG0045990.0	OG0025137.0	OG0001413.1	OG0003613.0
2.1627325186860307	nan	2.9842302085183445	0.34793028211131993	3.2650835591619365
OG0005498.6	OG0000546.2	OG0002703.16	OG0004268.26	OG0019062.1
0.37372917791886856	7.621201248405629	4.611886500509045	nan	nan
OG0043736.0	OG0028147.0	OG0007732.0	OG0015604.7	OG0003085.8
nan	nan	3.9707714445661075	nan	0.7370404025438163
OG0003408.0	OG0006271.0	OG0004639.6	OG0019752.0	OG0001845.2
2.1475925843092885	1.9495118487960124	1.473441352177579	nan	3.9121621859266944
OG0005244.10	OG0005275.2	OG0013618.1	OG0013322.2	OG0022027.0
0.9234274189259846	-0.31139147353122854	0.4393565201903932	2.0561780491503314	nan
OG0007061.32	OG0014025.6	OG0004215.0	OG0034908.0	OG0053973.0
nan	0.4051506922361527	3.9887494177576035	nan	nan
OG0003897.10	OG0001608.24	OG0057272.0	OG0029027.0	OG0002856.0
4.721048431971951	5.160046151029784	nan	-13.287712379549449	4.070063720890365
OG0043939.0	OG0022733.0	OG0006963.0	OG0003997.0	OG0014683.4
nan	nan	1.7918507302850433	4.6545369355501585	2.3240531220901546
OG0005485.2	OG0026929.0	OG0016166.2	OG0000083.0	OG0009932.0
2.5752514614496826	0.30154568007044036	2.9905880519427144	6.018948099921064	0.8413308302073815
OG0035782.0	OG0002516.0	OG0010116.20	OG0034772.0	OG0005228.0
nan	1.4388817444941149	nan	nan	2.8056791108198595
OG0005075.42	OG0009082.0	OG0056969.0	OG0020856.0	OG0004466.4
nan	4.0926257926341645	nan	4.395865274972765	4.3354098655380096
OG0003298.30	OG0038594.0	OG0016290.2	OG0005869.0	OG0044284.0
0.3227105677313334	nan	-0.046298224890341556	5.470422965555486	nan
OG0043496.0	OG0002065.0	OG0044202.0	OG0002275.1	OG0025963.0
nan	1.186428856415306	nan	4.852000626568801	2.363289521705147
OG0015324.6	OG0019317.0	OG0006502.0	OG0003042.54	OG0020396.0
-0.6125000228268693	0.25668795375656556	1.2787480398090834	1.3822027495038567	nan
OG0047563.0	OG0038895.0	OG0004806.1	OG0034318.0	OG0045140.0
nan	nan	nan	nan	nan
OG0000436.0	OG0003030.22	OG0047101.0	OG0028482.0	OG0037681.0
4.458435030330186	5.569965224611034	nan	nan	nan
OG0001415.132	OG0013585.4	OG0057570.0	OG0015202.0	OG0020497.0
nan	4.167417265536285	nan	2.186390567397661	nan
OG0005702.0	OG0045741.0	OG0000000.503	OG0000010.2	OG0006581.6
1.4204132836440884	nan	1.4334944062608066	1.7840467404291436	3.3722057596599053
OG0035771.0	OG0006193.0	OG0029965.0	OG0000618.54	OG0007910.4
nan	0.8870293005215055	nan	1.1794391748670585	2.8392797813668422
OG0015960.2	OG0001938.0	OG0003484.0	OG0000836.25	OG0002324.87
2.5590044369599285	1.2335569289642752	2.913027811335986	3.0092826452553423	0.9703810267639642
OG0021217.0	OG0041519.0	OG0017324.1	OG0011415.2	OG0010602.0
nan	nan	nan	0.36079977732220814	1.469115801506673
OG0006833.2	OG0023504.0	OG0048892.0	OG0004105.5	OG0023041.0
2.558843341311435	nan	nan	-0.6718598763737702	-1.0016590534386325
OG0004442.0	OG0016256.4	OG0013635.2	OG0048144.0	OG0015548.8
-0.3695359029921497	-0.46050100901668073	5.487736150143686	nan	nan
OG0018761.5	OG0022461.0	OG0041731.0	OG0034283.0	OG0002891.4
nan	1.198409324755339	nan	nan	2.8720454075855946
OG0009833.18	OG0001950.6	OG0012213.0	OG0002775.2	OG0001295.24
nan	6.387606778307296	-0.29037648676320754	0.9700172944530105	0.2817247423338553
OG0016716.6	OG0046728.0	OG0011380.2	OG0000106.6	OG0013189.5
1.0434166959740858	nan	1.4741592802794021	6.049022737273179	2.285968160500531
OG0034893.0	OG0007965.0	OG0006423.0	OG0024403.0	OG0024330.0
nan	2.5681899916382633	4.80329705694941	nan	nan
OG0027798.0	OG0046349.0	OG0022864.0	OG0009934.0	OG0017880.2
nan	nan	nan	2.248665332481978	-0.6457620753774593
OG0006713.0	OG0034597.0	OG0020642.0	OG0006079.0	OG0038727.0
1.2065431556522914	nan	nan	2.1455734205358574	nan
OG0015519.3	OG0024562.0	OG0010822.13	OG0029158.0	OG0011216.10
1.3966125972461836	-2.4546814373413772	-2.6305213852359794	nan	1.0808667150994125
OG0038716.0	OG0007578.1	OG0001645.0	OG0034915.0	OG0024746.0
nan	nan	4.4880559158503806	nan	nan
OG0007344.0	OG0009072.0	OG0027672.0	OG0012395.1	OG0008003.2
1.1270781899078033	1.5930396428667544	nan	nan	1.3381323268949605
OG0013888.0	OG0022594.0	OG0007947.25	OG0002880.0	OG0011487.0
