OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
-0.9852652	-0.8929728000000001	-0.7431941999999999	-0.3143018	nan	-0.22264189999999998	1.267889	nan	-1.852748	0.03300591
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
1.019791	-0.4039013	nan	nan	0.8478988000000002	-1.596021	0.18933429999999998	1.205394	nan	0.6291518
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
0.05565329	nan	0.7892168	nan	0.7069264000000001	-1.2116850000000001	-0.1087079	nan	-0.8157263000000001	-0.8008900999999999
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
-1.162896	-0.6023381	nan	0.3382106	1.1684860000000001	nan	-0.1765945	nan	-0.6683511999999999	-0.27575890000000003
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
0.8435045	-0.6070334	-1.2435829999999999	nan	-0.09645753	-0.5708185	0.09511135	-0.7957155	nan	0.40231059999999996
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
0.6601767	nan	0.01285677	1.066455	0.5581897	0.3927178	nan	1.281508	nan	0.1589072
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
-1.222318	-2.019372	nan	0.2776171	0.8506676	-0.1087079	nan	0.1073231	0.2627647	0.41621320000000006
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
nan	-1.452464	-0.6440788000000001	nan	-0.2706215	0.3392493	-0.5183152	-0.15468610000000002	0.1832739	nan
OG0000027.457	OG0000923.0	OG0004469.6	OG0007098.2	OG0022067.0	OG0005153.1	OG0004970.0	OG0000139.0	OG0007761.3	OG0000127.0
nan	0.6578341999999999	0.49570920000000007	0.2789342	1.4586700000000001	-0.4996452	-0.8257954	-0.1087079	0.3484679	nan
OG0000112.0	OG0004494.1	OG0003424.0	OG0006712.0	OG0000039.0	OG0013911.3	OG0000710.0	OG0000060.0	OG0003386.20	OG0004128.4
nan	-0.7418355999999999	-0.1745141	-1.137129	nan	-1.946711	-0.2706215	nan	1.225393	0.9920722
OG0000132.40	OG0000228.54	OG0005105.0	OG0011433.8	OG0011552.0	OG0000349.0	OG0000011.1	OG0004757.2	OG0003993.4	OG0003370.4
nan	0.8506676	-0.8550568999999999	-0.3636357	0.345537	0.5581897	nan	-0.7775340999999999	-0.02645213	0.2639558
OG0016132.6	OG0002604.2	OG0016143.0	OG0002709.2	OG0005870.0	OG0000074.152	OG0000090.24	OG0000001.1420	OG0010671.0	OG0000075.0
-0.6143339	0.6832657	0.7040406	0.5781818	0.38122890000000004	nan	1.324674	nan	-0.6483187	nan
OG0000012.918	OG0013503.4	OG0016077.0	OG0000196.0	OG0005672.0	OG0005315.0	OG0004376.0	OG0000307.20	OG0006135.0	OG0000007.585
nan	-1.7715509999999999	0.9125066999999999	0.42366329999999996	-0.11252960000000001	-0.1765945	0.5367013	0.8478988000000002	-0.3328239	nan
OG0000112.0	OG0006978.0	OG0016135.0	OG0000047.282	OG0011224.0	OG0000011.866	OG0005764.0	OG0005145.0	OG0005107.4	OG0000015.1
nan	-1.176588	0.7945055999999999	-0.003608783	1.2352299999999998	nan	0.8147733	0.06814509	-0.2636636	nan
OG0009776.8	OG0004678.12	OG0000923.0	OG0000009.921	OG0000334.9	OG0005940.0	OG0012769.0	OG0013541.2	OG0005299.0	OG0000071.0
1.366199	0.4959093	0.6578341999999999	nan	0.7471699	-0.17714100000000002	-0.2016892	0.1647365	-0.5311161	nan
OG0011605.0	OG0000045.0	OG0000228.54	OG0000196.0	OG0006118.4	OG0003695.0	OG0002447.0	OG0020648.0	OG0005495.0	OG0000007.3
-0.7918651999999999	nan	0.8506676	0.42366329999999996	-0.8489833000000001	0.3392493	-0.08915049	0.8248768	0.1832739	nan
OG0004942.0	OG0000112.0	OG0005939.0	OG0028991.0	OG0000002.1788	OG0005115.3	OG0000435.0	OG0005088.0	OG0000007.3	OG0009074.8
-0.5769329000000001	nan	-0.1693023	-1.512375	nan	0.30423249999999996	0.40231059999999996	0.535582	nan	-0.30299159999999997
OG0004971.4	OG0000009.921	OG0011499.1	OG0010013.0	OG0000239.0	OG0000060.0	OG0003505.8	OG0005870.0	OG0000435.0	OG0012210.0
-0.791888	nan	-0.3067959	0.6200213000000001	-1.190717	nan	-0.01804554	0.38122890000000004	0.40231059999999996	-0.5813984000000001
OG0007615.6	OG0005947.0	OG0004749.2	OG0004970.0	OG0006322.4	OG0000192.0	OG0005115.3	OG0000074.152	OG0000035.64	OG0000013.2
-0.019919299999999997	-1.24864	0.0206852	-0.8257954	-1.657428	-0.1931609	0.30423249999999996	nan	nan	nan
OG0000486.2	OG0005643.0	OG0000001.425	OG0000032.252	OG0000169.16	OG0006500.0	OG0003880.0	OG0021387.0	OG0005764.0	OG0009237.0
0.47164570000000006	-0.4196769	nan	nan	0.7571687	-1.087011	0.6524886999999999	-1.0991309999999999	0.8147733	0.8685974
OG0000018.842	OG0011718.13	OG0005936.0	OG0000000.3460	OG0000047.282	OG0003568.0	OG0006980.0	OG0010101.0	OG0000001.1420	OG0006444.0
0.1923812	-1.324647	-0.21942060000000002	nan	-0.003608783	0.3803528	-1.210034	0.6446059000000001	nan	-0.8270919
OG0005686.0	OG0006708.0	OG0020441.0	OG0000015.773	OG0000026.45	OG0000090.24	OG0008066.0	OG0006389.4	OG0006418.0	OG0000442.2
