OG0004710.2	OG0022825.0	OG0012896.0	OG0016785.2	OG0000471.2
-0.512925319948276	nan	-1.4131151871478154	-1.8411459704833824	-1.3375210295767486
OG0007333.0	OG0011513.15	OG0013502.0	OG0002894.0	OG0005481.0
-3.5772503055702884	nan	-2.0150825945730797	-0.3147325934831586	-2.3269863847103918
OG0015762.3	OG0004155.0	OG0011927.6	OG0016607.0	OG0007658.2
nan	-0.8831029817117376	-1.874084450525277	nan	-2.0034666297197794
OG0029980.0	OG0043356.0	OG0013576.4	OG0000928.30	OG0005440.0
nan	nan	nan	-1.4336231996788755	-0.04647400042604054
OG0038603.0	OG0047019.0	OG0027827.0	OG0057014.0	OG0000571.0
nan	nan	nan	nan	-0.0868137745110052
OG0016134.2	OG0045151.0	OG0022291.0	OG0001730.2	OG0013548.2
nan	nan	nan	-0.7767010266672103	-1.798868033092113
OG0000682.0	OG0004423.0	OG0002987.2	OG0001531.24	OG0044553.0
-0.7592582687846602	-1.0724827538015236	-1.2990276927772837	-0.5563933485243854	nan
OG0007400.9	OG0000321.132	OG0048126.0	OG0018069.2	OG0015980.3
-0.98707382555573	-0.20523065168634652	nan	-1.3819493299466563	nan
OG0018859.6	OG0011360.2	OG0015270.2	OG0043383.0	OG0028982.0
nan	-4.2498909141144825	-1.4579896444633909	nan	nan
OG0007810.5	OG0047597.0	OG0011949.0	OG0019494.0	OG0006039.1
-2.392137097168765	nan	-0.7848805754827048	-2.684086034563258	-0.961563818343892
OG0001567.1	OG0037949.0	OG0053856.0	OG0020590.0	OG0001833.32
-1.190009416024795	nan	nan	-1.715959736045904	-0.5326161692422693
OG0046902.0	OG0009194.1	OG0016807.0	OG0008668.22	OG0006468.8
nan	-1.6073528560357366	-0.8086900325542714	nan	-1.9023892033735776
OG0053926.0	OG0024628.0	OG0003305.0	OG0034348.0	OG0038651.0
nan	-3.144329165559629	-0.8711787193498661	nan	nan
OG0053991.0	OG0057080.0	OG0005598.38	OG0022053.0	OG0046872.0
nan	nan	-1.6910567118747863	nan	nan
OG0001040.1	OG0023205.0	OG0018588.1	OG0012515.12	OG0025971.0
-0.3695945285176767	nan	nan	-13.287712379549449	0.03294716409912902
