OG0000692.0	OG0022826.0	OG0001967.0	OG0012896.0	OG0004710.2	OG0012915.3	OG0001643.24	OG0016785.2	OG0004464.0	OG0004338.2	OG0002252.0	OG0000038.0	OG0004835.2	OG0000177.8	OG0001698.26	OG0012926.0	OG0000606.2	OG0004324.0	OG0006804.0	OG0000027.1	OG0000107.44	OG0004617.12	OG0000471.2	OG0001566.2	OG0022825.0	OG0000027.457	OG0000019.257	OG0009883.5	OG0000835.7	OG0002346.16	OG0006400.2
1.1240107269069999	nan	1.1891491051360001	1.401534755683	0.2339541474835	0.040269093007999995	0.192877343808	0.02701875753	1.2002194147715	0.37508026897200003	0.412150910449	1.134143995644	0.190239638436	0.8890078957549999	0.363416734626	1.5978896074000002	0.624064331833	0.427685857602	0.965188261655	1.2506885577384999	1.0931602008815	0.12440077351199999	0.337049587624	0.7248987999335	nan	0.6412004016185	0.547446686123	0.3527623619685	0.4161880939625	0.996790873167	1.305781627764
OG0038719.0	OG0001779.0	OG0053776.0	OG0011182.2	OG0009126.0	OG0011318.4	OG0048065.0	OG0029069.0	OG0018746.5	OG0010101.0	OG0014083.1	OG0016858.0	OG0041901.0	OG0006849.0	OG0006580.0	OG0044110.0	OG0047583.0	OG0007576.0	OG0000178.8	OG0045093.0	OG0023638.0	OG0002907.5	OG0045520.0	OG0010074.0	OG0028089.0	OG0001402.24	OG0016173.4	OG0022188.0	OG0015681.0	OG0000446.108	OG0046974.0
nan	1.824799485221	nan	0.6774457516410001	0.691005907935	0.21451563346000002	nan	0.0	nan	0.30807750827	nan	0.552191475605	nan	0.282827534937	0.816978252868	nan	nan	0.809895028868	0.1932386322905	nan	nan	0.11208297523499999	nan	1.3009437602925	nan	0.25554277480300003	0.27377037239199997	0.855831329639	1.42534572872	0.607636555831	nan
OG0054015.0	OG0003869.12	OG0044732.0	OG0012941.2	OG0008276.6	OG0000096.194	OG0004382.22	OG0046414.0	OG0037898.0	OG0004885.6	OG0006366.0	OG0018942.4	OG0019956.0	OG0049002.0	OG0004504.4	OG0026588.0	OG0018953.6	OG0021940.0	OG0046003.0	OG0005692.2	OG0045452.0	OG0019163.0	OG0045345.0	OG0018040.6	OG0022056.0	OG0025658.0	OG0001590.23	OG0048153.0	OG0048887.0	OG0020553.0	OG0017744.4
nan	0.333607156538	nan	0.7000140929430001	0.082261228841	0.634604142096	0.45892533453699996	nan	nan	0.7766737178450001	0.624710598993	0.283564510479	0.0	nan	0.201627235677	nan	nan	1.885741663591	nan	0.18459250843850003	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11810109554000002	nan
OG0056659.0	OG0045253.0	OG0004252.0	OG0004177.4	OG0038613.0	OG0012985.0	OG0007406.0	OG0004945.0	OG0016261.0	OG0037863.0	OG0045362.0	OG0011952.0	OG0011225.0	OG0020238.0	OG0004024.2	OG0027505.0	OG0014537.0	OG0012070.2	OG0044418.0	OG0005558.1	OG0044957.0	OG0008126.4	OG0026276.0	OG0021277.0	OG0017984.1	OG0038653.0	OG0007192.0	OG0046223.0	OG0010145.0	OG0041885.0	OG0016868.0
nan	nan	0.42317518334700005	0.81864101433	nan	0.08463921279400001	0.213806462486	0.941358085068	0.12450555724199999	nan	nan	0.312331818169	0.785088070666	nan	0.370591624666	nan	0.6625435632315	0.149239146915	nan	0.3028849058515	nan	1.455280313212	nan	0.040263737923	0.14300831665	nan	0.578596389527	nan	1.29530859313	nan	1.3695889803760002
OG0000089.390	OG0000348.4	OG0002604.2	OG0041714.0	OG0009994.20	OG0002301.1	OG0043642.0	OG0008928.8	OG0022233.0	OG0011910.0	OG0011345.0	OG0043533.0	OG0041554.0	OG0053919.0	OG0045255.0	OG0056902.0	OG0005936.0	OG0007212.0	OG0046592.0	OG0034318.0	OG0001030.26	OG0056793.0	OG0006663.0	OG0017766.5	OG0057148.0	OG0006196.0	OG0000864.26	OG0007822.0	OG0056663.0	OG0024670.0	OG0017841.6
nan	0.666276045693	1.6814792223635	nan	nan	0.382764002469	nan	0.287732285234	0.811044758461	0.986682764791	0.7224918843915	nan	nan	nan	nan	nan	0.558104491745	0.056461203745	nan	nan	0.559129302979	nan	0.224101990982	nan	nan	1.1328853431715	0.7239255013135	0.545654548488	nan	nan	nan
OG0041647.0	OG0005639.0	OG0028126.0	OG0000017.1174	OG0018804.2	OG0041919.0	OG0027837.0	OG0053775.0	OG0048059.0	OG0010877.4	OG0003809.0	OG0001873.22	OG0006865.6	OG0034581.0	OG0056991.0	OG0022775.0	OG0004133.0	OG0010866.17	OG0020395.0	OG0017756.6	OG0013066.8	OG0034798.0	OG0024810.0	OG0023466.0	OG0000634.26	OG0001756.0	OG0001618.1	OG0004864.0	OG0003351.0	OG0012771.2	OG0014062.0
nan	1.2760968034815	nan	3.291544443786	nan	nan	nan	nan	nan	0.33231882051	0.924506763504	0.356851840141	1.445730923362	nan	nan	nan	1.0250598305329999	nan	nan	nan	nan	nan	0.26807015761999997	nan	0.4327570500375	0.6784860889605001	0.7279344151015	0.609241490744	0.8627351634729999	0.494366798514	0.0
OG0013507.0	OG0001650.11	OG0028452.0	OG0004037.0	OG0019269.0	OG0020528.0	OG0007860.0	OG0000538.0	OG0060393.0	OG0028224.0	OG0021242.0	OG0013561.4	OG0045998.0	OG0047946.0	OG0047462.0	OG0003089.5	OG0003438.0	OG0003918.5	OG0024476.0	OG0045480.0	OG0025657.0	OG0054134.0	OG0045760.0	OG0014039.0	OG0013052.2	OG0044163.0	OG0057335.0	OG0041524.0	OG0041643.0	OG0041562.0	OG0005463.38
0.416784855003	0.042562385415	nan	1.416046599342	nan	0.638093570125	1.484522892374	0.730376296524	nan	nan	0.5356238285930001	0.183620061189	nan	nan	nan	0.23760850091	0.349940349385	0.345315320585	0.636437054014	nan	nan	nan	nan	0.0	0.006825383647	nan	nan	nan	nan	nan	0.861869755664
OG0056907.0	OG0056841.0	OG0015779.6	OG0007632.0	OG0004271.1	OG0006976.0	OG0010956.0	OG0001709.27	OG0015228.4	OG0008342.0	OG0012072.2	OG0008943.0	OG0053956.0	OG0009077.4	OG0000152.12	OG0034812.0	OG0044774.0	OG0012765.0	OG0010743.6	OG0049041.0	OG0047282.0	OG0024549.0	OG0046550.0	OG0022772.0	OG0035837.0	OG0043625.0	OG0027022.0	OG0002675.22	OG0004477.4	OG0021267.0	OG0043402.0
nan	nan	nan	0.41820135145900006	0.099654715	0.4359704080575	0.375666171863	0.5904611224759999	0.44269689001999996	0.422841818714	0.6811160579965	0.22082293724399998	nan	0.113525706711	0.101072390389	nan	nan	0.49426787650700005	0.5377114289505	nan	nan	0.0	nan	nan	nan	nan	0.7084645799089999	0.6873523272555	0.776322771407	nan	nan
OG0046598.0	OG0006443.2	OG0000255.37	OG0000481.166	OG0019366.0	OG0000581.0	OG0019846.0	OG0053939.0	OG0028254.0	OG0047505.0	OG0013218.3	OG0029593.0	OG0045161.0	OG0008871.1	OG0060431.0	OG0011142.10	OG0027169.0	OG0053995.0	OG0020021.0	OG0014093.9	OG0016605.3	OG0024398.0	OG0044507.0	OG0001645.0	OG0008123.0	OG0016230.0	OG0012865.4	OG0009091.4	OG0048929.0	OG0009095.4	OG0045090.0
nan	0.4154273388695	nan	1.034841122666	1.435844314141	1.4410120533434998	nan	nan	nan	nan	0.008425706057	nan	nan	nan	nan	0.075873265005	nan	nan	nan	nan	nan	nan	nan	1.176245458032	0.7278051221475	0.7537517300200001	nan	0.08151497932400001	nan	0.19453753082400002	nan
OG0023042.0	OG0043769.0	OG0037834.0	OG0037934.0	OG0046508.0	OG0043929.0	OG0026953.0	OG0022174.0	OG0003228.0	OG0009151.4	OG0018961.3	OG0005030.0	OG0044946.0	OG0022171.0	OG0018836.3	OG0018062.0	OG0018480.2	OG0000092.236	OG0003329.0	OG0054015.0	OG0044731.0	OG0005692.2	OG0016810.2	OG0022261.0	OG0041796.0	OG0008143.4	OG0018071.2	OG0020545.0	OG0045681.0	OG0000044.272	OG0014934.9
nan	nan	nan	nan	nan	nan	nan	1.821946629641	0.22687058424000003	0.620715342716	nan	1.2997608076815	nan	nan	nan	1.0076097617	0.6538724281830001	1.9653419191785	1.424057839192	nan	nan	0.18459250843850003	0.039209048849	0.09808436524700001	nan	0.298665291736	nan	0.329663559659	nan	1.239879048724	nan
OG0006404.2	OG0022404.0	OG0018072.2	OG0015407.0	OG0007407.0	OG0013123.3	OG0018806.5	OG0016040.2	OG0011360.2	OG0005385.1	OG0005879.0	OG0034236.0	OG0016118.0	OG0001777.24	OG0002489.10	OG0010111.0	OG0002665.8	OG0001595.24	OG0038866.0	OG0014360.2	OG0007826.10	OG0006095.0	OG0045021.0	OG0005463.38	OG0013499.2	OG0023196.0	OG0013990.2	OG0027701.0	OG0046027.0	OG0045515.0	OG0001992.2
