OG0009883.5	OG0000038.0	OG0000692.0	OG0004338.2	OG0004835.2	OG0000027.1	OG0000107.44	OG0004464.0	OG0012915.3	OG0004617.12
2.176515	1.9685840000000001	1.869573	2.10256	9.56423	nan	0.2686815	4.647137	3.008715	102.6965
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
0.7125338999999999	3.438868	nan	nan	nan	3.7693449999999995	2.023269	1.342949	nan	0.5279688
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
2.377656	1.5484149999999999	nan	1.368873	0.9962065999999999	222.2013	nan	nan	5.27133	97.04236999999999
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
10.89047	7.626767999999999	nan	2.7614400000000003	1.150835	nan	2.5718099999999997	nan	9.289112	3.315068
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
0.7930934000000001	5.013841	218.4872	1.418491	1.7384700000000002	3.425775	3.7222690000000003	5.182385	nan	0.7896392
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
1.0658290000000001	17.05348	3.827375	1.225159	0.7331578000000001	1.112147	nan	0.7210703	1.587581	1.244548
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
212.71599999999998	3.455977	nan	1.120632	1.161685	nan	nan	8.771279	2.05395	1.099667
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
nan	3.7399809999999998	4.860506	nan	1.3611149999999999	1.613752	5.34975	3.106702	9.133952	1.440073
OG0000027.457	OG0000923.0	OG0004469.6	OG0007098.2	OG0022067.0	OG0005153.1	OG0004970.0	OG0000139.0	OG0007761.3	OG0000127.0
