OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
0.2173	0.0321629	nan	0.249612	nan
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
nan	nan	0.044904900000000005	nan	0.254137
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
nan	0.117138	nan	nan	0.06170930000000001
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
0.14397100000000002	nan	nan	nan	0.253973
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
0.26813899999999996	nan	nan	0.0987706	nan
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
nan	nan	0.0944221	nan	0.175973
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
nan	nan	0.0469281	nan	0.249569
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
nan	0.0364103	nan	0.0005737	nan
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
0.034063199999999995	nan	nan	-0.09833099999999999	nan
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
0.231008	0.242576	0.254659	nan	nan
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
0.09083200000000001	nan	0.115692	0.134929	nan
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
-0.15800799999999998	-0.247707	nan	nan	0.22177399999999997
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
nan	nan	nan	0.0	0.159121
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
nan	0.466933	0.0719447	nan	0.103123
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
nan	nan	0.0356814	0.196496	0.0
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
nan	0.054622300000000006	0.0136649	nan	nan
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
nan	0.208662	-0.0764447	nan	0.0545217
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
0.21297399999999997	nan	0.038301499999999995	nan	0.24550100000000002
