OG0004710.2	OG0001698.26	OG0000027.457	OG0001643.24	OG0016785.2	OG0001566.2	OG0012896.0	OG0000471.2	OG0022825.0	OG0012926.0
4.392777449539969	3.76834630985074	7.0328924937553605	3.2101128903137615	-1.1496317731419636	6.524116308090783	2.9455225643395324	4.959066512187899	nan	1.1797254540653153
OG0060556.0	OG0013679.0	OG0044964.0	OG0004741.0	OG0023559.0	OG0026968.0	OG0022182.0	OG0012866.6	OG0004669.1	OG0014855.1
nan	0.10491582551982813	nan	2.67806106783939	nan	0.8511580156025157	nan	1.2258415889355394	4.575694285526484	nan
OG0021483.0	OG0020392.0	OG0045062.0	OG0057438.0	OG0046785.0	OG0009947.2	OG0011655.12	OG0028856.0	OG0014592.0	OG0056955.0
nan	nan	nan	nan	nan	1.155497941279496	nan	nan	2.3927620743263813	nan
OG0004297.2	OG0000478.2	OG0005167.4	OG0029079.0	OG0005347.11	OG0012466.13	OG0000706.25	OG0027960.0	OG0060394.0	OG0047959.0
-1.3704286369147924	5.644735055980567	0.7829377848914405	-3.2502961243049584	2.1131063573438342	nan	1.3496244111207423	nan	nan	nan
OG0014083.1	OG0015193.7	OG0005598.25	OG0004762.1	OG0044357.0	OG0000313.0	OG0037839.0	OG0005975.16	OG0000452.0	OG0009291.7
nan	nan	-3.814440796904293	-0.3235505094311802	nan	4.853723967870884	nan	1.0168144522898874	6.234569496957158	-0.5902209983131321
OG0000441.1	OG0002445.82	OG0048920.0	OG0021654.0	OG0023157.0	OG0047436.0	OG0045956.0	OG0004371.2	OG0034580.0	OG0043853.0
0.24202770751783143	-0.01796073360674638	nan	nan	0.18364318600079002	nan	nan	5.350844506646946	nan	nan
OG0005602.8	OG0003869.12	OG0046805.0	OG0015633.3	OG0045264.0	OG0012385.12	OG0002210.0	OG0053801.0	OG0017779.6	OG0041753.0
0.08113697409253129	1.5331709581270692	nan	nan	nan	nan	1.0733456244483348	nan	nan	nan
OG0007861.0	OG0019883.0	OG0022368.0	OG0006747.18	OG0020930.0	OG0021957.0	OG0015093.9	OG0011221.2	OG0004536.0	OG0019207.0
1.4772586972314217	nan	-0.12419759719443114	nan	1.0785530199559015	nan	nan	4.6979725562320525	2.7110642395332922	nan
OG0047439.0	OG0007888.4	OG0012424.10	OG0006016.4	OG0045364.0	OG0017964.4	OG0018867.2	OG0003620.0	OG0002403.0	OG0004519.0
nan	-0.03558014357621403	2.1031696448907007	2.2355217614338145	nan	0.8639535729004768	nan	1.2755208380688186	4.792359869847766	1.7135387506170376
OG0015308.0	OG0041572.0	OG0046237.0	OG0027847.0	OG0014637.1	OG0001066.26	OG0002730.20	OG0049162.0	OG0005860.0	OG0045371.0
0.4279313217978054	nan	nan	nan	1.771445025239175	1.5903059440459402	0.9720903508631309	nan	4.39670250754008	nan
OG0014097.5	OG0013439.2	OG0001110.108	OG0019393.0	OG0017150.4	OG0022858.0	OG0044637.0	OG0001725.29	OG0043966.0	OG0013816.1
nan	2.216023891984795	nan	-1.4423646618341255	1.4997267685857467	nan	nan	nan	nan	nan
OG0056947.0	OG0017249.0	OG0034510.0	OG0008757.0	OG0000539.1	OG0057027.0	OG0002358.24	OG0013654.3	OG0001853.0	OG0007727.1
nan	0.5505026387692833	nan	2.177359197939519	3.3849490884058686	nan	1.1479865964941331	nan	2.840459939996628	1.000439154385057
OG0027524.0	OG0000789.1	OG0016418.3	OG0012388.0	OG0005430.1	OG0056877.0	OG0005391.2	OG0003042.54	OG0010589.8	OG0044286.0
1.49249067387114	0.27615116309281157	2.3017198045361966	1.1502833846665401	1.953868338546423	nan	3.3701239311466193	1.3822027495038567	1.276053227593514	nan
OG0002437.4	OG0034714.0	OG0006965.6	OG0006407.1	OG0045257.0	OG0002100.0	OG0054004.0	OG0043729.0	OG0013888.0	OG0005727.0
5.3384755203772585	nan	0.7537416524835798	1.6070210809861878	nan	1.4280360060646404	nan	nan	1.3468806182325193	2.8499276194948395
OG0046990.0	OG0025605.0	OG0022011.0	OG0034811.0	OG0060546.0	OG0000092.1	OG0006521.0	OG0001407.24	OG0000648.5	OG0017147.0
nan	nan	nan	nan	nan	7.35739525784662	0.43608074300512634	-0.4582058509942537	2.200920892983949	1.7667424953154611
OG0048190.0	OG0000838.0	OG0044831.0	OG0020685.0	OG0057049.0	OG0022620.0	OG0029948.0	OG0004799.0	OG0017517.1	OG0008974.17
nan	4.149936217233732	nan	nan	nan	-13.287712379549449	nan	2.4934825304025843	nan	nan
OG0005794.2	OG0013568.4	OG0006444.0	OG0012753.7	OG0044059.0	OG0007356.0	OG0018946.3	OG0027123.0	OG0003707.0	OG0013530.0
0.4904228788807974	1.6281526464994596	2.1010507574427484	-1.0713355271242553	nan	0.5804924379499854	nan	nan	2.698748268049309	1.9761594270779244
OG0022310.0	OG0000460.168	OG0001762.24	OG0037860.0	OG0008995.2	OG0046167.0	OG0017997.4	OG0057017.0	OG0008670.2	OG0045763.0
nan	-1.063154258475013	2.450629267623632	nan	3.3676177071740643	nan	1.4272987297169928	nan	2.1585965539214853	nan
OG0046163.0	OG0014787.0	OG0028986.0	OG0006823.4	OG0038627.0	OG0015961.8	OG0009133.1	OG0001397.24	OG0047390.0	OG0008356.17
nan	1.4544556335998604	nan	2.689201497859979	nan	nan	3.79183788481726	0.08905240991436386	nan	0.14458209634261893
OG0020465.0	OG0010658.0	OG0023121.0	OG0001604.2	OG0013047.0	OG0014553.9	OG0006546.0	OG0034864.0	OG0006014.0	OG0045415.0
0.8414163619308038	0.7158213840244504	nan	6.068081633378358	2.3512018149430185	nan	1.8275039144737275	nan	0.6861719695028128	nan
OG0008354.0	OG0002629.7	OG0027492.0	OG0026920.0	OG0041515.0	OG0014093.9	OG0007589.18	OG0029026.0	OG0043407.0	OG0029178.0
3.661672033243812	3.072824936912366	nan	nan	nan	nan	1.638983572055306	-13.287712379549449	nan	nan
OG0028296.0	OG0057310.0	OG0002200.3	OG0007142.4	OG0019034.5	OG0024444.0	OG0006967.13	OG0014659.1	OG0006304.2	OG0027512.0
nan	nan	nan	1.5561952535932493	nan	nan	1.600485541788602	2.436413015369988	-0.44018193671924966	nan
OG0056616.0	OG0017484.2	OG0011300.1	OG0003801.0	OG0014825.1	OG0011720.2	OG0027847.0	OG0005439.4	OG0046175.0	OG0007235.10
nan	2.459381701022021	2.2408794435297636	1.5313227824910285	nan	3.087058678854249	nan	3.9187202845533373	nan	nan
OG0002688.0	OG0018896.0	OG0020412.0	OG0038826.0	OG0014047.2	OG0060466.0	OG0044550.0	OG0026942.0	OG0006421.0	OG0011493.6
1.8758241588405873	0.47248525606339425	nan	nan	-2.173873601558955	nan	nan	nan	4.661514406634818	1.202791277419564
OG0007876.21	OG0001156.1	OG0056834.0	OG0027883.0	OG0045317.0	OG0017433.3	OG0005083.0	OG0006574.0	OG0027428.0	OG0027630.0
nan	1.100401890865536	nan	nan	nan	nan	2.1325828398849334	0.9424020147153672	nan	nan
OG0008553.0	OG0020238.0	OG0001447.24	OG0034893.0	OG0038663.0	OG0009194.1	OG0000501.29	OG0009269.4	OG0000251.0	OG0025433.0
4.2022018889614134	nan	1.182487691770188	nan	nan	1.5137738928241604	0.5818071909862358	0.7450239128958369	3.7658540509240024	nan
OG0025815.0	OG0001619.0	OG0054087.0	OG0004006.0	OG0019599.0	OG0013096.0	OG0000569.0	OG0046515.0	OG0014845.2	OG0007477.8
nan	4.405335335796698	nan	1.1762758756386562	nan	1.358702974961924	5.084644912222734	nan	3.256741937396288	1.4174412416891484
OG0004344.0	OG0006965.6	OG0013784.3	OG0047079.0	OG0000048.38	OG0013466.11	OG0056670.0	OG0007766.0	OG0046745.0	OG0003459.2
1.8632554663365672	0.7537416524835798	nan	nan	nan	nan	nan	3.9638932167948693	nan	6.038253290328572
OG0046613.0	OG0000129.29	OG0018172.6	OG0004049.8	OG0035539.0	OG0014809.3	OG0000728.24	OG0012055.0	OG0030064.0	OG0019062.1
nan	1.9763877989225889	nan	2.1534112523013977	nan	1.8859494456120318	4.658735022687043	2.123726434668878	nan	nan
OG0056516.0	OG0018390.2	OG0003201.2	OG0013176.12	OG0027245.0	OG0016536.5	OG0037827.0	OG0056650.0	OG0047413.0	OG0001216.24
nan	2.6669859340970863	1.6111490771657617	nan	nan	nan	nan	nan	nan	-0.2104867349318555
OG0057452.0	OG0045970.0	OG0012298.11	OG0044024.0	OG0012449.12	OG0045053.0	OG0000381.0	OG0006761.1	OG0028196.0	OG0004224.40
nan	nan	nan	nan	nan	nan	5.002716719123624	2.353142355699334	nan	nan
OG0018165.3	OG0003484.0	OG0011910.0	OG0054122.0	OG0045827.0	OG0009220.12	OG0020455.0	OG0002823.0	OG0046950.0	OG0057447.0
-13.287712379549449	2.913027811335986	4.8075596866846775	nan	nan	1.185057209057513	2.4029193766259183	1.3030096276836531	nan	nan
OG0004842.6	OG0002645.26	OG0007119.0	OG0025813.0	OG0002344.12	OG0021986.0	OG0044265.0	OG0044004.0	OG0034564.0	OG0004219.22
0.17754704502769314	2.133443429410026	-0.007961662893116743	nan	1.2381561468383346	nan	nan	nan	nan	0.6899303813489178
OG0018994.0	OG0007430.2	OG0003909.0	OG0005464.0	OG0004532.24	OG0004002.0	OG0035601.0	OG0014821.10	OG0022861.0	OG0046398.0
0.8125884067447771	3.308052987904275	1.7005139950657049	1.8182008741764524	0.3277966056217344	0.5405953463903128	nan	nan	nan	nan
OG0002574.1	OG0011408.2	OG0007190.6	OG0047418.0	OG0005926.0	OG0056842.0	OG0046651.0	OG0014875.2	OG0011626.5	OG0014769.1
1.601890681757696	1.9926464987682009	2.467668940569447	nan	4.558868535489162	nan	nan	nan	nan	2.331267351990706
OG0027394.0	OG0038663.0	OG0005514.0	OG0008362.10	OG0013298.0	OG0008678.1	OG0018843.5	OG0009171.0	OG0016676.4	OG0048869.0
nan	nan	-0.49376007182323717	0.6589395933598328	nan	1.1155526421221436	nan	2.2549284502236624	1.4189322103235318	nan
OG0060537.0	OG0013303.11	OG0035678.0	OG0018401.2	OG0027837.0	OG0006977.0	OG0006379.10	OG0004815.0	OG0060405.0	OG0047973.0
nan	nan	nan	nan	nan	0.8529113561775692	2.048673043004619	1.0242470606439948	nan	nan
OG0029996.0	OG0004720.0	OG0022066.0	OG0010701.0	OG0018246.1	OG0045027.0	OG0016098.3	OG0056892.0	OG0002602.6	OG0011588.2
nan	2.0379697012838216	nan	2.8510213160985147	nan	nan	0.9486419424373983	nan	6.001914266002909	nan
OG0003320.8	OG0048963.0	OG0013075.0	OG0020523.0	OG0007901.0	OG0018067.2	OG0056853.0	OG0016890.3	OG0000306.0	OG0060524.0
3.42207032032526	nan	1.6732317595390758	1.2568343143816132	3.6995759821059813	2.0885598719173566	nan	nan	8.086885392684996	nan
OG0041539.0	OG0021370.0	OG0034621.0	OG0028958.0	OG0010073.0	OG0038157.0	OG0005324.1	OG0006055.0	OG0057145.0	OG0001407.24
nan	nan	nan	nan	1.194833034597008	nan	2.3139226686910424	2.1854634796223897	nan	-0.4582058509942537
OG0013644.0	OG0011744.0	OG0000726.25	OG0012247.0	OG0045316.0	OG0008451.4	OG0049123.0	OG0024367.0	OG0015178.8	OG0016241.8
2.2696240100148297	1.0919203094507173	4.211751292417766	1.5966898832621215	nan	4.916554867880541	nan	nan	nan	nan
OG0048137.0	OG0010723.0	OG0045809.0	OG0000412.1	OG0013289.6	OG0001239.26	OG0044717.0	OG0007333.0	OG0006891.4	OG0014746.1
