OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
0.2811832	0.08080729	nan	8.961704e-05	nan
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
nan	0.9892526	0.31166009999999994	nan	0.04969781
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
0.8843371999999999	0.6504963	nan	nan	0.37376190000000004
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
0.005457784	0.9461523999999999	nan	nan	0.04284363
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
0.0007014310000000001	nan	nan	0.2037225	0.9910116
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
0.8155743000000001	nan	0.30313779999999996	nan	0.1261366
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
nan	nan	0.12273289999999999	0.9970030999999999	0.7328663000000001
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
nan	0.7035789000000001	0.5409153	0.08707557	nan
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
0.7855853	nan	0.6405708000000001	0.8035437	nan
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
0.09025358	0.05993916	0.08939272	nan	nan
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
0.11430950000000001	nan	0.8219843000000001	0.3716551	nan
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
0.9031984000000001	0.9184763000000001	nan	nan	0.09863965
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
nan	nan	0.47628290000000006	0.6683785	0.00033632800000000005
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
nan	0.5024195	0.2827769	nan	0.09409308
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
nan	nan	0.8582668	0.02383915	0.5609460999999999
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
0.6976397	0.20170079999999999	0.9313394	nan	nan
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
nan	0.02658022	0.01170629	nan	0.6143314999999999
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
0.24108579999999996	nan	0.7752737	nan	0.47303420000000007
OG0005696.4	OG0018632.3	OG0000014.1	OG0006725.0	OG0024663.0
0.5234194000000001	nan	0.1841982	0.599915	nan
OG0005845.2	OG0006425.0	OG0057335.0	OG0000336.0	OG0027523.0
0.5970904	0.09207323	nan	0.03245307	nan
OG0008528.0	OG0024783.0	OG0007191.0	OG0000014.1	OG0043509.0
0.01062275	nan	0.6375181	0.1841982	nan
OG0005846.2	OG0012177.2	OG0017997.4	OG0041546.0	OG0000088.3
0.3685542	0.6238951	nan	nan	0.11921110000000001
OG0000180.0	OG0027819.0	OG0007348.0	OG0007163.2	OG0014417.1
