OG0004710.2	OG0001698.26	OG0000027.457	OG0001643.24	OG0016785.2	OG0001566.2	OG0012896.0	OG0000471.2	OG0022825.0	OG0012926.0
-3.2419527181667664	-2.947305888696155	-2.107803289534515	-3.330537769639225	-1.8411459704833824	-2.0445383960764985	-2.3140150132440978	-2.7553564542606015	nan	-3.5083213200135352
OG0060556.0	OG0013679.0	OG0044964.0	OG0004741.0	OG0023559.0	OG0026968.0	OG0022182.0	OG0012866.6	OG0004669.1	OG0014855.1
nan	-2.3606752108291547	nan	-1.8937857039090322	nan	-2.124691739968656	-2.2542893780119995	-0.6677217169430707	-2.214240225572989	nan
OG0021483.0	OG0020392.0	OG0045062.0	OG0057438.0	OG0046785.0	OG0009947.2	OG0011655.12	OG0028856.0	OG0014592.0	OG0056955.0
nan	nan	nan	nan	nan	-3.1354275372428675	nan	nan	-2.1259506362447746	nan
OG0004297.2	OG0000478.2	OG0005167.4	OG0029079.0	OG0005347.11	OG0012466.13	OG0000706.25	OG0027960.0	OG0060394.0	OG0047959.0
-4.522840788813358	-1.6915226234050391	-2.911586990273275	nan	-2.443791328260415	nan	-1.787368410279046	nan	nan	nan
OG0014083.1	OG0015193.7	OG0005598.25	OG0004762.1	OG0044357.0	OG0000313.0	OG0037839.0	OG0005975.16	OG0000452.0	OG0009291.7
nan	nan	nan	-2.4651415485992816	nan	-1.65835575946984	nan	nan	-1.5536378881214055	-3.6286084160757874
OG0000441.1	OG0002445.82	OG0048920.0	OG0021654.0	OG0023157.0	OG0047436.0	OG0045956.0	OG0004371.2	OG0034580.0	OG0043853.0
-3.285319266282261	-3.289121949804121	nan	nan	-3.5084854958362888	nan	nan	-1.3259009714622862	nan	nan
OG0005602.8	OG0003869.12	OG0046805.0	OG0015633.3	OG0045264.0	OG0012385.12	OG0002210.0	OG0053801.0	OG0017779.6	OG0041753.0
-3.029735320985471	-2.871970611259359	nan	nan	nan	nan	-1.8099541131055612	nan	nan	nan
OG0007861.0	OG0019883.0	OG0022368.0	OG0006747.18	OG0020930.0	OG0021957.0	OG0015093.9	OG0011221.2	OG0004536.0	OG0019207.0
-3.2082275957226343	nan	-2.3269863847103918	nan	nan	nan	nan	-2.208894429587471	-2.667492554041963	nan
OG0047439.0	OG0007888.4	OG0012424.10	OG0006016.4	OG0045364.0	OG0017964.4	OG0018867.2	OG0003620.0	OG0002403.0	OG0004519.0
nan	-2.5977144081300043	-2.3718330007136763	-2.1475216763576133	nan	-3.202903991745088	nan	-2.051399152506644	-1.479150349591925	-2.2209504471625414
OG0015308.0	OG0041572.0	OG0046237.0	OG0027847.0	OG0014637.1	OG0001066.26	OG0002730.20	OG0049162.0	OG0005860.0	OG0045371.0
-4.1692903552362495	nan	nan	nan	-1.973129135275255	-2.343000318505964	-2.9748294242650943	nan	-2.1694201465224596	nan
OG0014097.5	OG0013439.2	OG0001110.108	OG0019393.0	OG0017150.4	OG0022858.0	OG0044637.0	OG0001725.29	OG0043966.0	OG0013816.1
nan	-2.589007712779105	-2.289121949804121	-4.165143187333003	nan	nan	nan	nan	nan	nan
OG0056947.0	OG0017249.0	OG0034510.0	OG0008757.0	OG0000539.1	OG0057027.0	OG0002358.24	OG0013654.3	OG0001853.0	OG0007727.1
nan	nan	nan	-1.7249929525001302	-1.8598757760909297	nan	-2.6029637591278236	nan	-2.3748230433194877	-3.2122332300614325
OG0027524.0	OG0000789.1	OG0016418.3	OG0012388.0	OG0005430.1	OG0056877.0	OG0005391.2	OG0003042.54	OG0010589.8	OG0044286.0
-0.6629169236892125	-3.0075215873325427	nan	-1.9159357352115254	-1.3632709872102522	nan	-1.8140066299300341	-3.205563338195578	-3.027380860991847	nan
OG0002437.4	OG0034714.0	OG0006965.6	OG0006407.1	OG0045257.0	OG0002100.0	OG0054004.0	OG0043729.0	OG0013888.0	OG0005727.0
-2.268121651191569	nan	-2.0709665213541437	-1.176902852650796	nan	-2.8395960741399864	nan	nan	-2.4104282460262545	-1.934841324871453
OG0046990.0	OG0025605.0	OG0022011.0	OG0034811.0	OG0060546.0	OG0000092.1	OG0006521.0	OG0001407.24	OG0000648.5	OG0017147.0
nan	nan	nan	nan	nan	-1.905628789407483	-2.2327689629761243	-2.691522623405039	nan	nan
OG0048190.0	OG0000838.0	OG0044831.0	OG0020685.0	OG0057049.0	OG0022620.0	OG0029948.0	OG0004799.0	OG0017517.1	OG0008974.17
nan	-2.20024953829911	nan	nan	nan	-13.287712379549449	nan	-1.6940878298433792	nan	nan
OG0005794.2	OG0013568.4	OG0006444.0	OG0012753.7	OG0044059.0	OG0007356.0	OG0018946.3	OG0027123.0	OG0003707.0	OG0013530.0
-1.7776900207356847	-2.651087759005801	-1.8791172667513478	-2.583808806104786	nan	-2.615287037577954	nan	nan	-2.294420138060902	-1.386845571568701
OG0022310.0	OG0000460.168	OG0001762.24	OG0037860.0	OG0008995.2	OG0046167.0	OG0017997.4	OG0057017.0	OG0008670.2	OG0045763.0
nan	-3.8675416046585047	-2.2604974943896146	nan	-1.6624601578025762	nan	-2.3982084161379738	nan	-2.3269863847103918	nan
OG0046163.0	OG0014787.0	OG0028986.0	OG0006823.4	OG0038627.0	OG0015961.8	OG0009133.1	OG0001397.24	OG0047390.0	OG0008356.17
nan	-2.545402943465451	nan	-1.5728229453179	nan	nan	-1.965220841951981	-2.2688167584278	nan	-3.5061887327207226
OG0020465.0	OG0010658.0	OG0023121.0	OG0001604.2	OG0013047.0	OG0014553.9	OG0006546.0	OG0034864.0	OG0006014.0	OG0045415.0
-3.547088335060036	-3.572608370313282	nan	-1.8484009177306033	-0.8175619442750904	nan	-1.5790595438629198	nan	-1.801380126780785	nan
OG0008354.0	OG0002629.7	OG0027492.0	OG0026920.0	OG0041515.0	OG0014093.9	OG0007589.18	OG0029026.0	OG0043407.0	OG0029178.0
-2.128471729137777	-1.5745406952346448	nan	nan	nan	nan	-1.5043048373759311	nan	nan	nan
OG0028296.0	OG0057310.0	OG0002200.3	OG0007142.4	OG0019034.5	OG0024444.0	OG0006967.13	OG0014659.1	OG0006304.2	OG0027512.0
nan	nan	nan	-2.879382638782058	nan	nan	-1.9994230373684796	-1.0034666297197794	-3.0764324320674414	nan
OG0056616.0	OG0017484.2	OG0011300.1	OG0003801.0	OG0014825.1	OG0011720.2	OG0027847.0	OG0005439.4	OG0046175.0	OG0007235.10
nan	-1.8927138650477777	-2.1989241408325424	-2.151362038095294	nan	-0.6594946993260151	nan	-2.0267928458865443	nan	nan
OG0002688.0	OG0018896.0	OG0020412.0	OG0038826.0	OG0014047.2	OG0060466.0	OG0044550.0	OG0026942.0	OG0006421.0	OG0011493.6
-1.3532843389226457	-1.2722973271627618	nan	nan	0.39845982712238304	nan	nan	-1.400110955040741	-1.743230857238659	nan
OG0007876.21	OG0001156.1	OG0056834.0	OG0027883.0	OG0045317.0	OG0017433.3	OG0005083.0	OG0006574.0	OG0027428.0	OG0027630.0
nan	-2.0516981876493645	nan	nan	nan	nan	-2.0250302371872846	-2.132261648237312	nan	nan
OG0008553.0	OG0020238.0	OG0001447.24	OG0034893.0	OG0038663.0	OG0009194.1	OG0000501.29	OG0009269.4	OG0000251.0	OG0025433.0
-1.3964982736436204	nan	-1.8119789485830515	nan	nan	-1.6073528560357366	-2.3393451479647718	-0.873291397803032	-1.652447723009936	nan
OG0025815.0	OG0001619.0	OG0054087.0	OG0004006.0	OG0019599.0	OG0013096.0	OG0000569.0	OG0046515.0	OG0014845.2	OG0007477.8
nan	-1.5794906495110967	nan	-2.7446805592942116	nan	-1.865647613376637	-1.4289542796140284	nan	-1.0730896932471135	-2.7973628738101626
OG0004344.0	OG0006965.6	OG0013784.3	OG0047079.0	OG0000048.38	OG0013466.11	OG0056670.0	OG0007766.0	OG0046745.0	OG0003459.2
-1.8059129478836977	-2.0709665213541437	nan	nan	nan	nan	nan	-2.395928676331139	nan	-1.7456478372660071
OG0046613.0	OG0000129.29	OG0018172.6	OG0004049.8	OG0035539.0	OG0014809.3	OG0000728.24	OG0012055.0	OG0030064.0	OG0019062.1
nan	-2.977099597889921	nan	-2.3353351275814656	nan	-2.2162500169928254	-1.4406550334581139	-1.454426943964968	nan	nan
OG0056516.0	OG0018390.2	OG0003201.2	OG0013176.12	OG0027245.0	OG0016536.5	OG0037827.0	OG0056650.0	OG0047413.0	OG0001216.24
nan	-1.7379277116015897	-1.8262329322632935	nan	nan	nan	nan	nan	nan	-2.5530027593236113
OG0057452.0	OG0045970.0	OG0012298.11	OG0044024.0	OG0012449.12	OG0045053.0	OG0000381.0	OG0006761.1	OG0028196.0	OG0004224.40
nan	nan	nan	nan	nan	nan	-1.7656213106623855	-1.779917739350753	nan	nan
OG0018165.3	OG0003484.0	OG0011910.0	OG0054122.0	OG0045827.0	OG0009220.12	OG0020455.0	OG0002823.0	OG0046950.0	OG0057447.0
nan	-1.9736956756480915	-1.9091465695488865	nan	nan	-2.536168320460351	-1.6615470596449509	-2.096653165017793	nan	nan
OG0004842.6	OG0002645.26	OG0007119.0	OG0025813.0	OG0002344.12	OG0021986.0	OG0044265.0	OG0044004.0	OG0034564.0	OG0004219.22
-3.075824085003446	-2.4004917640810643	-2.706511797624492	nan	-1.1707187020024687	nan	nan	nan	nan	-2.61705613043101
OG0018994.0	OG0007430.2	OG0003909.0	OG0005464.0	OG0004532.24	OG0004002.0	OG0035601.0	OG0014821.10	OG0022861.0	OG0046398.0
nan	-2.25256963166354	-2.2129019183889955	-3.022097333064992	-1.9029286294560968	-2.5916142085935863	nan	nan	nan	nan
OG0002574.1	OG0011408.2	OG0007190.6	OG0047418.0	OG0005926.0	OG0056842.0	OG0046651.0	OG0014875.2	OG0011626.5	OG0014769.1
-1.323371511757031	-1.9674759343078005	-2.5166356392866507	nan	-2.654263004835957	nan	nan	nan	nan	-2.261188937029684
OG0027394.0	OG0038663.0	OG0005514.0	OG0008362.10	OG0013298.0	OG0008678.1	OG0018843.5	OG0009171.0	OG0016676.4	OG0048869.0
nan	nan	-2.0469210473874924	-2.1046973786666934	nan	-2.163591067720262	nan	-1.7500086316418049	-4.321351132255842	nan
