OG0012915.3	OG0006804.0	OG0022826.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0016785.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0022825.0	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0012926.0	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
-3.8802321574527925	-0.9132162338579334	nan	-0.5420380555473153	-0.9018499789079885	-1.534913621113934	-0.6610907271910786	-0.6794575575715407	0.40064722052282803	-0.9700171337842857	-1.626379626754263	-1.8411459704833824	-1.2039006722965686	-2.879382638782058	-1.8416629728328997	-1.1587514286937521	-1.446934455954395	-0.6443071024337754	-0.5075827599241425	-1.1883645691462565	-0.512925319948276	nan	-0.07369688813860564	-0.5428785420499038	-0.35752946268417823	-2.554697057863487	-3.5083213200135352	-1.0540927027897475	-1.3375210295767486	-1.4131151871478154	-0.43908943912011134
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0028979.0	OG0012649.2	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0024645.0	OG0048133.0	OG0001723.0	OG0005902.0	OG0000006.561
-1.6051566384691394	-2.353284338922646	-1.1046973786666934	-0.9810810178369486	-0.7941070724923293	-1.6029637591278236	-0.28086037780067485	-1.5344956303704944	-1.097270360766624	-0.01727103870140411	-0.7333633574860104	-1.277533975528909	-3.4567218983001893	-0.6588112275212595	-0.8614476248473515	-1.2796339686811926	-1.7379277116015897	-0.6106534638375021	-1.6961900329787145	-1.248450585208394	nan	-1.6501818280241396	-1.1523237279704035	-0.15826835651750287	-1.2155797753822157	-0.9274139529314037	nan	nan	-1.396688189399952	-1.3770696490798233	-0.17266872938773947
OG0000245.24	OG0007897.3	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0020510.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0046223.0	OG0000338.41	OG0006082.0	OG0054009.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
-0.6384562020321349	-2.700872591587623	-0.7364847759511612	0.007339046008161679	-1.4081291299366663	-1.0920325940534683	-0.6741531017611848	-2.6850135145314846	-0.8293057663129167	-0.16133054900680766	-0.7006381023484414	nan	0.7966808083669082	-0.4367442285670112	nan	-1.4069809444077854	-1.087426774325152	-0.8471027128010276	-0.43070335443835533	-1.5799218840206262	0.5140970048942337	-0.4953287646142607	-1.5340777606960627	-0.6604064990346017	-2.043943347587597	-0.9683225035492398	-1.164237581305309	-0.3636421939641049	0.24744147114440776	-1.3353351275814656	-1.4035418604410144
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0000159.288	OG0001103.24	OG0000026.45	OG0057088.0	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0056982.0	OG0000169.16	OG0000120.105	OG0005623.0	OG0017964.4	OG0001851.13	OG0000045.0	OG0005827.2
-0.890037746601182	-2.819088336631431	-0.3980183001673634	-0.4111954329844497	-1.2615347826602237	-1.214240225572989	-0.68478158863421	-0.9263168463835602	-1.1253210507925446	0.7040751643766956	-1.2824387229855119	nan	-1.5799218840206262	-0.1413028099616662	nan	0.7399344890375401	-1.037710111709001	-2.9567955014348324	-1.4441838449383604	-1.2976084156919494	-0.25980638297956504	-0.8656476133766372	-1.626379626754263	nan	-0.3176064889372687	-0.5544851616978876	-0.005492683876862146	-3.202903991745088	-1.38458370273713	-0.2716005413289375	-0.9186603725480612
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0037709.0	OG0004267.6	OG0006855.18	OG0020289.0	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0035551.0	OG0018942.4	OG0001415.1	OG0000088.3	OG0000090.24	OG0008493.6	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
-0.3082871842179762	-0.4823715511330652	-0.5515218785885228	-0.43362319967887547	-1.4671344968936753	-1.6317345170625073	nan	-0.27404076549081247	-2.3364276645824775	-0.8504804785099708	-0.8580441144163556	-1.046325015550513	-0.6077925010310296	0.5140970048942337	-0.7264244343846205	-1.0002885678659263	-0.4221724087637519	-0.44929630375211244	-1.8160371651574052	-0.9694520358370333	nan	-1.5751853791096262	-0.7062763900950659	-0.11434754870041268	0.15328652099086262	-1.8515213840680327	-0.15136203809529378	-0.007521587332542789	-0.9219367442231812	-1.097270360766624	-2.864596469402349
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0053818.0	OG0029083.0	OG0021274.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0013943.9	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
