OG0007639.25	OG0005056.1	OG0008342.0	OG0000264.1	OG0019212.0	OG0000834.30	OG0006158.4	OG0000751.0	OG0016785.2	OG0014302.8	OG0014817.2	OG0001607.2	OG0000213.256	OG0000236.122	OG0004314.0	OG0001844.24	OG0006225.0	OG0029060.0	OG0000456.0	OG0053812.0	OG0013218.3	OG0005400.0	OG0011985.2	OG0008341.0	OG0004205.0	OG0007639.5	OG0000236.19	OG0020019.0	OG0000119.0	OG0005741.0	OG0008335.19	OG0003991.2	OG0007127.0	OG0000324.0	OG0002309.26	OG0009857.2	OG0002590.0	OG0000236.1	OG0003860.1	OG0000320.0	OG0002488.24	OG0002988.0	OG0000206.0	OG0004226.0	OG0000098.0	OG0005266.0	OG0006752.0	OG0044466.0	OG0005996.10	OG0000833.0	OG0012896.0	OG0012897.4	OG0000920.27	OG0000318.0	OG0003342.16	OG0007845.0	OG0000551.2	OG0015105.0	OG0005326.0	OG0001764.0	OG0000834.15	OG0004135.0	OG0014065.0	OG0000213.17	OG0029057.0
2.0	9.0	4.0	47.0	2.0	27.0	8.0	38.0	2.0	2.0	3.0	16.0	2.0	31.0	10.0	20.0	5.0	2.0	32.0	1.0	2.0	8.0	4.0	4.0	17.0	2.0	1.0	2.0	74.0	5.0	2.0	16.0	8.0	38.0	19.0	8.0	16.0	2.0	12.0	41.0	18.0	16.0	43.0	18.0	40.0	9.0	7.0	1.0	4.0	27.0	6.0	3.0	27.0	39.0	12.0	4.0	29.0	3.0	6.0	30.0	2.0	10.0	4.0	65.0	2.0
OG0002960.16	OG0005243.10	OG0009112.0	OG0004413.0	OG0012284.2	OG0004011.8	OG0007638.14	OG0013294.0	OG0005137.0	OG0012064.0	OG0003786.18	OG0015394.2	OG0004535.0	OG0005718.0	OG0016603.0	OG0019439.0	OG0053988.0	OG0002537.22	OG0001114.0	OG0001219.24	OG0038709.0	OG0006745.0	OG0000130.3	OG0004954.6	OG0005803.0	OG0037820.0	OG0001454.24	OG0000797.20	OG0001998.0	OG0000501.29	OG0011407.4	OG0001503.3	OG0015168.2	OG0001234.24	OG0002634.1	OG0011383.6	OG0001866.0	OG0000379.0	OG0004550.11	OG0013041.6	OG0017031.0	OG0002366.0	OG0007766.0	OG0010010.11	OG0020930.0	OG0011299.4	OG0001634.22	OG0013940.0	OG0006238.2	OG0005001.32	OG0019473.0	OG0016677.4	OG0001121.24	OG0000455.62	OG0008306.1	OG0006715.0	OG0018975.4	OG0004558.0	OG0001404.24	OG0022201.0	OG0009965.0	OG0001956.0	OG0025133.0	OG0003750.8	OG0000034.540
19.0	8.0	10.0	18.0	5.0	11.0	2.0	2.0	15.0	5.0	12.0	4.0	8.0	4.0	2.0	2.0	1.0	18.0	26.0	27.0	1.0	5.0	3.0	8.0	8.0	1.0	27.0	29.0	27.0	27.0	3.0	25.0	2.0	27.0	22.0	3.0	27.0	30.0	8.0	2.0	2.0	19.0	9.0	2.0	2.0	4.0	26.0	4.0	5.0	8.0	2.0	2.0	27.0	30.0	6.0	5.0	2.0	15.0	27.0	3.0	9.0	27.0	2.0	9.0	22.0
OG0020548.0	OG0009286.2	OG0015297.0	OG0000520.4	OG0012222.4	OG0016660.3	OG0001353.24	OG0002270.30	OG0060550.0	OG0017899.1	OG0005383.0	OG0001042.5	OG0004814.0	OG0004247.0	OG0001517.22	OG0010066.0	OG0029019.0	OG0000403.196	OG0002193.0	OG0000022.208	OG0041632.0	OG0000765.3	OG0000005.131	OG0001107.6	OG0000739.15	OG0008492.0	OG0002345.0	OG0000005.297	OG0003553.40	OG0022228.0	OG0016029.0	OG0007768.18	OG0008449.4	OG0009858.0	OG0001560.36	OG0000329.3	OG0004498.2	OG0007147.6	OG0004770.1	OG0000367.131	OG0000816.25	OG0012334.0	OG0005556.2	OG0002147.0	OG0007206.0	OG0003835.22	OG0005762.0	OG0010726.0	OG0018036.3	OG0020387.0	OG0020540.0	OG0004565.2	OG0000084.0	OG0000211.48	OG0009797.0	OG0010851.12	OG0000728.24	OG0003614.8	OG0000338.41	OG0002062.0	OG0009055.0	OG0009293.0	OG0000004.167	OG0001624.8	OG0000982.24
2.0	2.0	4.0	17.0	5.0	1.0	27.0	26.0	1.0	2.0	6.0	27.0	15.0	7.0	27.0	2.0	2.0	2.0	15.0	130.0	1.0	27.0	27.0	27.0	27.0	5.0	26.0	3.0	4.0	2.0	5.0	4.0	5.0	5.0	23.0	26.0	18.0	10.0	4.0	2.0	3.0	3.0	6.0	27.0	9.0	12.0	4.0	8.0	2.0	2.0	2.0	17.0	46.0	55.0	8.0	2.0	29.0	18.0	40.0	27.0	9.0	2.0	36.0	3.0	27.0
OG0007774.2	OG0001402.24	OG0008477.2	OG0000110.3	OG0013867.2	OG0002248.0	OG0004705.0	OG0001523.78	OG0001000.24	OG0007815.2	OG0000032.86	OG0004343.18	OG0009201.0	OG0028162.0	OG0013547.0	OG0000000.1657	OG0001693.0	OG0001599.24	OG0000717.1	OG0003780.4	OG0004831.2	OG0018408.0	OG0016780.2	OG0004514.0	OG0002815.39	OG0012754.0	OG0015771.3	OG0007820.0	OG0014789.4	OG0000979.1	OG0011315.0	OG0007345.0	OG0007488.0	OG0011292.4	OG0012860.0	OG0001807.19	OG0001105.24	OG0002188.22	OG0007412.0	OG0003495.0	OG0006415.0	OG0002885.12	OG0007250.0	OG0027569.0	OG0004289.0	OG0000412.76	OG0000256.24	OG0007217.0	OG0000101.213	OG0027521.0	OG0000074.1	OG0001682.68	OG0003646.25	OG0029077.0	OG0003843.12	OG0018469.0	OG0029069.0	OG0025716.0	OG0000608.0	OG0003145.0	OG0011312.2	OG0014702.2	OG0012724.0	OG0001051.24	OG0000907.146
8.0	27.0	6.0	45.0	2.0	27.0	17.0	9.0	27.0	10.0	29.0	5.0	3.0	1.0	3.0	8.0	28.0	26.0	2.0	20.0	15.0	3.0	2.0	8.0	1.0	3.0	2.0	10.0	3.0	27.0	4.0	6.0	10.0	4.0	3.0	14.0	27.0	22.0	6.0	21.0	9.0	17.0	5.0	2.0	4.0	27.0	53.0	9.0	16.0	2.0	29.0	16.0	7.0	2.0	11.0	2.0	2.0	1.0	26.0	23.0	4.0	2.0	5.0	27.0	2.0
OG0004330.0	OG0000154.2	OG0021367.0	OG0005451.4	OG0007294.0	OG0013215.0	OG0025068.0	OG0020836.0	OG0002011.0	OG0004475.8	OG0003666.1	OG0001165.26	OG0000567.0	OG0001344.0	OG0005638.4	OG0020901.0	OG0016227.6	OG0012266.4	OG0020463.0	OG0005668.1	OG0020502.0	OG0005784.8	OG0012756.0	OG0004533.8	OG0000824.24	OG0001163.24	OG0009297.0	OG0017810.3	OG0000242.190	OG0006298.0	OG0011280.9	OG0003307.20	OG0004190.0	OG0002699.0	OG0013126.0	OG0012166.6	OG0057305.0	OG0024606.0	OG0001752.4	OG0001276.24	OG0012665.4	OG0010766.0	OG0006516.0	OG0001815.3	OG0021976.0	OG0000647.0	OG0002325.0	OG0016229.7	OG0010507.3	OG0000300.0	OG0010015.2	OG0007801.6	OG0010497.2	OG0006982.0	OG0025888.0	OG0004072.0	OG0002886.1	OG0003826.6	OG0003358.3	OG0000369.1	OG0003928.0	OG0001516.22	OG0003674.0	OG0005104.6	OG0000542.0
15.0	54.0	2.0	10.0	2.0	2.0	2.0	2.0	27.0	17.0	9.0	27.0	35.0	27.0	7.0	3.0	2.0	3.0	3.0	4.0	3.0	7.0	4.0	8.0	28.0	27.0	4.0	2.0	18.0	4.0	2.0	8.0	6.0	23.0	3.0	4.0	1.0	2.0	24.0	27.0	4.0	9.0	4.0	27.0	2.0	16.0	26.0	1.0	5.0	26.0	2.0	10.0	5.0	5.0	2.0	17.0	22.0	20.0	12.0	27.0	7.0	27.0	21.0	9.0	51.0
OG0008222.16	OG0002803.15	OG0011587.0	OG0002250.0	OG0029017.0	OG0004814.0	OG0015336.0	OG0005329.1	OG0049166.0	OG0045816.0	OG0001384.1	OG0016911.0	OG0009059.4	OG0001534.44	OG0000408.0	OG0003096.0	OG0002170.0	OG0022190.0	OG0019818.0	OG0010918.0	OG0003943.12	OG0016936.0	OG0001335.24	OG0004679.0	OG0000403.25	OG0015243.2	OG0008206.0	OG0004030.3	OG0020806.0	OG0004770.1	OG0022178.0	OG0000895.1	OG0001231.24	OG0001102.24	OG0005505.2	OG0010173.4	OG0005731.0	OG0015978.3	OG0006643.0	OG0002308.0	OG0001023.7	OG0002454.0	OG0000553.6	OG0018310.4	OG0004339.10	OG0016924.0	OG0013059.0	OG0000335.0	OG0025961.0	OG0007705.4	OG0001354.22	OG0000385.81	OG0005019.0	OG0002115.0	OG0018469.0	OG0005524.6	OG0018950.4	OG0009055.0	OG0012439.0	OG0018094.5	OG0002701.26	OG0012292.0	OG0011187.0	OG0003088.0	OG0000494.1
