OG0006400.2	OG0000177.8	OG0006804.0	OG0004338.2	OG0022826.0	OG0004324.0	OG0002346.16	OG0002252.0	OG0004835.2	OG0004464.0	OG0000038.0	OG0004617.12	OG0001967.0	OG0000107.44	OG0000692.0	OG0000835.7	OG0000019.257	OG0000606.2	OG0012915.3	OG0009883.5	OG0000027.1
0.9977196	nan	0.8530597	-0.3143018	4.1072	-0.4231768	0.3227857	nan	-0.9852652	-0.22264189999999998	nan	-0.7431941999999999	0.8198931999999999	1.267889	-0.8929728000000001	0.7060531	nan	nan	-1.852748	0.03300591	nan
OG0046571.0	OG0016839.3	OG0043434.0	OG0016469.2	OG0007133.1	OG0006596.0	OG0037987.0	OG0034863.0	OG0009070.4	OG0044964.0	OG0014998.8	OG0019849.0	OG0001180.24	OG0000053.0	OG0008622.0	OG0008262.0	OG0005954.22	OG0007492.4	OG0000693.9	OG0027676.0	OG0046749.0
-6.486605	-1.629264	1.584407	0.1291492	-0.29218590000000005	-1.163883	2.607923	-1.5705959999999999	-1.001292	-5.467515000000001	-6.6277669999999995	0.10981289999999999	nan	1.3338450000000002	-0.45770320000000003	0.5637199	-0.42332349999999996	-0.3350273	0.3237948	1.132392	-6.123691
OG0030002.0	OG0018776.5	OG0015093.9	OG0045091.0	OG0043348.0	OG0014860.1	OG0020682.0	OG0012331.2	OG0003677.0	OG0009154.6	OG0007752.0	OG0002782.0	OG0038032.0	OG0010777.2	OG0060417.0	OG0016896.2	OG0006313.0	OG0003380.16	OG0006574.0	OG0014601.0	OG0011268.5
1.6936069999999999	1.023002	0.9933863000000002	-6.0867260000000005	1.7160060000000001	0.04951684	-1.42971	-6.213529	-1.383865	-1.598382	-0.07080046	0.3431363	2.311204	0.7576691	-1.653747	-0.1766159	-0.9426466	-0.5324314	-1.206813	1.02281	2.938628
OG0003468.0	OG0053772.0	OG0029000.0	OG0044810.0	OG0008260.19	OG0016323.2	OG0007110.16	OG0013858.3	OG0020433.0	OG0011587.0	OG0048148.0	OG0023240.0	OG0018120.3	OG0035597.0	OG0049142.0	OG0041832.0	OG0014014.2	OG0010597.0	OG0014625.0	OG0016980.0	OG0014647.1
-1.398455	3.3838410000000003	3.174972	2.260153	0.9876381999999999	-1.630539	-6.340022	1.185927	-1.219641	0.6791174	-0.595897	1.475735	-1.561679	6.432717	0.9545338	0.9799595999999999	1.38602	-0.4333242	0.10790280000000001	-0.03357884	-1.751109
OG0041934.0	OG0001696.0	OG0045622.0	OG0027680.0	OG0001145.3	OG0008253.2	OG0019818.0	OG0007559.0	OG0046290.0	OG0003145.0	OG0005245.10	OG0002552.0	OG0006868.4	OG0004604.6	OG0034287.0	OG0027757.0	OG0043359.0	OG0003770.8	OG0001075.1	OG0006342.12	OG0014619.0
0.8847581	nan	-5.592298	1.395731	nan	-1.260048	-1.9766259999999998	-1.210711	-5.574819000000001	-1.142436	-0.5493628	0.9554913	-0.8213584	-0.361538	0.8815325999999999	-5.679832	1.4822739999999999	-0.7540806	nan	0.2348786	-0.09510635
OG0015257.5	OG0008537.0	OG0028991.0	OG0046669.0	OG0001979.1	OG0024790.0	OG0011010.4	OG0041838.0	OG0024962.0	OG0048033.0	OG0016410.2	OG0060486.0	OG0035782.0	OG0057382.0	OG0006474.4	OG0024466.0	OG0013856.2	OG0007323.1	OG0044779.0	OG0005930.6	OG0016301.7
