OG0007639.25	OG0005056.1	OG0008342.0	OG0000264.1	OG0019212.0	OG0000834.30	OG0006158.4	OG0000751.0	OG0016785.2	OG0014302.8	OG0014817.2	OG0001607.2	OG0000213.256	OG0000236.122	OG0004314.0	OG0001844.24	OG0006225.0	OG0029060.0	OG0000456.0	OG0053812.0	OG0013218.3	OG0005400.0	OG0011985.2	OG0008341.0	OG0004205.0	OG0007639.5	OG0000236.19	OG0020019.0	OG0000119.0	OG0005741.0	OG0008335.19	OG0003991.2	OG0007127.0	OG0000324.0	OG0002309.26	OG0009857.2	OG0002590.0	OG0000236.1	OG0003860.1	OG0000320.0	OG0002488.24	OG0002988.0	OG0000206.0	OG0004226.0	OG0000098.0	OG0005266.0	OG0006752.0	OG0044466.0	OG0005996.10	OG0000833.0	OG0012896.0	OG0012897.4	OG0000920.27	OG0000318.0	OG0003342.16	OG0007845.0	OG0000551.2	OG0015105.0	OG0005326.0	OG0001764.0	OG0000834.15	OG0004135.0	OG0014065.0	OG0000213.17	OG0029057.0
nan	-0.3054317749911664	-1.458782551897963	-1.4799549759601824	-2.7427479467602125	-0.5610684580654551	-1.2827897009804041	-1.218262612121666	-1.8411459704833824	nan	-1.0206331138782188	-1.159395776645905	-2.819088336631431	-0.04572922985512066	-1.865647613376637	-0.14448862342559837	0.25229454120183664	nan	-0.9134879534257182	nan	nan	-1.35070645303286	-1.1926450779423958	-1.2297206567902736	-0.32517781603817786	-2.3090019204430923	nan	-1.810460055611497	-0.8567372069613801	-2.023269779322847	nan	-0.17706595197162872	-1.6656605600930732	-0.5189077630936494	-0.17104352358233668	-2.4965494909944312	-0.7495234474970307	-3.0516981876493645	-0.4483117305610369	-0.24348904385984163	-1.3100746891435733	-0.8543877528335244	0.24865627000440324	-1.814513995871922	1.0094188393833274	-0.7069827279504917	-0.46873084011700594	nan	-1.695722611934325	-1.1275258029487878	-1.4131151871478154	-2.4900508536956893	-0.7131188522118385	-0.8614476248473515	-1.213570916796944	-1.7700429914156375	-1.3086445080689395	-0.23633347986192646	-2.089267338097087	-1.4035418604410144	-1.6357637688260032	-0.4426144185764749	0.40718957187910976	-0.048412205185245895	nan
OG0013073.2	OG0001039.1	OG0000512.25	OG0013724.0	OG0006295.0	OG0007289.0	OG0035578.0	OG0000328.0	OG0001161.24	OG0004843.6	OG0002867.1	OG0001567.1	OG0006462.0	OG0016290.2	OG0015537.0	OG0002437.4	OG0002390.42	OG0007523.4	OG0004923.0	OG0006694.0	OG0010698.0	OG0015720.2	OG0018083.0	OG0007107.0	OG0000466.0	OG0003620.0	OG0022346.0	OG0000327.54	OG0016802.2	OG0015673.5	OG0000448.1	OG0000420.0	OG0000133.60	OG0003513.0	OG0003531.0	OG0011471.4	OG0011884.0	OG0010877.4	OG0020198.0	OG0004708.0	OG0005041.0	OG0048963.0	OG0002592.3	OG0003924.0	OG0003546.0	OG0004438.0	OG0000749.2	OG0003713.0	OG0020618.0	OG0006677.0	OG0001442.1	OG0016863.2	OG0002321.0	OG0004537.8	OG0019029.0	OG0002881.24	OG0008313.24	OG0003642.0	OG0000225.48	OG0029077.0	OG0027522.0	OG0001215.24	OG0003652.0	OG0003749.1	OG0000127.0
nan	-0.7582818254032986	-1.0667295284676728	-2.5403585500713883	-1.9953907467474106	-1.349970759472354	nan	-0.3066803211884254	-1.2649978065046903	-2.407363571393423	-2.0540927027897475	-1.190009416024795	-0.6679509162510257	-3.451346370832777	nan	-1.0418626085257274	-0.1002056517911709	-0.7053351439087583	-1.4196615258042915	-1.5933544923279976	-1.1351106355302503	-2.9105018491608976	-1.6661183405319098	-0.0997417875652501	-0.2722973271627619	-0.8860328535669978	-1.8598757760909297	-1.0046240265254476	-2.8772610280454547	nan	-1.78687049999252	-0.49045616203966397	-0.46733394322576716	-0.7690592238760595	-0.46036967531533357	-2.558091635996411	-2.9170249727422317	-2.2229696147991937	nan	-1.0081017984969645	-0.47112867176187906	nan	-0.3887331749269352	-1.1196671113253598	-1.2894745576614033	-1.940091010981315	-0.3830777578812987	-0.9548366483967755	-2.55979192498625	-1.291945228671648	-1.068241312155092	-2.65018182802414	-1.5022599113909068	-1.237863830098888	nan	-1.1762506396917272	-3.7594536367910374	-1.273343137314313	-0.3057883922321096	nan	-1.4215925862463799	-0.61285807160283	-0.29991545050690765	-0.8132459154168177	-0.41676977290008077
OG0011172.0	OG0022617.0	OG0002960.16	OG0006978.0	OG0018116.4	OG0006804.0	OG0008355.0	OG0003036.0	OG0009072.0	OG0000658.0	OG0008108.0	OG0000188.1	OG0000078.263	OG0002999.0	OG0014632.1	OG0004251.2	OG0000177.191	OG0020582.0	OG0001900.0	OG0000085.0	OG0004228.1	OG0022253.0	OG0004557.0	OG0000042.314	OG0012413.8	OG0005489.4	OG0006724.0	OG0012212.6	OG0000075.0	OG0002034.0	OG0007446.0	OG0000483.0	OG0001055.24	OG0001647.0	OG0003100.0	OG0001500.24	OG0012759.0	OG0014677.4	OG0012940.3	OG0002872.0	OG0016105.0	OG0019362.0	OG0000583.0	OG0004136.2	OG0007950.0	OG0011720.2	OG0005908.0	OG0005011.0	OG0000915.28	OG0002524.0	OG0008245.0	OG0003848.6	OG0007027.0	OG0021239.0	OG0008867.1	OG0005704.4	OG0045700.0	OG0000728.24	OG0003709.2	OG0001617.1	OG0015927.4	OG0044386.0	OG0015234.2	OG0003821.20	OG0015760.0
-2.112162828913259	nan	-1.4548223653847077	-1.830331500476914	-2.077041035763828	-0.9132162338579334	-1.1564984744631772	-0.2072279224818811	-1.4316759797302938	-0.9235777245413976	-0.20656185827758058	-0.09449505685038438	-1.768567591552035	-0.8218909239056749	-4.803896602285192	-0.6778410923706224	0.9253158747900209	nan	-0.6217103469045492	-0.1564984744631771	-1.4864081935004267	-3.747003116878018	-0.7774427086512716	-0.2813863010245155	-2.4104282460262545	-0.5911794654711495	-0.8051564880004803	-1.8624964762500653	-0.44929630375211244	-0.7901099927659606	-0.7297700927620023	-0.9683225035492398	-2.2155797753822157	-0.810207062179741	-1.0531942938094603	-1.454426943964968	0.4137023887821764	-1.2591156024823411	-1.5370053933245014	-0.5205624672645965	-1.342268543171538	-0.4179257786036705	-0.17397021350026112	-0.6047177958677665	-1.5898760215870733	-0.6594946993260151	-1.2740407654908124	-0.9370493911771921	-1.3838305338132693	-0.45185934310495257	-2.1655314782896973	-0.8069221784536329	-1.8510008374122355	-2.152644433771633	-2.8282807609121523	-2.4453620361356414	nan	-0.2368434162587132	-1.320846479161911	-2.4258500394902978	-2.561494220217251	nan	nan	-1.180822334457232	-1.380821783940931
OG0007556.0	OG0004174.0	OG0045633.0	OG0005127.2	OG0009112.0	OG0000407.1	OG0001021.49	OG0011198.6	OG0000081.256	OG0016995.2	OG0011719.2	OG0013286.2	OG0010791.5	OG0017764.3	OG0005491.2	OG0002441.0	OG0024480.0	OG0000568.0	OG0018050.0	OG0001900.0	OG0000232.8	OG0010500.6	OG0007623.8	OG0000698.19	OG0005525.30	OG0000661.3	OG0004566.0	OG0002873.0	OG0014663.1	OG0000575.28	OG0024978.0	OG0000929.1	OG0000223.2	OG0000001.2546	OG0006582.0	OG0003307.20	OG0013081.0	OG0001428.1	OG0003587.16	OG0011737.0	OG0013439.2	OG0004351.0	OG0004338.2	OG0002763.0	OG0003247.1	OG0005894.10	OG0007658.2	OG0000376.174	OG0000749.2	OG0000741.0	OG0007292.0	OG0022186.0	OG0024591.0	OG0010759.0	OG0011200.0	OG0025093.0	OG0005949.0	OG0001089.2	OG0002130.0	OG0015365.0	OG0000007.585	OG0000286.32	OG0008677.1	OG0007117.0	OG0008127.0
-1.4375255419036752	-1.638456202032135	nan	-1.2334472399236858	-2.134793803412827	-0.9610020212024905	0.14417692434652662	-2.4819685073978306	-1.058292691319033	-2.633076351021482	-3.590744853315162	-3.726615405996639	-1.8719706112593588	-1.6910567118747863	-0.6310640678021001	-0.5418280104074104	-3.548438067391804	-0.3677317845004871	-2.023856359953367	-0.6217103469045492	-3.3586019472232773	-2.733123527871812	-2.2646511298141148	-1.3947901559188582	nan	-0.21675290262188346	-1.0256175341792702	-1.5133371067473864	-2.4081291299366665	-0.6810758359699232	nan	-1.5428785420499038	-0.3170671972827844	1.784545860262	-1.7809089417538033	-1.5249151170512174	-1.273343137314313	-1.3643848941302572	-0.5693935690701888	-1.2082275957226343	-2.589007712779105	-0.704394511411939	-1.8416629728328997	-0.8142602905972175	-0.6186058682131488	-1.2297206567902736	-2.0034666297197794	-1.5141610331209452	-0.3830777578812987	-1.2598063829795652	-0.8109661756099832	-3.2905328986118283	-2.9367731980030185	-1.0241497397288344	-1.166502663140165	-2.3628998759436683	-1.101907764440992	-0.6252665219687858	-0.5631985264294997	-2.947862376664825	-0.3949798469375905	-1.0825300533208069	-1.905088352974533	-1.1929748745013562	-2.22431729826094
OG0007162.4	OG0008133.2	OG0001711.10	OG0008305.20	OG0002369.0	OG0007033.0	OG0003762.0	OG0000777.0	OG0007888.4	OG0001061.24	OG0000291.0	OG0009803.0	OG0012177.2	OG0010734.0	OG0005636.2	OG0007826.10	OG0001415.1	OG0003087.0	OG0000085.0	OG0000378.2	OG0000522.0	OG0004341.2	OG0015628.2	OG0000362.42	OG0015209.2	OG0007107.0	OG0005682.0	OG0000246.0	OG0023141.0	OG0003933.8	OG0000662.1	OG0008691.0	OG0010696.0	OG0005469.6	OG0003740.0	OG0000947.24	OG0021189.0	OG0004730.4	OG0008278.4	OG0018079.3	OG0004154.1	OG0003383.0	OG0024706.0	OG0005986.4	OG0019957.0	OG0027805.0	OG0000026.621	OG0019383.0	OG0056683.0	OG0025018.0	OG0020256.0	OG0000359.28	OG0001748.1	OG0007960.0	OG0009920.0	OG0017954.0	OG0003635.0	OG0000026.628	OG0007258.2	OG0012972.9	OG0007948.0	OG0017886.0	OG0000276.72	OG0001802.4	OG0000015.773
-0.7779373752225125	-1.0522964439469233	-0.7492809165994454	nan	-0.8517817278458553	-1.3168874781868323	-0.5909621430272818	-0.08712024186019564	-2.362157939675895	-1.4219791086976907	-0.7519510015627939	-1.7216583413783577	-1.1523237279704035	-1.5661859155419728	-0.4459514927489034	-2.1379652600447674	-0.7062763900950659	-1.5657587667480637	-0.1564984744631771	-1.1584293626044828	-0.5944432366562431	-0.9439714610772487	nan	0.5070080777531	-3.962182047981891	-0.0997417875652501	-1.3532843389226457	-0.5324074912870507	-2.4973638827975355	-1.100669665209555	-1.1982618984335427	-2.7848805754827053	-0.7036894392919077	-1.7948577593747017	-0.7747250701304307	0.546067180450209	-1.1034568841441008	-1.3906232512366934	-3.060096436135226	-2.23990682554186	-1.6380071140780375	-1.100669665209555	-2.1616532634787693	-1.9192059180417578	nan	nan	-3.98051157040864	-2.357714316940423	nan	nan	-2.3408061050930518	-0.5942254220501242	-0.8839014477634204	-1.1068708139827879	-0.8013801267807851	-2.083141235300246	-0.5627722610870904	-1.0929555251272016	-1.5182877379966961	-2.196938324908699	-2.0782590139204995	-2.8303315004769143	-0.8999642788381562	-1.5006260549978325	0.24744147114440776
OG0008213.6	OG0005681.2	OG0003402.0	OG0009966.4	OG0011517.2	OG0004182.0	OG0001021.49	OG0000842.0	OG0000081.256	OG0006323.0	OG0007425.0	OG0011499.1	OG0000026.780	OG0004232.0	OG0028998.0	OG0002170.0	OG0001861.0	OG0001893.0	OG0041639.0	OG0007829.0	OG0005283.0	OG0010028.8	OG0005242.14	OG0010154.0	OG0006556.0	OG0000005.297	OG0000661.3	OG0000120.105	OG0002752.1	OG0017936.0	OG0017833.2	OG0018117.2	OG0000001.2546	OG0000431.12	OG0000837.0	OG0022086.0	OG0007347.0	OG0000498.0	OG0010812.8	OG0000631.0	OG0024490.0	OG0001175.1	OG0025087.0	OG0011706.0	OG0016673.6	OG0002592.3	OG0003980.9	OG0002720.27	OG0004145.0	OG0000716.2	OG0025001.0	OG0000071.0	OG0015092.0	OG0006008.0	OG0019403.0	OG0001259.24	OG0034898.0	OG0003533.1	OG0005360.0	OG0001144.24	OG0011470.0	OG0012207.4	OG0006676.0	OG0015684.5	OG0004901.9
